index,name,duration_ms,popularity,num_markets,album,disc_number,is_explicit,track_number,release_date,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,lyrics,region
0,Long Live the Kane,295333,26,78,Long Live The Kane,1,False,1,1988,Big Daddy Kane,0.857,0.797,11,-12.142,0,0.328,0.0556,1.59e-05,0.18,0.612,99.327,4,"[Verse 1]
Party people in the place
Embrace the bass as I commence to pick up the pace
And make you motivate, and accelerate
Cause like Tony the Tiger, I'm greeeat!
Always seem to come off, hard for you somehow
I mean, me being wack, oh come come now
That's quite ridiculous, so just admit you was
Thrilled, it's on your face, and it's conspicuous
Not that you're on this, but my performance
Is rather exquisite, so hard is it
Or supremacy, that's the perfect definition
But rappers keep wishing to be in my position
Know good and damn well they ain't no competition
Huh, I gotta give it to you kid, that's ambition
For you to perpetrate the role of me, the Big Daddy
The Big Father, nah don't even bother
Cause that would mean you would have to teach
Each and every one idiotic son
Trying to make it, you can't fake it
The rhymes I recite are fully dressed and yours are butt naked
Your speech is weak, while my mine stands strong
So, all hail the man that's here to live long

[Hook]

[Verse 2]
You know you heard this voice before somewhere
And when I said that I'm the Kane, you said ""oh yeah""
""That brother that used to rhyme on stage with Biz
Oh he's def,"" you know what time it is
But this time I'm not assisted on the microphone
More like Patti Labelle, on my own
Just single-handed, the mic I commanded
Phony MC's don't understand it, and it
Is the real thing like the taste of Coke
So never sleep on me, better stay awoke
Like a gambler in Vegas, I go for broke
To make a long story short, yo I ain't no joke
I take time and care in whatever I'm doing
And when I rock a party, I make sure that you en-
Joy what you're hearing as I entertain
So hip-hip hooray, long live the Kane

[Hook]

[Verse 3]
I got the freedom of speech to use it anyway that I choose it
So all hail to the music
On exhibit, get with it, now here's my ring
The original supreme being Black man
Point blank, the cream to rise supreme
As those go below like a submarine
Reaching and teaching a lesson that I'm giving
Addressing and impressing the crowd, so how we living
Fine in mind, to decline is out of line
So pardon this brother as I give you mine
To say I'm not, don't even diss yourself
Cause at times, I have to jump back and kiss myself
Long live the K, the A, the N, the E
I say the end will be
A big movement, by the time I'm through
And that's coming from a Black man's point of view

[Hook]

[Verse 4]
Now pardon me for just changing the issue
But all you sucker MC's, it's a must that I diss you
The way y'all be fronting has made me disgusted
Now I'ma set you straight, so so yo yo, bust it
Rappers try and hang and just swear that they can party
But the style that I'm using is just like karate
So if we ever battle you're bound to be through
Because I got a black belt in Rap Can Do
No I'm not Chinese, it's just rhymes like these
That destroy an MC with black belt degrees
You're rocking a party, trying so hard to get loose
Kid sound awiiite, but I can't taste the juice
Therefore, the job is left to me
So I get the party kicking just like Bruce Lee
But I won't stop there, I still rock a little harder
While the toy MC's step and say, sayonara

Long Live the Kane (x2)
Break it down",eastcoast
1,Raw - Remix,344960,33,78,Long Live The Kane,1,False,2,1988,Big Daddy Kane,0.909,0.666,4,-13.042,0,0.334,0.0186,2.98e-06,0.109,0.705,110.681,4,"(Verse 1:)
Here I am . . . R-A-W
Terrorist, here to bring trouble to
Phoney emcees, I move on and sieze
I just conquer, and stomp another rapper with ease
Cause I'm at my apex and others are be-low
Nothing but a milliliter, I'm a kilo
Second to none, making emcees run
Also don't try to step to me, cause I ain't the one
I relieve rappers just like Tylenol
And they know it, so I don't see why you all
Try to front, perpetrating a stunt
When you know that I'll smoke you up like a blunt
I'm genuine like Gucci, raw like sushi
The Sage of Rage is what rap did to me
To make me want to create chaos and mayhem
Cold rock a party, until the A.M
I'll make a muscle, grab the mike and hustle
While you stand dazed and amazed, I'll bust a little rhyme
With authority, superiority
And captivate the whole crowd's majority
The rhymes I use definately amuse
Better than Dynasty or Hill Street Blues
I'm sure to score, endure for more without a flaw
Cause I get RAW!

(Verse 2:)
I give a speech like a reverend, rappers start severin
And in my lifetime, believe I've never been beaten
Or eaten, or just tookin out
You know, come to think about, I keep emcees lookin out
And real nervous, when I'm at your service
Also give me that title boy, you don't deserve this
I work like a slave to become a master
And when I say a rhyme, you know that it has ta
Be perfectly fitted, cause I'm committed
The entertainer and trainer and Kane'll get with it
I go and flow and grow to let you know, I'll damage ya
I'm not an amateur but a professional unquestionable, without a doubt superb
Also full of action, my name should be a verb
My voice will float, on every note
When I clear my throat, that's all she wrote
The minute that the Kane starts to go on
Believe it's gonna be smooth sailing so sail on
As I put other rappers out of their misery
Get em in a battle and make them all history
Rulin and schoolin, emcees that I'm duelin
Watch em all take a fall, as I sit back coolin
On a throne, with a bronze microphone
Uhm, God bless the child that can hold his own
Cause I get raw!

(Verse 3:)
Chillin, killin like a villain
The meaning of RAW is Ready And Willing
To do whatever is clever, take a loss never
And the rhymes I bust, comin off is a must
And I come off hard with rhymes that are odd
I rip the microphone and leave it scarred
Never smokin or hittin or takin a sniff
Only crushin emcees that be tryin to riff
I get strong and titanic, do work like a mechanic
Make emcees panic, they all get frantic
And skeptic, like a girl on a contraceptive
As I rocked, but hey, what you expected?
I'll get raw for ya, just like a warrior
Rather like a samurai, and I;ll be damn if I
Ever let a Fisher-Price emcee hang
Their rhymes are toy, nothing but ying yang
So if we battle on the microphone
Bring your own casket and tombstone
And I'ma preach your funeral, tell me who in the world
Could ever come with more, I get RAW!",eastcoast
2,Set It Off,245960,39,78,Long Live The Kane,1,False,3,1988,Big Daddy Kane,0.8,0.611,10,-13.294,0,0.212,0.000359,0.0,0.227,0.777,118.764,4,"[Verse 1]
Let it roll, get bold, I just can't hold
Back, or fold cos I'm a man with soul
In control and effect, so what the heck
Rock the discotheque and this groove is what's next
Attack, react, exact, the mack'll move you with
A strong song, as long as you groove to this
I keep the crowd loud when you're hype
Do damage onstage and injure the mic
As I shoot the gift MC's stand stiff
While my rhymes stick to you like Skippy and Jif
Feel my blood fist, or my death kiss
The rap soloist, you don't want none of this
Supreme in this era, I reign with terror
When I grab the mic believe you're gonna hear a
Fascinatin' rhyme as I enchant them
So let's all sing the Big Daddy anthem
Go with the flow, my rhymes grow like an afro
I entertain again and Kane'll never have no
Problem, I can sneeze, sniffle and cough
E-e-e-even if I stutter I'mma still come off
Cos rappers can't understand the mics I rip
They sure enough ain't equipped, that's why they got flipped
But my apparatus is up to status
Don't ask who's the baddest, of course that is
The maker, breaker, taker, my rhymes ache the head
Put it to bed, so watch what is said
Save the bass for the pipe and rearrange your tone
Or take a loss and be forced in the danger zone
Cos I get ill and kill at will
Teachin a skill that's real, you're no frill
So just stand still and chill as I build
Science I drill until my rhymes fill
Your head up...don't even get up
The teacher is teachin', so just shut up

[Chorus x3]
""I can't hold it back""
Set it off
Now break loose

[Verse 2]
Rappers, take a step back, or you will soon regret that
You ever had to confront me and you can bet that
I come correct, perfect, in full effect
Disconnect, dissect, eject as I wreck shop
Stand in command with the clan
Caravan or van, we go man for man and
Without further ado or any delay
Mister Cee as we say, call him the DJ
Mad Money Murf with the triple M
Smooth the barber keepin' my flat-top trim
Scoob Lover my brother, Scrap Lover my other
Dancin' with the crew so allow the boys to smother
The floor, and endure just for your pleasure
As the microphone lord proceeds to get raw
Acrobatic, Asiatic, rap fanatic
I get dramatic and rhymes start flowin' automatically
From me, so don't play me, obey me
When asked ""Who's the best?"", you better say me
I'm sendin' sucker MC's headin' north
And if you still want some...set if off
For you to cope is just a wish and a hope
And if you are what you eat they're feedin' me dope
Cos I'm just about as dope as dope can get
Ultimate, legit, Kane is a perfect fit
The king of my kingdom, completin' a cipher
The lyrics I bring them keeps the crowd hyper
As I release the masterpiece
The groove will never cease until Kane says ""Peace""
So, maestro, yo, hit it
Big Daddy Kane's about to come with it, cause...

[Chorus x3]
""I can't hold it back""
Set it off
Now break loose",eastcoast
3,The Day You're Mine,312333,21,78,Long Live The Kane,1,False,4,1988,Big Daddy Kane,0.757,0.328,7,-12.759,1,0.324,0.0206,0.000294,0.136,0.726,173.797,4,"[Big Daddy Kane: Verse 1]
Talk about ever meeting Ms. Right
But one thing I know is this girl is hype
Not a crab I see but such a lovely female
And if looks could kill, she would be in jail
For raving all over with exotic beauty
And to captivate her love is my only duty
There's not a single feature that this girl lacks
Sweetheart, you're my aphrodisiac

[Big Daddy Kane: Chorus]
You've got me waiting for you day by day
Fantasies of you has got me drifting away
And I know, a love like yours would be so hard to find
So I'll just keep on waiting for the day you're mine

[Big Daddy Kane: Verse 2]
Now I've talked to young girls and sophisticated ladies
But I swear my dear, none appear on your level baby
Maybe, it's just me imagining
Then again, I probably just haven't been
With the right female and in detail
I'll probably never will be, girl if we fail
Cause every time I appear to be pleased
You know what happens?
I just get skeezed

[Big Daddy Kane: Chorus]
You've got me waiting for you day by day
Fantasies of you has got me drifting away
And I know, a love like yours would be so hard to find
So I'll just keep on waiting for the day you're mine

[Big Daddy Kane: Verse 3]
The girl that I admire, one that I desire
And no one can stop the feelings that you inspire
The way that you leave me in this obsession
With the chambers of my heart in your possession
We were meant to be together, always and forever
For that engagement, I shall endeavor
Pray for the day that we combine
And I can say for sure that you're truly mine
In benevolence and reverence
As soon as our relationship commence
But for now, I wait impatiently
For the day that you can give your all to me
[You've got me waiting for you day by day]
The moment of truth is what I really should call it
I worked so hard for it so please don't spoil it
Yeah it's a lot that I'm asking you to give me
That's only because I need you with me
Side by side, hand in hand
You as my girl and Kane as your man
Bust it, ever since the first time that I seen her
I wanted her to step inside my arena
I'd be the champion of love, wear the golden glove
And show you what a real man is made of
My feelings I'm sharing because I'm caring
My heart'll tell you why I am so endearing
For a chance at romance I would love to enhance
I would be your man under any circumstance
Just as long as I can say that you're my own
Your feelings for me and mine alone
We can cherish every moment of the time we spent
Try to take our love to the full extent
The point that I'm trying so hard to get through
Is girl, I'm in love with you

[Big Daddy Kane: Chorus]
You've got me waiting for you day by day
Fantasies of you has got me drifting away
And I know, a love like yours would be so hard to find
So I'll just keep on waiting for the day you're mine

[Big Daddy Kane: Verse 4]
A dramatic fanatic for our relation
Cupid has me stupid with infatuation
And a fashion of passion so tenderly
With vibes I can't describe you send to me
This personal attachment in which I feel
To you my dear, I will try to reveal
All over and over, I'll try and try
Because to see you with the next man makes me cry
I feel that I should be the only man to side you
Cause no one can love you the way that I do
No one deserve the love you can give
So allow me to show you how I'm out to live
With something very special, palliative and pure
And anything that you want, I can give you more
I'll be calm and gentle, loving and sentimental
Oh so much emotion, I'm talking devotion
Cause when I get involved, I get involved so deep
That you would know that my love is something special to keep
But for now, I guess I'll be fine
And keep waiting for the day that you'll be mine",eastcoast
4,On the Bugged Tip,198306,20,78,Long Live The Kane,1,True,5,1988,Big Daddy Kane,0.726,0.661,10,-13.355,0,0.515,0.071,0.0,0.313,0.782,112.401,4,"Yo, on the M-I-C right about now, I go by the name of Big Daddy Kane. I got my man Scoob Lover on the side of me, DJ Mister Cee on the wheels of steel, Dre on
The film and Marley on the boards. We gonna do a little something like this:

[Big Daddy Kane, Scoob Lover & both]
Some like it hard and some like it soft
Yo, bust the groove as I set it off
But wait a minute...
Yo Scoob, what's up?
Pardon me a moment as I interrupt
For what?
For this:

You like the stylish clothes we wear
And you like our flat-top style of hair
It's just those bugged out things we do
That make the girlies wanna stare

Like when we're chillin' with the crew
Or drinkin' that Old English brew
Straight from the bottle not the cup
And it gets us more than just fucked uuuuup...
And I like it yall..
..like it yall...
Like it yall...
...like it yall
Scoob Lover, won't you hype it yall?
Well, I'm the S-C double-O B-L-O-V-E-R- uh
Ladies come to me, I'll be your midnight horror
Need a flat top? Come to Scoob, I'm the barber
Of Da Ville
And that's right
Try to step to us, watch what you get
Cuz me and Big Daddy's not havin' it
Well, it's the Big Daddy, so all hail
Save your wack rhymes, hold your female
Pass the Old Gold, trash the ale
Cash your food stamps, get the WIC out the mail
Love to eat shrimps, but I never eat snail
Eat a whole fish except for the tail
Keep food in the fridge so it don't get stale
And when there's nothing to eat, I bite my nails
So Scoob Lover, you know your rhymes are kickin'
Get on the mic, cuz you know you eat chicken
Now-now-now, I'm-a place a order for a Scooby snack
Not at the Chinese restaurant because I don't eat cats
Now who in the world can ever eat these?
When I'm at home, I chow down with ease
And say ""More beef sausage, mom, please?""
That's right, Mommy Dukes, she feeds me swell
Coffee on the table, orange juice as well
Some of the things I say are outspoken
Guaranteed to have you chokin'
Bitin' MCs are the one I'm yokin'
Kane, I'm outta here, I guess I'll use my token
I'll walk through the gate if the turnstile's broken
Big Daddy, if you're down with me
Get on the mic on the count of three;
One, two, three...
Now I'm a black brother that's out to succeed
So step aside as I take the lead
Sexy young ladies of a light-skinned breed
""You got-you got-you got what I need!""
Outstanding, kind, cool and loyal
Drove all the way to Maaco just to change my oil
Cuz I'm the only child, you might think I'm spoiled
Touch the young ladies make their blood pressure boil
I got the ...hmm...hiccups, excuse me, sorry
Score a 100 Gs every time I play Atari
Put a hole in the Old Gold, blast the Bacardi
On the dance floor, hype moves I be freakin'
Makin' new steps up every single weekend
Not Abbot and Costello or Laurel and Hardy
I'm only here to PAR-TY!

Yo, check it out, check it out. Turn the music down, turn the music down
Turn the music down...here we go, here we go...

We gonna end it like this in the place yall
It's like this yall, and you don't stop
Now, the name Kane is superior to many people;
It means King Asiatic Nobody's Equal
I hate to brag, but damn I'm good!
And if mics were a gun, I'd be Clint Eastwood
And if rap was a game, I'd be MVP:
Most Valuable Poet on the M-I-C
And if rap was a school, I'd be the principal
Aw fuck it, the Kane is invincible
To be specific, I may die one day
But my rhymes will remain like a hieroglyphic
It's a certain special skill, that takes much practice
I got it good; apparently you lack this
So in turn, sit back and learn
Listen close, this is for your own concern
Let me show ya, exactly how it's properly done:
Lights, Camera, Action! [laughter]",eastcoast
5,Ain't No Half-Steppin',319906,52,78,Long Live The Kane,1,False,6,1988,Big Daddy Kane,0.836,0.728,10,-12.058,0,0.234,0.00569,0.000819,0.0649,0.599,100.842,4,"[Intro]
Mmm, mmm, mmm
Aw Yea, I'm with this
I'm just gonna sit here laid back to this nice mellow beat, you know
And drop some smooth lyrics cause '88
Time to set it straight, know what I'm saying?
And ain't no half stepping
Word, I'm ready

[Verse 1]
Rappers stepping to me, they want to get some
But I'm the Kane, so yo, you know the outcome
Another victory, they can't get with me
So pick a B.C. date cause you are history
I'm the authentic poet to get lyrical
For you to beat me, it's gonna take a miracle
And stepping to me, yo that's the wrong move
So what you on, Hobbs, dope or dog food?
Competition, I just devour
Like a pit bull against a Chihuahua
Cause when it comes to being dope, hot damn
I got it good, now let me tell you who I am
The B-I-G D-A-double-D-Y K-A-N-E
Dramatic, Asiatic, not like many
I'm different, so don't compare me to another
Cause they can't hang, word to the mother
At least not with the principal in this pedigree
So when I roll on you rappers, you better be
Ready to die because you're petty
You're just a butter knife, I'm a machete
That's made by Ginsu, wait until when you
Try to front, so I can chop into
Your body, just because you try to be basing
Friday the 13th, I'ma play Jason
No type of joke, gag, game, puzzle or riddle
The name is Big Daddy, yes, Big—not little
So define it, here's your walking papers, sign it
And take a walk as the Kane start to talk, cause

[Hook]
Ain't no half-steppin'
I'm the Big Daddy Kane
Ain't no half-steppin'
I'm the Big Daddy Kane
Ain't no half-steppin'
I'm the Big Daddy Kane
""Down the road""

[Verse 2]
My rhymes are so dope and the rappers be hoping
To sound like me, so soon I'll have to open
A school of emceeing, for those who want to be in
My field in court, then again on second thought
To have emcees coming out sounding so similar
It's quite confusing for you to remember
The originator, and boy do I hate a
Perpetrator, but I'm much greater
The best, oh yes, I guess suggest the rest should fess
Don't mess or test your highness
Unless you just address with best finesse
And bless the paragraph I manifest
Rap prime minister, some say sinister
Non-stopping the groove, until when it's the
Climax, and I max, relax and chill
Have a break from a take of me acting ill
Brain cells are lit, ideas start to hit
Next the formation of words that fit
At the table I sit, making it legit
And when my pen hits the paper, ah shit
I stop and stand strong over emcees
And devour with the power of Hercules
Or Samson, but I go further the length
Cause you could scalp my Cameo and I'll still have strength
And no, that's not a myth, and if you try to riff
Or get with, the man with the given gift of gab
Your vocab, I'll only ignore
Be sleeping on your rhymes till I start to snore
You can't awake me, or even make me
Fear you, son, cause you can't do me none
So, think about it if you're trying to go
When you want to step to me, I think you should know that

[Hook]
Ain't no half-steppin'
I'm the Big Daddy Kane
Ain't no half-steppin'
I'm the Big Daddy Kane
Ain't no half-steppin'
I'm the Big Daddy Kane
""Down the road""

[Verse 3]
I appear right here and scare and dare
A mere musketeer that would dare to compare
Put him in the rear, back there where he can't see clear
Get a beer, idea or near stare, yeah
So on to be want to be competition
Trying to step to me, must be on a mission
Up on the stage is where I'ma get you at
You think I'm losing? Pfft, picture that

[Hook]
Ain't no half-steppin'
I'm the Big Daddy Kane
Ain't no half-steppin'
I'm the Big Daddy Kane
Ain't no half-steppin'
I'm the Big Daddy Kane
Mister Cee, step to me

[Verse 4]
The name is Big Daddy, you know, as in, your father
So when you hear a def rhyme, believe that I'm the author
I grab the mic and make emcees evaporate
The party people say, 'Damn, that rapper's great'
The creator, conductor of poetry
Et cetera, et cetera, it ain't easy being me
I speak clearly so you can understand
Put words together like Letter Man
Now that's dictation, proceeding to my innovation
Not like the other emcees that are an imitation
Or an animation, a cartoon to me
But when I'm finished, I'm sure that you are soon to see
Reality, my secret technique
Because I always speak with mentality
I put my title in your face, dare you to base
And if you try and come get it, yo I'ma show you who's with it
So if you know like I know, instead of messing around
Play like Roy Rogers and slow down
Just give yourself a break, or someone else will take
Your title, namely me, cause I'm homicidal
That means murder, cause I'm about to hurt a-
Nother emcee, that try to get with me
I'll just break him and bake him and rake him
And take him and mold him and make him
Hold up the peace sign, as salaam alaikum!",eastcoast
6,I'll Take You There,295960,22,78,Long Live The Kane,1,False,7,1988,Big Daddy Kane,0.939,0.483,11,-12.119,0,0.256,0.0275,3.87e-06,0.321,0.676,98.421,4,"[Staple Singers: oh! Big Daddy!]

[Big Daddy Kane]
Hear ye, hear ye, from far and near
The one they call the Big Daddy Kane is here
To deliver a message to everyone everywhere
So listen up party people cause this you should hear
It's a story of a far-away atmosphere
That you will find very rare and far beyond compare
All is sincere and rather debonair
So let's all gather around, because...

[Hmm...yeah...I'll take you there...oh!] (x4)

[Verse 1: Big Daddy Kane]
Off to a place you thought was unreal
Where people of the world do know how to chill
Everything remains cool and calm where you are
And if you ask about crime, they all'll say, [Hah?!]
They wouldn't even know what you mean
Cause it's a different program, y'all know the routine
Where people work hard for a decent buck
And you can wear truck jewelry without being stuck
Never wondering whether your house is all right
So go leave your VCR on the porch overnight
And as for the people they all stand proud
Senior citizens party with the hip-hop crowd
You can hang at a jam till the break of dawn
And leave without your Bally shoes getting stepped on
Everyone walks around in their right mind and all
Because crack ain't nothing but a hole in the wall
So those who wish to live with glare and flair
There's a place that this can be done, and yo...

[Hmm...yeah...I'll take you there...oh!] (x4)

[Verse 2: Big Daddy Kane]
What I discovered may just only seem
As something that you find in your wildest dream
But! on the real tip, you will see
I'm not playing, what I'm saying is reality
There is a place people live with joy
That the next man cannot come along and destroy
No one faces problems, no one says sorry
And war ain't nothing but a game on Atari
This message also applies to other nations
Like Africa for instance, where there's starvation
But if you come with me, you're sure to see
Ethiopians can eat in Red Lobster for free
And people that you saw before that were poor
Will never ever see the situation no more
Cause in this world everyone's a millionaire
[Is there WIC?]
Are you sick?
And what the hell is welfare?
Fashions are smashing for all to flaunt
And we can get anything that we want
So don't think you can't afford expensive design
Because fresh Gucci wear is only $5.99
So come ye all and attend this affair
As we journey to the promised land, and...

[Hmm...yeah...I'll take you there...oh!] (x3)

[Verse 3: Big Daddy Kane]
Since I'm the type of guy that laughs and jokes
This may sound funny, but seriously folks
It's a shame that people today must live
In a world that's operating oh so negative
But I found a place designed especially for you
Where peace and harmony is everyone's culture
So let's all gather around before this world corrupts
And we don't even need Scotty to beam us up
Because...

[Hmm...yeah...I'll take you there...oh!] (x4)

[Big Daddy! Oh...hmm!] (x9)

[I'll take you there...all right] (x4)",eastcoast
7,Just Rhymin' with Biz,241960,23,78,Long Live The Kane,1,True,8,1988,Big Daddy Kane,0.876,0.804,10,-11.967,0,0.622,0.115,0.0,0.354,0.741,93.62,4,"[Intro: Biz Markie]
Funky!
Ready?
Funky! Funky! Ahhh...
One two, one two
We came here to do the motherfucking do
You and the crew
Got my man Marley Marl in the house
Can't forget my man, Lik, y'all in the house
Got Fric and Frac in the house
Hey-hey-hey, you got Big Daddy Kane in the house
Juice Crew in the house
That's right
And my name is the Biz Markie
And we gonna rock a little something like this...

One, two, whatcha gonna do?
I say yes, yes y'all, to the beat, all
Party-having people guaranteed to be like having a ball
H-h-h-hey, we gonna do a little something like this I say...

[Verse 1: Biz Markie]
I'm the rap promoter, I start to motor
Tour from New York to South Dakota
Drink ginger ale or root beer soda
Never get the girls with the underarm odor
Put me on water, I'm a good floater
When I run for prez, you best be a voter
Once knew a girl by the name of Rhoda
I watched Star Wars just to see Yoda
Or R2-D2 driving down the BQ
When I buy franks, I make sure they're Hebrew
When I entertain, and love to treat you
Love to see a girl in a nightie that's see-through
Take her to the crib, turn on the Beta
Watch a good flick by Arnold Schwarzenegger;
Maybe *Commando* or *The Terminator*
Peace party people, ha ha see you later
Big Daddy, huh huh, my man my mellow
Get on the mic cause you know you eat Jell-O

[Verse 2: Big Daddy Kane]
Check it out, y'all
You don't stop, keep on
Well it's the Kane in the flesh, of course I'm fresh
Oh you thought that I was rotten? Huh, I beg your pardon
To me getting paid and getting busy fall together
So a man of my ambiance...never!
Could I be weak, nah why I'm rather unique
I got style, flavor, grace, and plus a different technique
That I be using and not many can manage
So a brother like me, I do damage
Just by picking up the mic to go solo
I cold turn a party on out, and oh yo
I get physical, mystical, very artistical
Giving party people something funky to listen to
That's why the other MC's can't swing long
I stomp them out just like I was King Kong
Stepping on roaches, I get ferocious
Supercalifragilisticexpialidocious
I go on and on and on and
Until the bright Shirley Murdock morning
Cause I'mma pimp, hear the primp, yes the emp-
Eror, bringing much terror in your era
I'm ready, willing and I'm able, so bust a move
Never use a barbershop I got my homeboy Smooth
Cooling out with the clippers right around the way
To keep my fresh Cameo cut every day
Like that y'all, it's like that y'all
It's like thata-the-that, it's like that y'all
Cause I'm the prosecutor, taking a stand
And, I'm cross-examining you my man
The judge and jury, releasing my fury
The verdict that I reach for you is rather blurry
You see, the name Kane is superior to many people
It means King Asiatic, Nobody's Equal
I hate to brag, but damn I'm good
And if mics were a gun, I'd be Clint Eastwood
And if rap was a game, I'd be MVP
Most Valuable Poet on the M-I-C
Or if rap was a school, I'd be the principal
Aw fuck it, the Kane is invincible
To be specific, I may die one day
But my rhymes will remain like a hieroglyphic
It's a certain special skill that takes much practice
I got it good, apparently you lack this
So in turn, sit back and learn
Listen close, this is for your own concern
Let me show you exactly how it's properly done
Lights, camera, action
A rap pro, do a show, good to go, also
Cameo afro, Virgo, domino
I go Rambo, gigolo, Romeo
Friday night spend money on a ho-
Tel, to get a good night's sleep, I'm keeping in step
Now do I come off? Yep",eastcoast
8,Mister Cee's Master Plan,324693,21,78,Long Live The Kane,1,True,9,1988,Big Daddy Kane,0.843,0.634,1,-10.731,1,0.323,0.0145,1.56e-05,0.23,0.495,100.902,4,"[Who is the man with the master plan? (x2)
DJ Mister Cee
Who is the man with the master plan?
He goes by the name of the Big Daddy Kane
Then it goes a little something like this...]

Yes, here we go, on with the show
As the rhythm of this starts to flow
No matter the tempo, fast or slow
Get up and dance cause the Kane said so
This is the dance floor groove of the album
Presented to you all live from Calvin
Whoops! I meant to say Mister Cee
The disc jockey down with me, the
Microphone lord, my wisdom is a sword
Try to get with us, and get floored
Some DJ's try to front, but yo don't let them fool you
Cause wine is fine, but Calvin is cooler
Jump up and down, and eh, and all around and
Check out the way that my DJ is sounding
On the turntables to keep the crowd stable
Killing the cuts putting bodies on a record label
And just for the symphony
Here comes the M.I.S.T.E.R.C.E.E
Taking a stand like a band
Mister Cee got a master plan
Hit it!

[Who is the man with the master plan?
DJ Mister Cee...on the mix] (x4)

[Kane speaking as Cee cuts it up:
Whooo! yeah, warm it up, Cee...uh!
C'mon now, make it happen, make it happen
Go hit me one more time, c'mon Cee warm it up
Yeaaahh... that sounds funky!
I, I mean like extra crazy stooopid def!
Hit some of them transformers hops
Again, again, again
Uh! Uh! Uh!
Now, yo, tell yourself a song]

[Getting ready to, (various samples), oh, oh, oh, oh, oh, oh (x12)
(Samples, in order): play it, let go, feel it, come out, clap to this
Move your body, get fresh, go go go, I'll do it, do it again, hit me
Hnn--drop!]

[Big Daddy Kane in the house!
Big Daddy (x2) Biz: huh, huh! (x2)
My man, my mellow]

[Who is the man with the master plan?
DJ Mister Cee...on the mix] (x4)

[Oh Mister Cee, Oh Mister Cee....]

[Kane: Now, just to let you know
I go by the name of Big Daddy Kane
I got my DJ Mister Cee in the place to be
Also the engineer all-star Marley Marl
Now yo, cut, won't you do me a favor
And tell these party people where you from]

[LG, LG, LG...rock on, rock on....]

[Kane: now, since we on the tip of our neighborhood
Won't you tell them where I'm from?]

[Lewis...Avenue! Lewis...Avenue!...]

[Kane: Okay, now I got a brother by the name of Mad Money Merc
Now he come from NA Rock
I got two dancers, Scoob Lover, Scrap Lover
They come from the place known as Brownsville
My barber name is Smooth, he come from Whitecourt
Also, we got the engineer all-star Marley Marl in the place to be
And he come from the area known as the Bridge
Now yo...]

[Mister Cee interrupts: yo, hold up Kane!
You done said all your names on your record
It's time to say names on my record now
Yo, I want to say what's up to my man ATL
My man Shack Money
My man Shep Love and the entire LG Posse
I wanna say what's up to my man Moose Love
My man Nut, Sambo, Heado, the TCF dancers
Yo, I want to say what's up to Dawn
I want to say what's up to Nicola
My man Rhythm Shawn, Shimsho, Yam Love
Spike D, Willie D, NA Rock, Chicago, yo!
Yo! I can't hold it back! [It's over, it's over]
Later for it, yo! [Shut the fuck up!]
What's up?!
To the whole....(cracks up)
Nigga dissed me!",eastcoast
9,Word to the Mother (Land),188640,21,78,Long Live The Kane,1,False,10,1988,Big Daddy Kane,0.906,0.457,1,-14.347,1,0.334,0.000204,0.0,0.194,0.611,96.924,4,"[Verse 1]
Grab a hold of yourself, open your eyes
Get wise to the exercise
Being taught by the teacher that's most dominant
You need knowledge?
Well I'm dropping it
Listen to the rap allow it to trap
Your body and soul so that you can adapt
To the man on display as I take you away
So may I?
[Yes you may!]
Proud to be a Black man
Coming exact and
Giving up to brothers five on the back hand
Pray for lease and peace upon each other
With my sisters and brothers
[Marley Marl: yo, word to the mother!]
I say the mother, as in the motherland
But on the other hand, another man
Tackled and shackled our ancestors
But we beat him with freedom, so let's bless the
Country that we all came from
Because the moral of it all is we shall overcome
The cream will keep rising
We be sizing
Up, the Asiatic one is enterprising
Building and building to carry on
All the way from Malcolm X to Farrakhan
Martin Luther was a tutor, many were pupils
Those who fell victim were those without scruples
However, to sever, we could never
So hold up the peace sign and stand together
Take heed to the words that I manifest
And when I'm through speaking, Marley Marl'll do the rest

[Break]
[James Brown getting cut up:
People, people
We gotta get over, before we go under (x2)
Let's get together] (x2)
[Marley Marl?:
Yo Big Daddy, what you gonna say now?]

[Verse 2]
Take a stand the fight for power
Cause we've been here before the Mayflower
Living superior abiding by nature
The history of the Asiatic one paid the
Price to be paid in slavery
Like the name of Antonio was gave to me
But knowledge of self broke every shackle and chain
Now I declare myself as the Big Daddy Kane
The teacher, teaching a lesson to be heard
That's word, to the mother my brother
So discover the truth of one another
Cause here's the real deal upon our skin color
Lay down white, yellow, red or pink
But the color of black is most dominant
The rising and sizing can never cease
[Marley Marl: what you going say now?]
Peace!

[Farrakhan: ...the mother of all living things and the Black man
Is the original man, we just can't escape our destiny]

[Word to the mother!] (x2)

[Farrakhan: I thank Allah for allowing me to teach this subject today
Crowd: yeah, that's right...]",eastcoast
