index,name,duration_ms,popularity,num_markets,album,disc_number,is_explicit,track_number,release_date,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,lyrics,region
0,Intro,284773,21,78,When Disaster Strikes,1,TRUE,1,1997,Busta Rhymes,0.562,0.457,2,-10.056,1,0.446,0.0464,0,0.107,0.281,76.878,4,"[Skit: Girl & Man]
Daddy, what's it gonna be like in the year 2000?
Well sweetheart, for your sake I hope it'll all be peaches & cream.
But I'm afraid the end time is near
The cataclysmic apocalypse referred to in the scriptures of every holy book known to mankind
It will be an Era fraught with boundless greed & corruption
Where global monetary systems disintegrate, leaving brother to kill brother for a grain of overcooked rice
The nations of the civilized world will collapse under the impressive weight of parasitic political conspiracies which remove all hope & optimism from their once faithful citizens
Around the globe, generations of polluters will be punished for their sins
Un-shielded by the ozone layer they have successfully depleted
Left to bake in the searing naked rays of light
Wholesale assassinations served to destabilize every remaining government
Leaving the starving & wicked to fend for themselves
Bloodthirsty renegade cyborgs created by tax-dodging corporations wreck havok
Pissed off androids tired of being slaves to a godless & gutless system, where the rich get richer & the poor get fucked over and out
Unleash total worldwide destruction by means of nuclear holocaust
Annihilating the terrified masses
Leaving in its torturous wake nothing but vicious, cannibalistic, mutated, radiating, and horribly disfigured hordes of satanic killers
Begged on revenge, but against whom?
There are so few left alive
Starvation reigns supreme, forcing unlucky survivors to eat anything & anyone in their path
Massive earthquakes crack the planets crust like a hollow eggshell
Causing unending volcanic eruptions
The creatures of the seven seas, unable to escape the certain death upon land, boil in their liquid prison
Disease then circles the earth, plagues & viruses with no known cause or cure
Laying waste to whatever draws breath, and human-kind having proven itself to be nothing more than a race of ruthless scavengers
Fall victim to merciless attacks at the hands of interplanetary alien tribes who seek to conquer our charred remains
This is, Extinction Level Event
The Final World Front, and there is only, one, year, left
Wow, that's cool, I can't hardly wait!
You don't have to, because here it is

[Outro: Busta Rhymes]
Callin' all live niggas
Callin' all live bitches
We got a job for y'all on planet earth
Flipmode world domination in progress
Motherfuckers",eastcoast
1,The Whole World Looking at Me,206333,29,78,When Disaster Strikes,1,TRUE,2,1997,Busta Rhymes,0.788,0.784,6,-7.687,1,0.303,0.0211,1.70E-06,0.165,0.723,84.91,4,"[Chorus]
The whole world lookin' at me
Watchin' and waitin' to see (yo)
If I fulfill (yo), my destiny (yo, yo, yo)
The whole (yo), world lookin' at me (yo, I feel so imperial)
Watchin' and waitin' to see
If I fulfill (yo, I feel, reignin') my destiny (hahaha)
The whole (yo), world lookin' at me (yo, I feel so supreme)
Watchin' and waitin' to see
If I fulfill (haha), my destiny (hahahahaha)
The whole world (I feel so good), lookin' at me

[Verse 1]
Uh, my interruption, cause a major concussion
Dome piece swollen, son you need a cup of Bufferin'
Peep my post-production, (Hey!), follow my instruction
Bounce back, my repercussion cause mass destruction
Fuck around strain ya, 'til ya plan malfunction
Sit cha ass down, (Hey!), bouncin' out ta Flushin (Queens, NYC)
Check extra P, by the boom weed, from a Russian
I remember, when I used ta rhyme, for next to nothin'
I got so much ta offer, every time I tell you somethin'
(Hey!) I'm about ta drop it! (Who?) you could never stop it
Let me quickly chop it, still, a lot of niggas -
Idolize the false prophet, the rhyming Lou Gossett
Hold your head and shoulders, yo I roll with evil holders
Dealin with the facts, I hold the science in the folders
The jewel, on how to knock you from concussion, into comas
Test shit, I pull your valve from out your breast kid
Mess with, shit like this, after God blessed it

[Chorus]
The whole world lookin' at me
Watchin' and waitin' to see (I feel so supreme)
If I fulfill my destiny (I feel so good)
The whole world lookin' at me
Watchin' and waitin' to see (we gotta keep it alive)
If I fulfill my destiny (we gotta keep it alive)

[Verse 2]
The whole world lookin' at me
Uh, I'm bout to cause chaos, steady bustin ya bra's
Switch to witch craft, my chemistry witcha séance
Fuck the bullshit, livin' in the zone of my renaissance
My squad stay formin', like the Muslims down at the Mosque
Split ya fuckin frame, like we raisin splittin' cigars
I be workin' wonders, my squad formin' numbers
Christopher Columbus? Discover how yo' speed
Got swell up like cucumbers, my name be rollin' thunders
My degrees multiply the heat, more this summer
My flows got so much rhythm, substitute the drummer
Yo fuck that, focusin' about the front runner
Who you think you is? You better stay protected -
Walkin' out the door, makin' sure you rock the double breasted
Fuckin' with them devils, watch your soul get recollected
Motherfuckin' shame when you (DIE!) disrespected
Every bitch nigga in the world, should be arrested
Beat with many strikes, until their train of thought is redirected
The wrong has been corrected, (GOD!) has been elected
The squad has come to rule us, with the jewels manifested
Extreme, my thought process on every record
Blow the spots to pieces bounce, without a clue right through the exit

[Chorus]
The whole world lookin' at me (yeah, I feel so good)
Watchin' and waitin' to see
If I fulfill my destiny (I feel so supreme)
The whole world lookin' at me (imperial)
Watchin' and waitin' to see
If I fulfill my destiny (I feel so supreme)
The whole world lookin' at me (imperial)
Watchin' and waitin' to see
If I fulfill my destiny (I feel so high)
The whole world lookin' at me (so high in the sky)
Watchin' and waitin' to see
If I fulfill my destiny (we on some other shit)
The whole world lookin' at me (some other shit)
Watchin' and waitin' to see  (so supreme)
If I fulfill my destiny (higher level stuff)
The whole world lookin' at me
Take a look, take a look at me, ha",eastcoast
2,Survival Hungry,206293,27,78,When Disaster Strikes,1,TRUE,3,1997,Busta Rhymes,0.787,0.827,10,-9.04,0,0.383,0.152,0,0.0823,0.778,84.909,4,"[Chorus]
All my niggas dirty
Hungry and thirsty
Hit ya like a 30/30 for watcha worth see
Ya know we got to get this money
Survival hungry

[Verse 1]
A yo ooh baby, what I feel is just, ha
The type of shit that make you act stupid for real, what the..
Ya'll, before ya try to wear these you need to hear these
Welcome all ya'll to my world series
Ya ya ya elaborate on Busta Rhymes theories
Ya ya ya I gon' bust your ass on behalf of all MCs
Ya ya ya never disrespect these monumental creating new flow
The full blast we'll hit'em hit'em hit'em high hit'em low
And while your style will soften, my mind will drift often
To illusions of my lyrics given you massages in the coffin
The boom shock ooh wee
Horny nigga crash into a motherfucking tree
Officialize shit when we in the place to be
Extra strength nigga maximize the party
So fierce I just pierce (ha) in the place
Make the spot look scarce, I pierce needles in ya face
Fuck dumb shit straight up
Keep it bouncin baby make sure you hold your weight up
A ha yea, just watch how the flow will change up for sure
Reppin' until my niggas walk out the door

[Chorus]
All my niggas dirty
Hungry and thirsty
Hit ya like a 30/30 for watcha worth see
Ya know we got to get this money
Survival hungry

[Verse 2]
Yo, I refuse to lose, look at the news and read the interviews
Flipmode is the Squad, a unit made of many crews
Give me the whole entire wheel of fortune
Making a sacrifice no matter what the shit be costing
And while you coughing I be flossing like a fuckin dolphin
A lot of bitch rich niggas experience extortion
Since I was born when I perform, I drop a million
And one stony rocks on niggas like a fuckin hailstorm
I pollute yo, my new flow, put on your funeral home suit
And execute 'em with a bang (shoot)
The blow torch has been ignited, those who so excited, ha
I'm bout to rope 'em in, a bunch of bitch niggas are being extradited
You soundin' so sloppy, like a broken muffler draggin behind, an old jalopy
Once the bomb drops, here's the aftermath
Scientists tried to dissect the way, I formulate my craft
Worrying 'bout how I achieve things
The way I analyze shit and how I percieve things
My style is real, like lamb skin imported from the Persian
Follow my excursion, all the way 'til you feelin' the new revised version
I complete then I defeat, destroy who ever complicate
How I eat, survival hungry nigga

[Chorus]
All my niggas dirty
Hungry and thirsty
Hit ya like a 30/30 for watcha worth see
Ya know we got to get this money
Survival hungry",eastcoast
3,When Disaster Strikes,205000,29,78,When Disaster Strikes,1,TRUE,4,1997,Busta Rhymes,0.812,0.737,10,-7.983,0,0.345,0.364,6.11E-06,0.118,0.805,81.766,4,"[Intro]
Yeah, good god

[Chorus]
(Tra-la-la-la-la, tra-la-la-la-la
Tra-la-la-la-la, tra-la-la-la-la)
Yeah, for all you motherfuckers, across the whole entire galaxy
Busta Rhymes,and the whole entire Flipmode Squad
Back at y'all motherfuckers in 1997
(Tra-la-la-la-la, tra-la-la-la-la
Tra-la-la-la-la, tra-la-la-la-la)
Ha, when disaster strikes, when disaster strikes
Take a look and sit on the sidelines and bear witness, ha

[Verse 1]
On and on, return from the future like a centurion
All my affiliates, .et's stack another mil-li-on
While you learn on how the words go to my motherfuckin' song Watch me puts it on
It keeps you open all day long
(The way we fuck shit up you thinkin' something must be wrong)
Set the high standards for corny niggas to get the gong
Bleach your ass blonde and black your color back to bronze
On happy days, I be the coolest nigga like The Fonz
So spectacular how I touch souls from here to Africa
My Zimbabwe niggas bangin' my joints up in they Acura
Ooh, nigga, you feel the bump from bumper to bumper
Drivin' imported five hundreds in foreign license plate numbers
Ha-ha, laugh at ya, oh, me and my passengers
Flip ass niggas over quick like frying pan spatulas
(Why do you be wastin' your time, being mad at us?)
Every voice should sing and help the music sound miraculous

[Chorus]
(Tra-la-la-la-la, tra-la-la-la-la
Tra-la-la-la-la, tra-la-la-la-la)
Yes, yes, y'all, Flipmode Squad y'all
We reign supreme in 1997
When disaster strikes, you will all feel
(Tra-la-la-la-la, tra-la-la-la-la
Tra-la-la-la-la, tra-la-la-la-la)
When disaster strikes, you will all see
When disaster strikes, you will all bear witness
To the Most High Exalted

[Verse 2]
Yo, I keeps flows so ridiculous
Rhyme flow taste good like a handful of cherry licorice
Practice your rhyme or be the local practitionist
Well, you can try being a doctor or being a local obstetricianist
See, you can be somethin'
Quit tryin to work so fuckin' hard towards nothin
This rhyme shit was never de signed for every swollen muffin
Yo, I'm singin'...
Why y'all niggas think that y'all could really see my Squad?
And if we hit you hard, that's when you feel the power of the God
Do it right, and big up my peeps and A-Alikes
On alike, repel, especially feel when disaster strikes
Extremely delicate like the blowing out of candlelights
The quiet killing surprises niggas whenever they wanna fight
That type of shit that shine, and blind a nigga eyesight, a'ight?
We keepin' it tight, y'all niggas don't want it right?
You will never ever get no wins inside mi casa
We killin' all impostors like we killin' cucarachas
Bounce to award ceremonies like we winnin' Oscars
Rhymin' Rastasg eating enough exotic pasta, ha, yo
(We keep it movin' for all of y'all)
Freak y'all niggas out while I'm makin' y'all niggas fall
Disaster will hit ya quick anytime you wanna brawl
Perm press a nigga back, peel them off the wall
So tell me, why do you be wastin' your time, being mad at us?
Every voice should sing, and help the music sound miraculous

[Chorus]
(Tra-la-la-la-la, tra-la-la-la-la
Tra-la-la-la-la, tra-la-la-la-la)
Ha, oh yes, y'all
This situation has now been brought before your very eyes
And as we carry on Flipmode Squad continues to conquer the world
(Tra-la-la-la-la, tra-la-la-la-la
Tra-la-la-la-la, tra-la-la-la-la)
When disaster strikes, you will all fear
When disaster strikes, you will all bear witness
To the Most High Exalted, ha",eastcoast
4,So Hardcore,214640,29,78,When Disaster Strikes,1,TRUE,5,1997,Busta Rhymes,0.743,0.773,11,-6.952,0,0.544,0.0133,0,0.0897,0.595,88.727,4,"[Intro]
Ziggy, ziggy, ziggy, ziggy, ziggy, ziggy zig
Ha-ha-ha, yo
Yo, yo, yo, yo, yo, yo
Yo, yo, yo, yo, yo, yo, yo, yo
Yo, yo, yo, yo, yo, yo
Yo, yo, yo, yo, yo, yo, yo, yo

[Verse 1]
Yo, I walk through brick walls
Fuck around hijack your whole shoppin' malls
I be rippin shit, that's my word bond
Scream, then I watch the whole planet earth respond
Do just what ya told, the remote control
Crash course ya shit, you know how we roll
When I tumble and drive and you reply
My, my, my, my-my-my!
Yo, I execute all plans
Run up in two bitches for me and my mans
Ha, breakin fool, ha, for my fans
In return niggas give me the hot SoundScan
Ha, strike matches, golden egg hatches
Request line is open send all your faxes
Freaks the flows with no rehearsin
Rollerskate backwards when the beat start reversin
You're so wack you make people start cursin
Flows contradict worser than the King James version
Turn on your mic but yo' shit will stop workin
Beats brutalize ya whole rhyme, yo' head hurtin
Broomsticks and witches from rags to riches
We give mad love while y'all niggas to BURN bridges
Amateur, why won't you look right at the calender
A matter of time before I start to damage ya
So starvin to just bust my rhyme caliber
Consecutive wounds like a nigga stabbin ya
YO! My whole team get WILD cream!
Politickin every move to the EX-treme!

[Chorus]
So hardcore like Quickdraw McGraw
Fuck what you heard, you ain't heard this before
So hardcore like Quickdraw McGraw
Fuck what you heard, you ain't heard this before
So hardcore like Quickdraw McGraw
Fuck what you heard, you ain't heard this before
So hardcore like Quickdraw McGraw
Fuck what you heard, you ain't heard this before

[Verse Two]
Ha, yo! I come right through the door
With rhymes galore Busta Rhymes be ambassador
Explore my metaphor you beg for more
Hardcore see we a show they insecure
I said my whole squad of niggas come through and break the law
My family tight more than Connect Four
I come through and create the masterpieces
Bend your mind with rhyme telekenesis!
YO, I will break shit down!
Lost or found flow will blast like a four pound!
Right before I hit you off with my vaccine ('cine)
Starch, carbohydrates, lots of protein!
Maxine, baby girl yo I hope yo' ass clean!
Magazine frontin, fly lips is lime green!
Yo, every time, yo, I'm on the scene!
High beam the lights and watch who will remain supreme!
Ha! Yes, you know when I keep it comin'
Blow the fort, make you resort to handcuffin
Bounce on the beat and watch how a nigga work it
Buck wild makin yo' speaker short circuit
This heavyweight tip the scale on the triple beam (beam)
Busta Rhymes blast and still bang the mainstream!
BLAOW! I had to make ya all mad
Hit ya off, interludes, bounce to Trinidad
Now I see a bitch-nigga soundin so soft
Make a nigga cough, breakin and turn yo' ass off (off)
Extra raw lay on yo' back get on the floor
Busta Rhymes, got to headline the whole tour!
Cause we

[Hook] w/ minor variations",eastcoast
5,Get High Tonight,231333,37,78,When Disaster Strikes,1,TRUE,6,1997,Busta Rhymes,0.877,0.576,11,-7.593,0,0.394,0.0985,0,0.288,0.878,87.962,4,"[Verse 1: Busta Rhymes]
Before I set it off and show what I'm gonna do to ya
Possess the bomb chocolate from off Lynden and Utica
My real live niggas in the place and no queen
Wave your splif high son, fuck the bullshit
When your arms are open, my palms release the bomb
Reviving the alarm, my word is my bond
Scream at niggas through the intercom
Up to date, let's roller skate
Yo my whole squad smoking ain't straight unless we smoking at eight high rate
I always produce the potion
Weed smoking got me moving slow motion like we floatin on relax ocean
All my peeps who feel high
Don't want you darker shades, there's to much smoke up in your eye
Keep it swinging listen to all of my bells ringing
My get high has niggas wanting to start singing
And this goes out to those that smoke out the bong
And all my bitches in the place who roll they own draws

[Chorus: Busta Rhymes]
Buy a nickel bag
Smoke a little lah
Get high tonight
Get high tonight
Buy a nickel bag
Smoke a little lah
Get high tonight
Get high tonight

[Verse 2: Busta Rhymes]
Yo, bounce back you just caught the contact African black overreact, charge
I'm bout to bench the whole wack must interact on every track
Blow this spot down niggas break fool and smoke across the world almanac
My sons that don't smoke and get high
Drinkin Cognac, Hennesey, Cristal but wait
What's goin on with dat?
With the deal done sometimes I sip Jamaican white rum
Taste with a little milk, I know y'all niggas want some
Represent where you from needing some Tic Tacs and gum
So a nigga breath don't blahhh!!!
Get high, then I get fly when I be shopping at the atrium
Smoking in the center of Yankee stadium
Stand strong, yes we rock on and on
The Flipmode stamps all of my songs
They get a place them niggas must perfrom
Smoke till your brain fry
So high you can't open your eye
My niggas need to just

[Chorus: Busta Rhymes]
Buy a nickel bag
Smoke a little lah
Get high tonight
Get high tonight
Buy a nickel bag
Smoke a little lah
Get high tonight
Get high tonight
Buy a nickel bag
Smoke a little lah
Get high tonight
Get high tonight
Buy a nickel bag
Smoke a little lah
Get high tonight
Get high tonight
Buy a nickel bag
Smoke a little lah
Get high tonight
Get high tonight",eastcoast
6,Turn It Up,251906,32,78,When Disaster Strikes,1,TRUE,7,1997,Busta Rhymes,0.891,0.651,4,-7.981,1,0.235,0.0181,0,0.27,0.833,90.729,4,"[Verse 1]
We grind ya'll
Bounce back, open your mind ya'll
Grind your whole ass till you twist your waistline
Ya'll know the time
Hey yo feel the base line
Stack the overdrive
Bounce, baby feel the incline
So genuine, every time, Busta redefine
The wicked knew the dime
Makin' y'all press rewind
Hope you feelin' fine
Watch me combine and intertwine
The bounce rock skates make you cross the foul line
Shine a nickel nine
On all kinds of little swine
Stick the worst of porcupine
If you tryin' to take mine
Yo, pick up my nigga Spliff
In the blue 5S's
Sportin' out tan, interior blue head rests
Move, baby no time for second guesses
Been articulate the right bounce as the flow finesses
Yo we gettin' papers spreadin' love and happiness's
Shit blazin' so hot DJ's scratch the test presses
Like make it mo' hot baby

[Chorus]
Turn it up, I wanna hear it real loud, just
Turn it up, so we can party in the loft, baby
Turn it up, we need to tear the roof off, so just
Turn it up, I need to make it mo hot, baby

[Verse 2]
Yo, word is bond
Baby let's get it on
I never say it wrong
Yo baby girl take off your thong
Let me put it in your spirit like the holy Qur'an
Got the mega song
Sweet like honey chicken Dijon
Movin' along
Yo, honey body look real strong
Watch your ass swing
Hangin' like a medallion
Exercise baby let me see you spread on the floor
What you askin' for?
Relax, I'm bout to give you some more
Where the liquor store?
Hit you with some more metaphor
The raw, hot to def shit you never seen it before
Hit the deck, on your mark, get set, we bout to jet
Spark it like ingelet, chickens breakin' their neck
Yo we play to win
Such a shame, shit is a sin
So hot baby body heat bubble your skin
Every time I flow speak
I caress the whole beach
Just like the body guard Les straight walkin' the street
We get down

[Chorus]
Turn it up, I wanna hear it real loud, just
Turn it up, so we can party in the loft, baby
Turn it up, we need to tear the roof off, so just
Turn it up, I need to make it mo hot, baby

[Verse 3]
Yo, come on baby just feel my heat wave
A lot of hot ones ready for niggas that act brave
Chill son, you better off if you behave
Flip money while broke niggas tryin' to save
Lay low, I say so, my pesos
Import my cheese stack by the castros
Make clothes
Or stay fly a chase hoes
Equatorians soft lips and straight nose
Makin' dough
When we rippin' the paid show
Get the money and dip, we in the Range Rove
Now we makin' grands
We name brand
We make plans, change plans
Then we expand across land
Do it properly
Yo, I said open sesame
The recipe, be the hot shit, it's got to be
Yo, landscape
We arrange a whole shape
Rock the fly tape
Then I continue to sky scrape
Like blah!
So hot

[Chorus]
Turn it up, I wanna hear it real loud, just
Turn it up, so we can party in the loft, baby
Turn it up, we need to tear the roof off, so just
Turn it up, I need to make it mo hot, baby",eastcoast
7,Put Your Hands Where My Eyes Could See,194293,62,78,When Disaster Strikes,1,TRUE,8,1997,Busta Rhymes,0.906,0.623,1,-6.711,0,0.303,0.00864,4.19E-06,0.0753,0.715,99.498,4,"[Intro]
Ahh yeah, Flipmode
Here we come bout to bust and explode
Flipmode, Busta Bus
Nine-seven, hot shit
Check it out

[Verse 1]
Hit you with no delaying so what you sayin yo
Silly with my nine milli, what the deally yo
When I be on the mic yes I do my duty yo
Wild up in the club like we wild in the studio
You don't wanna VIOLATE nigga really and truly yo
My main thug nigga named Julio he moody yo
Type of nigga that'll slap you with the tool-io
Bitch nigga scared to death, act fruity yo
Fuck that, look at shorty, she a little cutie yo
The way she shake it make me wanna get all in the booty yo
Tappin' mistresses, bangin' bitches in videos (huh?)
Whylin with my freak like we up in the freak shows
Hit you with the shit make you feel it all in your toes
Hot shit got all you niggas in wet clothes
Styling my metaphors when I formulate my flows
If you don't know you fucking with lyrical player pros, like that

[Chorus]
Do you really wanna party with me
Let me see just what you got for me
Put all your hands where my eyes can see
Straight buckwildin' in the place to be
If you really wanna party with me
Let me see just what you got for me
Put all your hands where my eyes can see
Straight buckwildin' in the place to be

[Verse 2]
If you really wanna party with me, In God We Trust
Yo it's a must that you heard of us yo we murderous
A lot of niggas is wondering and they curious
How me and my niggas do it, it's so mysterious
Furious, all of my niggas is serious
Shook niggas be walkin around fearing us
Front nigga, like you don't wanna be hearing us
Gotta listen to how radio yo be playing us
Thirty time a day shit'll make you delirious
Damaging everything all up in your ear-ius
Yo it's funny how all the chickens be always serving us
All up in between they ass where they wanna carry us
Hit ya good then I hit em off with the alias
Various, chickens they wanna marry us
Yo it's Flipmode my nigga you know we bout to bust
Seven figure money the label preparing us
Bite the dust, instead of you, making a fuss
Niggas know better cause there ain't no comparing us
Mad at us, niggas is never, we fabulous
Hit my people off with the flow that be marvelous
Oh shit, my whole clique victorious
Taking no prisoners niggas is straight up warriors
While you feeling that I know you be feeling so glorious
Then I blaze and reminisce on my nigga Notorious

Like that, like that-tha-that-that
That that that, tha-that-that-that
Like that

[Chorus]
Do you really wanna party with me
Let me see just what you got for me
Put all your hands where my eyes can see
Straight buckwildin' in the place to be
If you really wanna party with me
Let me see just what you got for me
Put all your hands where my eyes can see
Straight buckwildin' in the place to be",eastcoast
8,There's Not a Problem My Squad Can't Fix,199973,28,78,When Disaster Strikes,1,TRUE,9,1997,Busta Rhymes/Jamal,0.919,0.594,10,-6.165,0,0.307,0.00767,0,0.19,0.832,102.52,4,"[Intro: Jamal]
C'mon, yeah.. villain
C'mon, aight?
I got this side right here
Take this side right there
C'mon do this
Busta Bus
C'mon, aight?
C'mon (here we go) stayin street

[Verse 1: Jamal]
Paws, to the wall, with the dirty dog, raw rap-ture
If you ain't with it bite crotch til it break your jaw
(Your jaw) For tryin to knock us
Tryin to kill or stop us, jack our propers
Busta Bus, they fakin, the cake is for the takin
While they runnin they face, I'm lettin the plan bake
Formulate, now look at the plot, we got
More and more shit that's hot, show to rock the spot
Clock or knot, nigga the whole pot
Ready or not, we comin, snatchin every comer
Witcha ho in the Benz-O, dumbin like a motherfucker

[Verse 2: Busta Rhymes]
You can be my lady, you could even be my lollipop sucker
The road dawg baby comin like the mad trucker
Lot of jealous niggas lookin funnier than Chris Tucker
God bless, oh yes, I stay fresh
Full of finesse, my congress show progress
Stylish, hit you with the shit to digest
In this rhyme shit we be some of the world's finest
Your Highness, leavin corny niggas spineless
Attack it with the classic rhyme flow timeless (ha ha)

[Chorus: Busta Rhymes]
Not a problem my squad can't fix
'Cause we can do, it in the mix
So when you niggas talk trash, you can get a bust ass
'Cause you know we don't fuck around
When you niggas talk shit, lay ya six feet under the ground
Ground ground, ground ground
When you niggas talk shit, lay ya six feet under the ground
Ground ground, ground ground

[Verse 3: Jamal]
This is how we ride, throw your hands from side to side
It's party time, and don't forget get yours, cause I'mma get mine
(Who dat?) The villain til I'm peelin a million
Ridin dirty, and bustin like thirty-thirty, til a nigga end
Knowin that the shit is fucked I'm still here to win (what?)
Cheddar (uh) if you ain't about it then I think you better
Hang the little plot you got, don't sweat it main
My nigga, my life's uncut like Kane, real raw
Y'all don't know shit about Jamal or what I'm in it for:
Cash, cars, fly whores and tours
Fillin my pipe, with no messes and no limits
Them other one scrimpin, has the tent froze frigid
Fraud as a gimmick, dick lickin chasin chickens
I mash for the cash with the click and
Rip a show then I'm dippin in the whip and high trippin

[Verse 4: Busta Rhymes]
While y'all niggas hoppin and skippin I stick the clip in, yo
Accelerate on the gas, move fast
Blast, find a nigga FOOT in your ass
Colorful niggas, just peep the whole contrast
Flipmode is the Squad, a news flash
Bust your shit up, what the fuck, nigga get up
Violate, niggas get they whole SHIT lit up!
Break fool, niggas know the rules, rob jewels
Champagne bath, throw the Moet in the pool
Nigga caught a motherfuckin strain on the brain
Ridin on the train, I'mma whip a Benz in the rain
Oversized click on the rise so realize we be
Dem niggas that dead up all you funny little small fries
The franchise, Flipmode damagin all of you fall guys
Yo I'm tired of niggas they full of true lies
No time.. we got the right surprise
Need a new beginnin, need to get a baptise
Ha ha, you need to get a baptise
Word is bond, aiyyo

[Chorus: Busta Rhymes]
Not a problem my squad can't fix
'Cause we can do, it in the mix
So when you niggas talk trash, you can get a bust ass
'Cause you know we don't fuck around
When you niggas talk shit, lay ya six feet under the ground
Ground ground, ground ground
When you niggas talk shit, lay ya six feet under the ground
Ground ground, ground ground

[Outro: Busta Rhymes]
Ground, a-ground, a-gr-gr-ground-ground
Just party to the shit like this c'mon
Just bounce to the motherfuckin beat c'mon
You niggas don't know my brand new song c'mon
Aiyyo, hear me out y'all, UHH
Yo, and just feel my shit
C'mon bounce what the fuck?",eastcoast
9,We Could Take It Outside,288426,30,78,When Disaster Strikes,1,TRUE,10,1997,Busta Rhymes/Jamal,0.613,0.582,4,-9.034,0,0.386,0.109,0,0.252,0.832,176.233,4,"[Intro: Rampage (Baby Sham)]
That's that joint (You know that ain't doin it again)
Uh, do it! Do it!

[Verse 1: Rampage]
I'm a Natural Born Killa that's Born to Rise
Flipmode is da Squad so it's no surprise
Niggas want to advertise about how we get down
You fuck around: leave your body in the lost and found
How you like me now?
We got the industry on lock
The world is on shock
I'm a take a piece of the rock
Yo, you feel it in the heart when we took you to the park
Midnight after dark, I'm the raider of the lost ark (ark echo's)

[Verse 2: Serious]
Now na na na na na na, na na nah
Super size, super size, right before your eyes
I bring in treats like giant sweet potato pies
Wise, sword shift and I spit on flies
Killing all the tips from studio spies
Head to bed, beddie bye, beddie bye
Don't ask why. Why? What do you ask as a reply?
Flipmode's the Squad don't rest, don't try
Peace to my people in the friendly sky
Peace to my outer space ties

[Verse 3: Spliff Star]
I'm in leather like the ladies
Bigger than crack in the 80's {​​​*echoes*}​​​
Drive the buggy I Mercedes
Blow up like C-4
Got so much to live for
Can't play the game no more
Pick up the cain no more
Brothers ain't the same no more
Try to sweat me, what am I aiming for
Get yourself caught up
Faggot ass tore up
In the worst way, the only way you can stop me
Is cock your Glock and shot me
Drop me, pop me, make sure you that you got me
Cause anyhow I live I'm comin back for you poppy

[Chorus: Busta Rhymes]
What y'all niggas wanna do?
(Yo we can take it outside)
Ya'll niggas want something?
(Yo we can take it outside)
What y'all niggas wanna do?
(Yo we can take it outside)
Ya'll niggas want something?
(Yo we can take it outside)

[Verse 4: Baby Sham]
Push up in the hot rod, alley cats a rah rah
All my flipmode in the backseats with chrome nines
I'm here to bust mine
Nigga fragile let his brain fry
Pretty boy sliced up feel the contact from this red eye
You failed to realize when you macks me you drop the plastic
Run up in your crib and snatch the heemis from the mattress
My crew expanded, QB is where we landed
Yellow strip you crossed it
Now I'm forcing you to drink this Sham's potion
Show me were loaded
The desert eagle hear it cockin'
Lovin my doggies
While we shinin' continue flossin

[Break: Busta Rhymes & (Lord Have Mercy)]
(Flipmode, Flipmode) Killa kids
Flipmode we are, 'mode we are..

[Verse 5: Rah Digga]
Fuck steppin on toes I crush the whole shoe
Pronto like Cru till I'm Triumphant like Wu
The shit you talkin crazy like niggas turnin in their hand guns
I be burnin MC's like Betty's grandson
Smokin grey poupon boy
Two lines, I chew rhymes and make niggas fold like they was futons
Rah Digga, all day Outsidaz, this Squad be Flipmode
We get our dick rode a whole shitload

[Chorus: Busta Rhymes]
What y'all niggas wanna do?
(Yo we can take it outside)
Ya'll niggas want something?
(Yo we can take it outside)
What y'all niggas wanna do?
(Yo we can take it outside)
Ya'll niggas want something?
(Yo we can take it outside)

[Verse 6: Lord Have Mercy]
We the official g-u-rilla to lead militias
That pillage, americana
Spit sentences like, venomous iguanas
Reminisce the promise
Bring drama like Nicaragua
Fatigues march, army leaders, they count crooked drug dollars
And sip fresh squeezed milk from the titties of llamas
Leave cities in carnage
Pretty as farmers that pour whiskey at harvest and hold 16 bananas
Maintain, maintain, maintain
I reign like Mussolini's iron fists
Try on this, you can't see me like vagina lips
Smugglin diamond chips, bubblin anonymous
The dominant will resource and count on script crews and world wars

[Verse 7: Busta Rhymes]
Yo, you better practice what you preach
I got 7 MC's at 10 G's a show each
Never interfere and shit, souvenirs for your ears and shit
Clear poetry like William Shakespeare and shit
Word is bond checkin me out
Hey what you talkin about
You lost and you walkin about
Niggas got beef they really want to chill and start talkin it out
Hey, oh my god, y'all nigga be buggin me out
Wish they could lay me down and have the police start chalkin me out
Now I zoom in on you and my niggas start stalkin you out
Shut down on bullshit you total recallin' about
This one's for my people and my niggas up North
The rulership dynasty of Flipmode finally come forth
Exports and imports hittin you with flavors of all sorts
My squad comin through, chop off your ear

[Chorus: Busta Rhymes]
What y'all niggas wanna do?
(Yo we can take it outside)
Ya'll niggas want something?
(Yo we can take it outside)
What y'all niggas wanna do?
(Yo we can take it outside)
Ya'll niggas want something?
(Yo we can take it outside)
What y'all niggas wanna do?
(Yo we can take it outside)
Ya'll niggas want something?
(Yo we can take it outside)
What y'all niggas wanna do?
(Yo we can take it outside)
Ya'll niggas want something?
(Yo we can take it outside)",eastcoast
