index,name,duration_ms,popularity,num_markets,album,disc_number,is_explicit,track_number,release_date,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,lyrics,region
0,Yay Area,228013,40,77,My Ghetto Report Card,1,TRUE,1,3/14/2006,E-40,0.6,0.671,11,-8.971,1,0.406,0.0235,0,0.0826,0.575,93.704,1,"[Intro: Digable Planets sample]
Poobah of the styles like Miles and shit
Like sixties funky worms with waves and perms
Just sendin' chunky rhythms right down your block
We be to rap, what key be to lock - but
We be to rap, what key be to lock
We be - we be to rap, what key be to lock - but
We be to rap, what key be to lock
We be - we be to rap, what key be to lock - but

{*pattern repeats in background as the beat comes in*}

[Intro: E-40]
Ooooooh; I got my second wind pimp! E-40
Rick Rock! I got my second wind, Sick Wid' It, BME
Talk to a peeeimp (Warner Brothers) fuck with a peeeimp
Oooooh; talk to a peeeimp, fuck with a peeeimp

[E-40]
Heavyweight, a vet not a amateur - what else?
Looted up, I push pies like Marie Callender - what'chu gon' do?
Suit it up, if I must take over shop
Get out the car and walk, sneak up on pahtnah and do a dome shot
Kerpow! Kerpow.. (kerpow.. kerpow..) OOOOH
Then I blend into the crowd
(Oh-ah, oh-ah, oh-ah, oh-ahh...) OOOOH
Hang with a bunch of hotheads, super hyphy and wild
Tell yo' batch to stop askin about a player
Inquirin about a player, can't fuck her right now later
I'm busy gettin my paper and ridin 'round in my scraper
Interactin networkin and campaignin like Arnold Schwarzenegger
Like McCormick's I'm seasoned, I run my region (run yo' region)
Y'all think I'm starvin? Hell naw nigga I'm eatin (we eatin)
Stay barkin like Dino, lyin and cheatin
Keep jackin my lingo one of these rappers gon' end up leakin

[Hook 2X: E-40]
YAY ARE-AHHHHH!!! Like dat?
Tell the people that 40-Water is back
YAY ARE-AHHHHH!!! LIke dat?
Tell the people that 40-Water is back

[E-40]
We be to rap, what key be to lock (key be to lock)
Cut a corner or 2 and bend the block (bend the block)
The West ain't been the same without 'Pac
So I, guess it's up to E-40 and Rick Rock (act like)
... STUNT (uhh)
You hear 40 new shit? He on there comin
You hear 40 new shit? He on there dumpin
Hear all the women talk about ""That nigga somethin!""
(Where you born at?) Born and raised in the Yay (uh-huh)
Got some folks in Lompoc and Skeleton Bay
Uhh, kilograms I had to measure
Finger on my Heckler, havin mo' paper, than a paper shredder
Oooh, tycoon 'til I fall ('til I fall)
I don't sound like none of y'all (none of y'all)
You gettin independent scratch? (uh-huh)
Just remember the niggas that taught you that

[Hook]

[E-40]
Ooooh - who you loyal to? Loyal to my soil
Never leave the pad without my blessing oil (uh-huh)
Cause I surround myself with felons (what they do?)
Pop innertubes and bust melons (oooh)
Ooooh - HUSTLERS
On the lookout for the racketbusters
On the lookout for the fuzz
The racketbusters meanin people them false, them undercovers
Never tell a batch what you're up to (what she might do)
Cause one day she might tell on you (and what else)
And you'll be sittin in the can (while she what)
While she fuckin all yo' friends (uh-huhhh)
Spendin all yo' yaper (what else tell me)
Ridin 'round in yo' scraper (what she givin)
Givin brains (uh-huh)
All the hood homies runnin choo-choo trains

[Hook]

[Repeat to fade]
* We be to rap, what key be to lock
* We be - we be to rap, what key be to lock - but",westcoast
1,Tell Me When to Go (feat. Keak da Sneak),237666,58,77,My Ghetto Report Card,1,TRUE,2,3/14/2006,E-40,0.857,0.751,1,-7.086,1,0.323,0.00642,0.000257,0.104,0.293,106.888,4,"[Hook]
Tell me when to go... Tell me when to go
Tell me when to go... Tell me when to go
Go dumb, dumb, dumb, dumb, dumb, dumb, dumb, dumb
Tell me when to go... Tell me when to go
Tell me when to go... Tell me when to go
Go dumb, dumb, dumb, dumb, dumb, dumb, dumb, dumb

[Verse 1: E-40]
Ooh. Jesus Christ had dreads, so shake em
I ain't got none, but I'm planning on growing some
Imagine all the Hebrews going dumb
Dancing on top of chariots and turning tight ones
Ooh, tell me when to go (dumb)
Talking on my Ghettro on the way to the store
My second or third trip
Some Henny, some Swishers and some Listerine strips
Dr. Greenthumb lips, just to ease my thoughts
Not just the cops, but the homies you got to watch
The moon is full, look at the dark clouds
Sitting in my scraper, watching Oakland Gone Wild, ta-dow
I don't bump mainstream, I knock underground
All that other shit, sugarcoated and watered down
I'm from the Bay where we hyphy and go dumb
From the soil where them rappers be getting their lingo from

[Hook]
Tell me when to go... Tell me when to go
Tell me when to go... Tell me when to go
Dumb, dumb, dumb, dumb, dumb, dumb, dumb, dumb
Tell me when to go... Tell me when to go
Tell me when to go... Tell me when to go
Dumb, dumb, dumb, dumb, dumb, dumb, dumb, dumb

[Verse 2: Keak Da Sneak]
I'm off that 18 dummy juice
Nigga, Raggaman, labeled the Black Zeus
King of the super duper hyphy (hyphy, hyphy, hyphy, hyphy)
Pipey in your wifey, you don't like me
(Like me, like me, like me, like me)
From the Bay to the A
Put me in a Backwood, Swisher sweet bud, orange lace
(Let's go, it's dope) It's just some shit I wrote
My city couldn't be saved by John the Pope (John the Pope)
I slid past on the gas with the bitches at me
It's good, it's good like the granddaddy
Cross game, you get flipped like a burger patty
Or zig-zagged, pass me a big old fatty
I drink white, with a snow bunny
Talking big shit in the scraper, going hella dummy
1800, Jose Cuervo
Yadadamean? Yadada I'm saying though?

[Hook]
Tell me when to go... Tell me when to go
Tell me when to go... Tell me when to go
Dumb, dumb, dumb, dumb, dumb, dumb, dumb, dumb
Tell me when to go... Tell me when to go
Tell me when to go... Tell me when to go
Dumb, dumb, dumb, dumb, dumb, dumb, dumb, dumb

[Outro: E-40]
Now let me direct traffic for a minute
(talk to 'em)
Now, let me tell you about this hyphy movement we got going in the Bay
When I say something you say it right back to me, you smell me?
We're gonna do it like this right here
Ghostride the whip, ghostride the whip
Ghostride the whip, ghostride the whip
Now scrape, scrape, scrape, scrape
Now scrape, scrape, scrape, scrape
Put your stunna shades on
Put your stunna shades on
Put your stunna shades on
Put your stunna shades on
Now gas, brake, dip, dip
Gas, brake, dip, dip
Shake them dreads, shake them dreads
Shake them dreads, shake them dreads
Let me see you show your grill, let me see you show your grill
Let me see you show your grill, let me see you show your grill
Now thizz face, thizz face
Thizz face, thizz face
Doors open, mayne
Doors open, mayne
Doors open, mayne
Doors open, mayne
Now watch em swang, watch em swang
Now watch em swang, watch em swang
Go stupid, go dumb, dumb
Go stupid, go dumb, dumb

[Hook]
Tell me when to go... Tell me when to go
Tell me when to go... Tell me when to go
Dumb, dumb, dumb, dumb, dumb, dumb, dumb, dumb
Tell me when to go... Tell me when to go
Tell me when to go... Tell me when to go
Dumb, dumb, dumb, dumb, dumb, dumb, dumb, dumb",westcoast
2,Muscle Cars (feat. Keak da Sneak & Turf Talk),242320,34,77,My Ghetto Report Card,1,TRUE,3,3/14/2006,E-40,0.906,0.662,1,-6.755,1,0.338,0.00993,0,0.101,0.242,105.018,4,"[Hook] (x2)
Ford, Oldsmo's & Chevy's,(muscle cars)
General Motors and my Dodge Hemi, (muscle cars)
Cutlass, Stangs, Cougars. in the traffic (muscle cars)
Falcons, nice Chevelles, Caprice Classics.(muscle cars)

[E-40]
Not out of the local newspaper, but out the Auto Trader
Cleaner, than virgin coochie, my nigg', one owner Cutlass, playa'
The beat wrapped, monster cables, the speakers humpin
Trunk soundin like King Kong and Godzilla back there thumpin
All we do is drink, and get high and pedal and push!
Organic weed, mystery weed, just Purple Kush!
I cut the the wheel well on my whip and filled that bitch up
Now my muscle car sittin' high like a monster truck
Monster up, suck up to none, don't be no poodle
Split his pack open like pack of Top Ramen noodle
In the heart of the soil where you can find me
Try me fuck boi', and get your face put on a white tee
40, Turf Talk and Keak the Sneak
Them mainey ass voices and they styles is hekka unique
High speed chases and runnin' lights
Water in the duals make loud glass pipes

[Hook]

[Keak Da Sneak]
Four barrel carburetor, four speed tranny
Dual exhaust dipped in sauce
My car is a beast!
Catch me in the streets sideways through the East-
Side, boy, crunk like Lil' Jon
$hort, 40, and Mac Keak the last don
East Oakland, the land of the side show
Richmond, Frisco, to the Valley Jo'
I'm ridin' sideways, this way, that way
Doors open, while in traffic
Hold the door open (Hello!)
Shit'n on em', no front'n
455 got me runnin' up on Aston Martins
Rear-end for the streets, not the freeway
B&M shift kit (kirrrk) me and Danny Phea
On my celly cell straight lace with no fuckin juice
Mobbin in my old school, like Lil' Bruce'

[Hook]

[Turf Talk]
Four 15's, beat supreme
Told niggas fuck Rally's, ride gold one's, mayne
Mother's off candid, don't hate because ya ain't me
Race, fool, smoke in your facial (Bye!)
Supercharger, push this button, that's my engine start up
Pistol tucked, might be primered, but my engine souped up
Foot to the floor
When you open yours, don't scratch my doors
350, I push heavy
Not a Ford, it's a (Chevy), (Chevy), (Chevy)
First owner, not too many miles on her
We rep the BAY, we don't rep California, (I'm lyin'...)
I'mma run you for your car note
Why you don't got SS in front of your Monte Carlo?
Residence full of white folks
I'mma leave fresh tire marks on top of they asphalt

[Hook]

[Outro 4X]
You got a muscle car?
You fuckin' with them muscle cars?",westcoast
4,Sick Wid It II (feat. Turf Talk),208373,24,77,My Ghetto Report Card,1,TRUE,6,3/14/2006,E-40,0.628,0.694,1,-6.447,0,0.376,0.195,0,0.249,0.225,104.99,4,"[Turf Talk] + (E-40)
Damn nigga, ay where Mikey at mayne?
Ay, ay Droop-E, Droop-E! You old enough to drink nigga?
Whassup cousin? (Whassup tycoon, what's goin on?)
It's your young nephew Turkey mayne
(What is it boy? What's goin on family?)
There's a lot of shit that need to be said big cousin
(Talk to me, I'll talk back)
First of all I'mma start by just sayin we can't be fucked with
And you know it!!! (Ooooh)
Got all the whole hood in this motherfucker (the whole soil)
Sick Wid It nigga (now) been runnin this shit

[E-40]
Look out pimp!
Oyster Perpetual, cushion cut bezel
I'm busy I ain't even had time to eat a fortune cookie
Since I signed with BME every promoter
And every agency in the industry been tryin to book me
Mackin-ass 40, what that do?
Sometimes me, always you
Man you a real-ass nigga, man you a boss
If I had yo' hand I woulda been done cut mine off
A cult following, hustlers they love me
Kill a tree and put a rock in the hospital over me
If you see me up in the mountains with a lion, I ain't lyin
Nigga don't help me, my nigga help the mountain lion!
Uhh, chalupas, revenues, yaper, thousand dollar stacks
Turn a couple of ki's into a couple hundred racks
The main drag, the soil, the blacktop
The gravel, the D-spot, we open like IHOP

[Turf Talk]
Yea mayne! These motherfuckers know!
Nigga this is big 40-Water motherfucker!
The ambassador of the Bay nigga!
Nigga we stay eatin over here motherfucker!
You niggas need to step your motherfuckin weight up nigga
Sick Wid It, BME motherfucker

[E-40]
Look out pimp!
Hit me on my chirp, I got that work
Fuck e'rybody else, I got myself on my shirt
Better hurry up and come and get 'em we got the lowest rates
I'm tellin you pimpin cause they goin like hotcakes
Cops come and spoil it we flushin it down the toilet
Throw it in the battery acid and then destroy it
Pay attention and learn, while I teach you how to grit and grind
Fifteen five? All the time (cool)
These square-ass rappers, they get a few bucks
Then they, lose contact get out of touch
With the, with the streets, we stick to the turf like cleets
Off the leash, we thirsty we hungry we beasts
Look out, watch out, here come the jumpout
Hide your dope in your anus, and put the weed out
'Fore they beat us and choke us and take our funds
And shoot us with them tazer guns

[Turf Talk]
You niggas'll get your motherfuckin head knocked off fuckin with us boy
Nigga we been doin this shit nigga
Niggas need to bow the fuck down and pay homage nigga
Niggas been stealin our shit for years 40!
Niggas afraid to talk around these motherfuckers, WATER!

[E-40]
The whole enchilada, the whole taco
Motherfucker I'm a capo!
Play with hundred round drums
Me and my u-salaam(?)
A stingy nigga, watch every penny that I spend
Go to any hood in the world and fit right in
A young nigga, with an old soul
A busy nigga, put the President on hold
Ride Vogues, 26 inch toes
Got the inside of the laws smokin like broke stogs
You can find me in the mall, buyin up all the clothes
Or in A-T-L or Club 112, throwin them 'bows
Left and right arms froze, cold like the ice from the cooler
Just left the jeweler, rose gold, Frank Mueller
I smoke big, growin weed in my garage
Police roll up, I got a cannabis card

[Turf Talk]
Wait wait wait! Money.. power and respect motherfucker
40 told you niggas mayne! We hongry nigga!
We eat soup with a fork around this bitch mayne!
Knahmean? Step your motherfuckin weight up nigga
You niggas pockets is touchin motherfucker
You starvin! {*laughter*}",westcoast
5,They Might Be Taping,235506,24,77,My Ghetto Report Card,1,TRUE,8,3/14/2006,E-40,0.532,0.718,1,-6.422,1,0.405,0.0209,0,0.105,0.343,91.343,1,"[E-40]
I like this Rick Rock

I don't be slackin in my mackin, I be doin it in a player fashion
Makin it happen, speakers slappin, scootin and skatin and Cadillac'n
I be, representin my region and pullin up in somethin decent
Used to buy shit off the lot, but now lately I've been leasin
Like the white man I've been thinkin, tryin to come up with a plan
How to spend this dope money, buy some houses and some land
Tryin to teach you niggas somethin, tryin to lace you like a shoe
Buy a couple of fixer-uppers pimpin it ain't gotta be brand new
I'm a boss about my shit, about the way I carry it
The way I wear my glasses low, the way I sport my toothpick
The way I pop it at a ho, the way I utilize my mouth
The way I keep my fuckin blowover over at a relative's house
Beware of yo' surroundings, gotta handpick yo' cronies
Gotta be about your allowance, and X out all the phonies
Gotta watch out for them folks, gotta watch yo' conversations
Gotta be careful on the phones cause them folks might be taping

[Hook]
(Aww shit, talk in pig latin, use the codes)
They might be taping
(Aww man, you think they taping?)
Gotta be careful on the phones cause them folks might be taping
(Aww shit, they readin lips, cover your nose)
They might be taping
(Naw man, you think they taping?)
Gotta be careful on the phones cause them folks might be taping

[E-40]
40 {?} an ounce of space, ain't even had time to wash my face
I been in the traffic tryin to get it, I ain't got time to fuckin waste
My money's short like I'm slippin, I'm tryin to smack it up and flip it
I'm tryin to turn this thousand dollars into a quarter of a mill' ticket
Some of you suckers be lyin to kick it, but that ain't the fuckin way
Niggas be sellin mo' wolf tickets than fake autographs on eBay
My orangutangs'll growl, with our upside down smile
We been doin it for a while, you can check my d-boy file
I be fuckin 'em up like this man, I be killin 'em off like that
Divin up in them hoes mayne and treatin them hoes like rats
Niggas don't really know that I'm so sincere about this here
Niggas don't really know that I got my name from drinkin beer
Do a cauliflowered ear, me and my muskateers
Come through with them choppers, let the lil' homey steer
I like to dress up in my Dockers, camouflage my real career
But I'm really packin woppers, pistols rusty like Pam Grier

[Hook]

[Interlude]
""Taping, taping, taping-taping-taping"" {*2X*}
[E-40] They might be taping
""Taping, taping, taping-taping-taping"" {*2X*}
[E-40] Gotta be careful on the phones cause them folks might be taping

[E-40]
I wish a motherfucker would, I'm still livin my second childhood
My mentality, my frame of mind, all hood
I'm in the local booth with my nine, breakin down a backwood
Sippin on 40, drink cloud nine, try to get it while it's good
In the heart of the soil, in the middle of the paint, where it ain't
Where we park our cars on the grass, sell hop and push crank
Where the dopefiends dig in our tracks and siphon gas from our tanks
Where the biggest hypocrites in the church call themselves saints
I don't gossip like bitches I mind my own fuckin business
Dig yaper good money cause that sucker shit ain't nutritious
I don't be burnin no bridges I'm a loyalist 'bout my riches
Gumbo pots boil, good with the skillet like a chemist
Steady long like a female weave, cooler than antifreeze
Bust you in the toe like Eddie Murphy did DeLouise
Act like you know what I represent, bitch please
That powdered milk section 8 and that government cheese, ho!

[Hook]

[Outro - same as Interlude]",westcoast
7,U and Dat (feat. T. Pain & Kandi Girl),202720,61,77,My Ghetto Report Card,1,TRUE,13,3/14/2006,E-40,0.858,0.484,6,-7.448,0,0.277,0.0241,1.80E-06,0.123,0.329,99.992,4,"[Hook: T-Pain]
Girl I've been shakin, stickin and movin
Tryin to get to youuuuu and that booty
Tryin to get to youuuuu and that booty
Tryin to get to youuuuu and that booty
Girl I've been shakin and actin a donkey
Tryin to get to youuuuu and that monkey
Tryin to get to youuuuu and that monkey
Tryin to get to youuuuu and that monkey​

[Bridge: T-Pain]
Girl he's simpin, simpin
Walk up in the club with a limp and, limp and
Girl listen
What'cha gon' doooooo with this pimpin
What'cha gon' doooooo with this pimpin

Girl I'mma call ya, call ya
Later on tonight or tomorrow, morrow
Now follow
What'cha gon' doooooo with this baller
What'cha gon' doooooo with this baller

[E-40 Talking]
E-40, T-Pain, ooooh

[Verse 1: E-40]
What'chu gon' do when I bend the block
Pull up on that ass in a brand new drop
Speakers on blast with tremendous knock
TV's in the dash, rims just won't stop
You need to be down with a pimp like me
I ain't turnin down nuttin but my collar ya see
I'mma leave you with my number you should holla at me
Cause I'm a baller can't nobody hustle harder than me
Oooooh

[Hook: T-Pain]
Girl I've been shakin, stickin and movin
Tryin to get to youuuuu and that booty
Tryin to get to youuuuu and that booty
Tryin to get to youuuuu and that booty
Girl I've been shakin and actin a donkey
Tryin to get to youuuuu and that monkey
Tryin to get to youuuuu and that monkey
Tryin to get to youuuuu and that monkey​

[Verse 2: E-40]
Oooooh, big ass is right
I ain't tryin to let that pass me tonight
I'mma put my bid in and tell you somethin slick
Whisper in your ear while I'm holdin my dick
I don't mean no harm, it's the hood in me
Sippin on that Richard Hennessy
Psychadelic colors in my jewelry
Suckers hella jealous cause you're diggin me
Oooh - now what'chu gon' do momma?
I'm tryin to dip later on, me and you momma
I like the way that you groove when you move momma
You know the women love me, I'm the 40-Water!
Poppin my P's cause I'm laced with game
Nothin but the Yay flowin through my veins
She wears Miss Sixty can't fit into Gucci
Cause her ass big enough to sit a cup on her booty
Goodness!

[Hook: T-Pain]
Girl I've been shakin, stickin and movin
Tryin to get to youuuuu and that booty
Tryin to get to youuuuu and that booty
Tryin to get to youuuuu and that booty
Girl I've been shakin and actin a donkey
Tryin to get to youuuuu and that monkey
Tryin to get to youuuuu and that monkey
Tryin to get to youuuuu and that monkey​

[Verse 3: Kandi Girl]
Yeah I see you lookin, lookin
But my ass in these jeans got you shooken, shooken
I don't think you know what to dooooo with this pussy
What'chu gon' dooooo with this pussy
Yeah I know you want this, want this
Try to chase me through the club for this good shit, good shit
But I don't think you can hannnnnndle this pussy
What'chu gon' dooooo with this pussy

[Verse 4: E-40]
You lookin like you got that good gushy gushy
Fuck around with me I'll beat the brakes off that pussy
Have your ass cummin like a porno star movie
Tell your friends and I bet they all wanna do me
Hoes know me, I'm E-4-oh
They recognized pimpin when I stepped in the do'
Higher than a satellite, full of that 'dro
Holla at a player when you're ready to go!
Oooooh

[Hook: T-Pain]
Girl I've been shakin, stickin and movin
Tryin to get to youuuuu and that booty
Tryin to get to youuuuu and that booty
Tryin to get to youuuuu and that booty
Girl I've been shakin and actin a donkey
Tryin to get to youuuuu and that monkey
Tryin to get to youuuuu and that monkey
Tryin to get to youuuuu and that monkey​",westcoast
8,Yee (feat. Too $hort & Budda),273773,25,77,My Ghetto Report Card,1,TRUE,15,3/14/2006,E-40,0.856,0.784,2,-4.66,1,0.124,0.0589,0,0.0913,0.734,148,4,"[Hook: E-40]
That's the call of my thugs
When they step up in the club they go ""YEE!""
When you hit the prison bricks
From Vallejo or the Rich' they holla ""YEE!""
You can catch me in the traffic
In the Cutlass or the Maverick holla'n ""YEE!""
If it's lookin like some static
We gon' bust them automatics like ""YEE!""

[E-40]
My area code grow some of the best weed in the world
My ninja we ain't no punk
They say we need to take a bath in tomato juice
Cause we always smell like skunk
Sloppy drunk, 9 times out of 10, or e'ry time you see me
Bendin co'ners, in my brand new Dodge Durango Hemi
Pimpin the law up on us! Officer Smokey and Mr. Johnny Law
Always pullin me over and searchin my fuckin car
Searchin my glutteus maximus, flashlight in my drawers
Actin like some batches-es, thinkin I got raw!
Doin it big, take a swig, sip a sip, twist a lid
Smoke a spliff, or a {?}, push a wig, 'bout my nig
E'rybody wanna talk that talk
Wanna walk that walk, wanna bark that bark
E'rybody wanna pop that pop
Wanna drop that stop with a pillowtop
I get a call from Young Bop, he up out my zone
He said yo' Hillside nigga Ned on his way home
I said well tell him to call me I love his ass to death
Any nigga hatin we gon' take his last breath

[Hook]

[Too $hort]
Beotch! Beotch!
It's yo' potnah from the town mayne
I see y'all doin it big, you gettin down mayne
Yeah I fuck with the V, Richmond know me
Wherever niggas ballin that's where bitches gon' be
You can go across the bridge, fuckin with a bitch
Don't matter which side, you'll be all up in some shit
Before you know it, it ain't like it used to be
E'rybody got straps that shoot you or me
I don't give a fuck about who, I don't even know you
Whassup? Yeah pimpin, I got my thang too
And it's cool, cause I know you know it
I ain't even gotta pull it, I ain't even gotta show it
Don't blow it, that's what a black man's thinkin
I'll be layin underground in a casket stinkin
If I slip, I gotta keep my poise
You hear that eight-oh-eight bumpin
Man what's all that noise?

[Hook]

[Budda]
Get your head busted in, I'm not your boy or your friend {*2X*}
You said dat do dat, pull dat shoot that
Now where your crew at, what'chu gon' do next?
I'm a West coast nigga, YEE!
I'm a East coast nigga, YEE!
I'm a Down South nigga, YEE!
I'm a Midwest nigga, YEE!

[Hook]",westcoast
9,Gimme Head (feat. Al Kapone & Bosko),361480,28,77,My Ghetto Report Card,1,TRUE,18,3/14/2006,E-40,0.914,0.655,8,-7.28,0,0.116,0.00621,0,0.0574,0.914,127.955,4,"[E-40]
Damn little momma
I ain't gon' lie yo' dome action is VICIOUS
Feel like I'm in yo' pussy when you suckin my dick!

[Hook 1: repeat 2X]
Gimme head ho! {​​*repeat 6X*}​​
Gimme head 'til I'm dead, gimme head ho!

[Hook 2: Bosko singing the line 2X]
Feels like I'm in yo pus-sy... when you suckin my dick

[Hook 1] + [Hook 2] - performed simultaneously

[E-40]
Smack it up, flip it, rub it down
Feels so good when you go downtown
I like it when you moan and groan and make that sound
I love to see your face when you do that frown
Don't hold back just do yo' job
Lick it up and down like corn on the cob
Slob on my knob while your pussy throb
Gimme head 'til I'm deader than a fuckin do'knob
Theraputic and healin, couldn't fight the feelin
She pulled my dick back like a banana peelin
Her throat game platinum, worth a million
Put her on the track, we can make a killin
She can wrap her whole mouth around a fireman pole
Suck a tennis ball through a garden hose
Low cut jeans, like to show that flesh
Pierced toungue ring, big lips and breasts
Ecstasy... Hennessy... broccoli... the remedy
Late night creepin at the Embassy
On hard like I'm out the penitentiary
Baby got back like a slab of ribs
Dang near wanna make her have my kids
Take her home, let her meet my mom and dad
Then introduce her to all my nigs
Front back, side to side
Gettin good head while I'm in my ride
Dip to the crib then we do it again
Have a deep throat contest, you and your friends
Like the 4th of July I'm tryin to reach my peak
Pull it out your mouth, now it's time to skeet
Shoot it everywhere while I'm beatin my meat
In your face, in your hair, all over the sheets

[Hook 1] + [Hook 2] - performed simultaneously w/ ad libs

[Al Kapone]
Up and down, in and out, let me fuck you in your mouth
Slow, want head, that's the type of shit I'm talkin 'bout
Gimme that, gimme that, I'm so glad you into that
If chewing's what your doin, then you best believe I'm comin' back
Black, white, asian, and latino, don't discriminate
Take it out, take it to the face, then ejaculate
Freaky bitch, nasty bitch, my nig' I swear she love this shit
Don't trip pimpin', she gon' swallow it if you bust in it
Look into her eyes, she gon' cum, in the process
Have her panties soakin wet, try to make her choke on it
Deep throat action, hard dick is what I'm packin
When she coughin, when she gaggin, she get pimp, satisfaction
... Got a nigga weak in the knees-ah
Speakin in another toungue, thank you mamacita
That's the way you freak her, pupita in her beaker
Feelin like that pussy make me stroke it a little deeper

[Hook 1] + [Hook 2] - performed simultaneously w/ ad libs

[Bosko - using a vocoder like Roger Troutman]
Suck, suck it baby (baby) suck all of me (all of me, all of me)
Suck, suck it baby (baby) suck all of me (all of me, all of me)
Suck, suck it baby (baby) suck all of me (all of me, all of me)
Suck, suck it baby (baby) suck all of me

[Hook 1] + [Hook 2] - performed simultaneously w/ ad libs

[Hook 1] + [Hook 2] - performed simultaneously w/ ad libs

Woman: Moaning
Man: Put that dick in your mouth
Woman: Softer moaning, sucking sounds
Sounds of man and woman moaning, woman sucking
Man: Yeah that shit feel like a motherfucker. Ooh, that shit feel like yo pussy. God damn! Suck that dick!
Woman: Moaning, sucking, giggles
Man: Damn!
Woman: Wow… giggles… oh my god…
Man: Put that dick back in yo mouth, bitch
Second woman(?): I wanna try that…",westcoast
0,Intro,105000,21,79,In A Major Way,1,TRUE,1,3/14/1995,E-40,0.626,0.68,0,-8.855,1,0.282,0.00895,0.00121,0.287,0.806,69.116,4,"[Verse]
Daddy, Whats cooking pepperoni?
Ah Ain't too much sport just holding on like a hubcap in a fast lane
Ohh like that?
Indubitably
Daddy what kind of rims is that on your car ? you mean neis? yes him
We call him mustard and mayonnaise
Mustard and mendez?
By far
Oh I smell you
For shigitty. you see this part of the tire right here
Which?
This black part
Yea
This the vogue meat
Oh like that
See we call it vogue meat, you know how we burn vogue meat, smoke up the block and all that ?
Yea
Thats the rouge meat
Then see this, see this yellow part right here?
For shiggity
Ok, this yellow part this is the mustard
Rich
Thats the mustard you smell me?
Ok and then this this white part right here this white wall
Oh boy
Thats the mayonnaise
You get it slugger
I thought your thought
Then there was
The mustard
[the mo…(0:52)",westcoast
1,Chip In Da Phone,13626,0,79,In A Major Way,1,TRUE,2,3/14/1995,E-40,0,0.381,8,-21.581,0,0,0.443,0,0.58,0,0,0,"Intro
Marinatin' on the corner with a chip in his phone
You can tell that the Hillside was his home
Mo' scratch than the rest of the pushers
Cause he got a chop suey in the bushes",westcoast
