index,name,duration_ms,popularity,num_markets,album,disc_number,is_explicit,track_number,release_date,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,lyrics,region
0,Intro,129266,58,79,2014 Forest Hills Drive,1,True,1,2014-12-09,J. Cole,0.456,0.268,7,-15.164,0,0.0417,0.844,0.0693,0.107,0.12,78.531,4,"[Produced by J. Cole]

[Verse 1]
Partially functional, half of me is comfortable
The other half is close to the cliff like Mrs. Huxtable
These boys got them hoslters and clips they pack like Lunchables
Like white boys in grade school, while we ate school made food
Just eyeing they shit, wish I was trying they shit
Knowing when mama hit the store she wasn’t buying that shit
No I ain't crying a bit man, that's just life that's how that shit work
You reach your hand in fire, you pull it back when you get burnt
Gotta learn when you get hurt, even if it's with cupid
He beat you and you went back, who's officially stupid?
Oh yeah I understand that's your man, you had a plan
You been together for some years, you sticking with him for the kids
So you overlook the tears, but we both know that's a bad look
'Cause 20 years from now your daughter probably get her ass whooped
Look, if this too deep for the intro I’ll find another use
But just in case its perfect let me introduce
Cole

[Hook: Erykah Badu]
Time to save the world, bearing the world is all the time
So many things I still don't know, so many times I've changed my mind
Guess I was born to make mistakes, but I ain't scared to take the weight
So when I stumble off the path, I know my heart will guide me back

[Verse 2]
Yea, man, is this too deep for the intro? If so I’ll find another use
But just in case its perfect, let me introduce
It’s Cole, I had a dream and so I made a move
A ill ass nigga who just so happened to stay in school
Still rap for hustlers and mothafuckers that hated school
Said ""that's for busters,"" then heard my shit and I made it cool
It's safe to say that I’m gifted as if I’m Christmas shopping
I got gangsta niggas lining up in admissions office
Ayy, possibly cause all the hoes a nigga scraped
A lot of shit up on my plate so you know a nigga late to my first class
I’d much rather sit up in first class
Should I admit that a slutty bitch was my first smash?
Wasn't experienced, so nah I didn't wear it out
Always thought my first time would be someone I cared about
But being a virgin was something to be embarrassed 'bout
I used that ass for practice, so I wasn't scared out my mind
You call it rhymes I call it clearing out my mind
Was just a young boy starin' out my blinds
Till I got free from my mama leash
Running loose through the streets
Like a stray dog in heat
And we looking for some freaks can you play, pardon me
Whats your name, don’t mistake me for no lame, no not me
She knew I was on the team cause she seen how tall I be
In the club dappin’ niggas, even-tu-ally R-I-P
Damn, you win some, you lose some, that just how its happens
And if a nigga step up to ya, then you gotta scrap em
Your name is all you got, throwing hands by the bathroom
Its funny I barely told nobody I started rapping
'Cause see some niggas was haters that I just viewed as clowns
At 14 I knew I was the nicest dude around
I gotta make a move, I gotta do this now
If they don’t know your dreams, then they can't shoot em down

[Interlude]
Ha, yeah nigga
Hell yeah, I felt that one in my fuckin' soul

[Outro: Erykah Badu]
Ooh, hey, I'm trying to decide
Which way to go, think I made a wrong turn back there somewhere
Ooh, hey, I'm trying to decide
Which way to go, think I made a wrong turn back there somewhere",south
1,January 28th,242813,63,79,2014 Forest Hills Drive,1,True,2,2014-12-09,J. Cole,0.483,0.546,5,-8.59,1,0.349,0.259,0.0,0.0951,0.372,81.967,4,"[Produced by J. Cole & Team Titans]

[Intro]
Rap tune
Can I make a million dollars off a rap tune?
Can I make a million dollars off a rap tune?
I'm tryna make a million dollars off a rap tune
Yeah, look

[Verse 1]
The real is back, the ville is back
Flow bananas, here, peel this back
And what you'll find is, your highness
Can paint a picture that is vivid enough to cure blindness
Carolina's finest, you knew that already
In terms of the greatest, I proved that already
And if you would like, I do it twice
I just sharpen my blade, for a minute became lost in my ways
This for my niggas that was tossed in the graves
Every so often I fade deep in my thoughts
And then get lost in the days
We used to play before your coffin was made
Just got the call nigga got caught with a stray
Hope he's okay
Just got paid what Cochran got paid to free OJ
Just to share my life on the stage in front of strangers
Who know a nigga far too well, and that's the danger
Know me better than I know myself
I rip a page out my notebook in anger
And let these thoughts linger, singing

[Chorus]
Don't give 'em too much you
Don't let 'em take control
It's one thing you do
Don't let 'em taint your soul
If you believe in God
One thing's for sure
If you ain't aim too high
Then you aim too low

[Verse 2]
What's the price for a black man life?
I check the toe tag, not one zero in sight
I turn the TV on, not one hero in sight
Unless he dribble or he fiddle with mics
Look out the window cause tonight the city lit up with lights
Cameras and action
May no man alive come through and damage my faction
I brought you niggas with me cause I  love you like my brothers
And your mothers' like my mother
Think we need a plan of action
The bigger we get the more likely egos collide, it's just physics
Please let's put our egos aside, you my niggas
And should our worst tendencies turn us into enemies
I hope that we remember these
Nights fulla Hennessey
When Hov around we switch up to that D'usse
Gotta show respect, one day we tryna stay where you stay
Cause we from where you from
Not talkin' bout the slums
I'm talkin' 'bout that mind state that keep a black nigga dumb
Keep a black nigga dyin' by a black nigga gun
And keep on listening to the frontin' ass rap niggas son
Yeah I said 'son'
This is New York's finest
For 11 winters straight I took on New York's climate
Like show me New York's ladder
I climb it and set the bar so high that you gotta get Obama to force the air force to find it
Never mind it, you'll never reach that
Cole is the hypnotist, control the game whenever he snap
That's every track, nigga

[Chorus]
Don't give 'em too much you
Don't let 'em take control
It's one thing you do
Don't let 'em taint your soul
If you believe in God
One thing's for sure
If you ain't aim too high
Then you aim too low

[Verse 3]
I ain't serve no pies, I ain't slang no dope
I don't bring no lies, niggas sang my quotes
I don't play no games, boy I ain't no joke
Like the great Rakim, when I make my notes
You niggas might be L or you might be Kane
Or you might be Slick Rick with 19 chains
Or you might be Drizzy Drake or Kendrick Lamar
But check your birth date nigga, you ain't the God
Nah you ain't the God
Nigga, Cole the God (Cole the God, Cole the God)
January 28th

[Outro]
Make a million dollars off a rap tune
Can I make a million dollars off a rap tune
(Sound of baby laughing)
I'm tryna make a million dollars off a rap tune
I wanna make a million dollars of a rap tune
I'm gonna make a million dollars off a rap tune",south
2,Wet Dreamz,239320,78,79,2014 Forest Hills Drive,1,True,3,2014-12-09,J. Cole,0.504,0.705,6,-8.205,0,0.364,0.0752,0.0,0.128,0.584,175.483,4,"[Produced by J. Cole]

[Intro]
Cole, Cole world, yeah
Let me take y'all back, man
As I do so well
Wasn't nothin' like that

[Verse 1]
Man, it wasn't nothin' like that first time, she was in my math class
Long hair, brown skin with a fat ass
Sat beside me, used to laugh, had mad jokes
The teacher always got mad so we passed notes
It started off so innocent
She had a vibe and a nigga started diggin' it
I was a youngin, straight crushin', tryna play the shit cool
But a nigga couldn't wait to get to school
‘Cause when I seen them thighs on her
And them hips on her and them lips on her
Got me daydreamin', man, what
I'm thinkin' how she rides on it, if she sits on it, if she licks on it
Make it hard for me to stand up
As time goes by, attractions gettin' deep and
Wet dreamin', thinkin' that I'm smashin' but I'm sleepin'
I want it bad, and I ain't never been obsessed before
She wrote a note that said, ""You ever had sex before?""
Damn…

[Chorus]
And I ain't never did this before, no
And I ain't never did this before, no
And I ain't never did this before, no
And I ain't never did this before, no
And I ain't never did this before, nooo
I ain't never did this before, no
And I ain't never did this before, no
And I ain't never did this before, no

[Verse 2]
I wrote back and said
""Of course I had sex before,"" knowin' I was frontin'
I said, ""I'm like a pro, baby,"" knowin' I was stuntin'
But if I told the truth, I knew that I'd get played out, son
Hadn't been in pussy since the day I came out one
But she don't know that, so she done wrote back and told me
""Oh, you a pro, homie? Well, I want you to show me
My mama gone for the weekend
So Saturday, baby, we can get to freakin'.""
That's when my heart start racin' and my body start sweatin'
Baby, you done woke my lil' man up
I'm thinkin' how that body look naked when you layin' on the bed
Teacher, please, don't make me stand up
I wrote back like, ""Yeah, baby, sound like a plan.""
Still tryna play it cool, sound like the man
But I was scared to death, my nigga, my stomach turnin'
Talkin' shit, knowin' damn well I was a virgin
Fuck…

[Chorus]
And I ain't never did this before, no
And I ain't never did this before, no
And I ain't never did this before, no
And I ain't never did this before, no
And I ain't never did this before, nooo
I ain't never did this before, no
And I ain't never did this before, no
And I ain't never did this before, no

[Verse 3]
You know that feelin' when you know
You finna bone for the first time?
I'm hopin' that she won't notice it's my first time
I'm hopin' that my shit is big enough to fuck with
And most of all I'm prayin', ""God, don't let me bust quick!""
I'm watchin' pornos, tryna see just how to stroke right
Practice puttin' condoms on—how it go, right?
I'm in her crib, now a nigga palms sweatin'
With a pocket full of rubbers and an erection
That's when my hands start touchin'
And her face start blushin' and a nigga roll over on top
And then she get my pants unbuckled
And her hands start rubbin' on me, ooh girl, don't stop
It's time for action
Pull out the condoms real smooth, yeah, just how I practiced
But right before I put it in, she flinched and grabbed it
And said, ""I wanna get somethin' off my mental
I can tell you're a pro, but baby, be gentle, ‘cause—""

[Chorus]
‘Cause I ain't never did this before, no
And I ain't never did this before, no
And I ain't never did this before, no
And I ain't never did this before, no
And I ain't never did this before, nooo
I ain't never did this before, no
And I ain't never did this before, no
And I ain't never did this before, no",south
3,03' Adolescence,264213,63,79,2014 Forest Hills Drive,1,True,4,2014-12-09,J. Cole,0.518,0.809,1,-6.362,1,0.566,0.389,0.0,0.275,0.261,146.216,4,"[Produced by Willie B]

[Verse 1]
I grew up, a fucking screw up
Tie my shoe up, wish they was newer
Damn, need something newer
In love with the baddest girl in the city, I wish I knew her
I wish I wasn't so shy, I wish I was a bit more fly
I wish that I could tell her how I really feel inside
That I'm the perfect nigga for her, but then maybe that's a lie
She like a certain type of nigga and it's clear I'm not that guy
Ball player, star player, I'm just watchin' from the side
On the bench, 'cause my lack of confidence won't let me fly
I ain't grow up with my father, I ain't thinkin' 'bout that now
Fast forward four years or so from now I'll probably cry
When I realize what I missed, but as of now my eyes are dry
'Cause I'm trying to stay alive
In the city where too many niggas die
Dreamin' quiet trying to dodge a suit and tie
Who am I?
Ayy, who am I? (Yeah)

[Chorus]
Things change, rearrange and so do I
It ain't always for the better, dawg, I can't lie
I get high 'cause the lows can be so cold
I might bend a little bit but I don't fold
One time for my mind and two for yours
I got food for your thoughts to soothe your soul
If you see my tears fall just let me be
Move along, nothing to see

[Verse 2]
I always did shit the hard way
My nigga [inaudible] slangin' in the hallway
Burnt CD's and trees like this was Broadway
Times Square, kept the dimes there in the locker
Some Reggie Miller
With more brown hairs than Chewbacca
Whispers that he got it for the low-low, sell a
Dime for a dub, them white boys ain't know no better
Besides, what's twenty dollars to a nigga like that?
He tell his pops he need some lunch
And he gon' get it right back
I peep game
Got home snatched my mama keychain
Took her whip, the appeal, too ill to refrain
I hit the boulevard pull up to my nigga front do'
His mama at home, she still let 'em hit the blunt though
I told her hello, and sat with my nigga and laughed
And talked about how we gon' smash all the bitches in class
I complimented how I see him out here getting his cash
And just asked, ""What a nigga gotta do to get that?
Put me on,"" he just laughed when he seen I was sure
17 years breathing his demeanor said more
He told me, ""Nigga, you know how you sound right now?
If you wasn’t my mans
I would think that you a clown right now
Listen, you everything I wanna be that's why I fucks with you
So how you looking up to me when I look up to you?
You bout to go get a degree, I'ma be stuck with two choices:
Either graduate to weight or selling number two
For what? A hundred bucks or two a week?
Do you think that you would know what to do if you was me?
I got, four brothers, one mother that don't love us
If they ain't want us why the fuck they never wore rubbers?""
I felt ashamed to have ever complained about my lack of gear
And thought about how far we done came
From trailer park to a front yard with trees in the sky
Thank you mama, dry your eyes, there ain't no reason to cry
You made a genius and I, ain't gon' take it for granted
I ain't gon' settle for lesser, I ain't gon' take what they handed
Nah, I'm gon' take what they owe me
And show you that I can fly
And show old girl what she missing, the illest nigga alive
Ayy, who am I?

[Chorus]
Things change, rearrange and so do I
(Ayy, who am I?)
It ain't always for the better, dawg, I can't lie
(Who am I?)
I get high 'cause the lows can be so cold
I might bend a little bit but I don't fold
One time for my mind and two for yours
I got food for your thoughts to soothe your soul
If you see my tears fall just let me be
Move along, nothing to see

[Outro]
I never felt better",south
4,A Tale of 2 Citiez,269786,69,79,2014 Forest Hills Drive,1,True,5,2014-12-09,J. Cole,0.559,0.556,6,-7.844,1,0.531,0.553,0.0,0.251,0.362,189.861,4,"[Produced by Vinylz]

[Verse 1]
Since a youngin' always dreamed of gettin' rich
Look at me my nigga
Fantasize about a white picket fence
With some trees my nigga
Used to want a Pathfinder with some tints
That's all I need my nigga
Throw some 20's on that bitch and get it rinsed
But now I see my nigga
That the world's a lot bigger ever since
Picked up the paper
And they say my nigga Eddie caught a body, I'm convinced
Anybody is a killer, all you gotta do is push 'em to the limits
Fuck being timid in the Civic
Politicin' with the pushers and the pimps
I'm tryna write a story, can I get a glimpse?
Yeah, can I get a glimpse?

[Hook 1]
Last night I had a bad dream
That I was trapped in this city
Then I asked is that really such a bad thing?
They robbin' niggas on the daily
Can you blame a nigga that ain't never had things?
Guess not! (What's the value of a thing?)
Last night they pulled up on my nigga at the light like—
Ugh, nice watch, run it
Hands in the air now, hands in the air, run it
Hands in the air now, hands in the air, run it
Hands in the air now, hands in the air
Hands in the air now, hands in the air

[Bridge]
Small town nigga Hollywood dreams
I know that everything that glitters ain't gold
I know the shit ain't always good as it seems
But tell me till you get it how could you know?
How could you know? How could you know?

[Verse 2]
Listen up I'm about to go and get rich
Fuck with me my nigga
We gon' circle round the Ville and hit a lick
Cop some tree my nigga
And some powder, bag it up and make it flip
You gon' see my nigga
One day we gon' graduate and cop a brick
And that's the key my nigga
Listen up I'm 'bout to go and get rich
Stand back and watch if you want to nigga
Me I want my pockets fat, a badder bitch
Tired of seein' niggas flaunt, I wanna flaunt too nigga
Watch some rollers in a fuckin' Crown Vic
Tryna lock a nigga up, that's what they won't do nigga
Wanna know a funny thing about this shit?
Even if you let em' kill your dream
It'll haunt you nigga, haunt you

[Hook 2]
Last night I had a bad dream
That I was trapped in this city
Then I asked is that really such a bad thing?
I look around like—
Do you wanna be another nigga, that ain't never had things?
Guess not! (What's the value of a thing?)
Last night we pulled up on a nigga at the light like
(You know what the fuck it is nigga, run that shit!)
Uh, nice watch, run it
Hands in the air now, hands in the air, run it
Hands in the air now, hands in the air, run it
Hands in the air now, hands in the air
Hands in the air now, hands in the air

[Outro]
Father forgive me for my childish ways
I look outside and all the clouds are gray
I need your hands to take me miles away
Your wish is my command, my command, my command
But before you go I've got to warn you now
Whatever goes up surely must come down
And you'll get your piece, but know peace won't be found
So why just take me man, take me man, take me man
Your wish is my command, my command, my command",south
5,Fire Squad,288200,66,79,2014 Forest Hills Drive,1,True,6,2014-12-09,J. Cole,0.516,0.738,11,-7.21,1,0.415,0.279,0.0,0.621,0.595,175.432,4,"[Produced by J. Cole & Vinylz]

[Hook]
Nigga why you actin' like a ho?
Know that I'ma ride for ya, either way it go
Tell me, girl why you be stressin' me for time?
When you tell me you love me, can't you see I'm tryna climb?
Damn my nigga why you actin' like a bitch?
If you scared to take a chance, how the fuck we gon' get rich?
Come here baby why you always insecure?
Hold on tight to a nigga and be sure

[Verse 1]
Ain't a way around it no more, I am the greatest
A lotta niggas sat on the throne, I am the latest
I am the bravest, go toe to toe with the giants
I ain't afraid of you niggas, I'll end up fading you niggas
'Fore it's all said and done, this nigga need medicine
My uzi, it weighed a ton, I need me a better gun
In fact I just might need two, cause niggas say they the one
And I got something to prove
Forgive me lord here they come, BLAOOW

[Hook]
Nigga why you actin' like a ho?
Know that I'ma ride for ya, either way it go
Tell me, girl why you be stressin' me for time?
When you tell me you love me, can't you see I'm tryna climb?
Damn my nigga why you actin' like a bitch?
If you scared to take a chance, how the fuck we gon' get rich?
Come here baby why you always insecure?
Hold on tight to a nigga and be sure

[Verse 2]
My inhibition's fighting my intuition
Premature premonition, showing me the demolition
Of these phony niggas, so ahead of my time
Even when I rhyme about the future I be reminiscing
You want the truth well come and listen
I'm like that time you bagged a dime and checked ya phone and saw it was a number missing
As fate passes you by, half of you try
The other half of you fry, too high to actually fly
One day y'all have to decide, who you gon' be
A scary nigga or a nigga that's gon' rule like me
Keep it true like me, Cole you might be
Like the new Ice Cube, meets the new Ice-T
Meets 2 Live Crew, meets the new Spike Lee
Meets Bruce like Wayne, meets Bruce like Lee
Meets '02 Lil Wayne, in a new white tee
Meets KD, ain't no nigga that can shoot like me!
BLAOOOW!

[Hook]
Nigga why you actin' like a ho?
Know that I'ma ride for ya, either way it go
Tell me, girl why you be stressin' me for time?
When you tell me you love me, can't you see I'm tryna climb?
Damn my nigga why you actin' like a bitch?
If you scared to take a chance, how the fuck we gon' get rich?
Come here baby why you always insecure?
Hold on tight to a nigga and be sure

[Bridge]
(Who's the king?)
Came from the bottom nigga, with stains on my shirt
What you expected from me, I came from the dirt
(Who's the king?)
Money my motivator, the songs that I sing
Picture a peasant passin' from pawn to a king
You tell me ya still love me, if so then let me go
Will I return or will I burn, never know
Look in my eyes and see the future
But don't sugar coat it

[Verse 3]
Listen...
History repeats itself and that's just how it goes
Same way that these rappers always bite each others flows
Same thing that my nigga Elvis did with Rock n Roll
Justin Timberlake, Eminem and then Macklemore
While silly niggas argue over who gon' snatch the crown
Look around, my nigga, white people have snatched the sound
This year I’ll prolly go to the awards dappered down
Watch Iggy win a Grammy as I try to crack a smile
I'm just playin', but all good jokes contain true shit
Same rope you climb up on, they'll hang you with
But not Jermaine, my aim too sick
I bang nigga, I came to bring the pain my brain too quick
You see how I maneuver this game, I ain't stupid
I recognize that life is a dream, and I dream lucid
And break the chains and change minds
One verse at a time, and claim 2-6
And fuck it, if the shoe fits, who's the king?

[Outro]
We all kings
(We all kings nigga)
Kings of ourselves first and foremost
(True)
While the people debate who's the king of this rap game
Here comes lil' ol' Jermaine
With every ounce of strength in his veins
To snatch the crown from whoever y'all think has it
But rather than place it on his head as soon as he grabs it
Poof, boom, paow, it's like magic
With a flash and a BANG the crown disintegrates
And falls to the Earth from which it came
It's done
Ain't gonna be no more kings
Be wary of any man that claims
Because deep down he clings onto the need for power
The reality, he's a coward
Ultimately he's scared to die
And sometimes so am I
But when I'm in tune with the most high
I realize, the fear lies in my lack of awareness of the other side
Today I know that we are the same, are the same, you and I
Different kind of skin, different set of eyes
Two different minds, but only one God
(It's only one God nigga)
It's for all the kings
Cause I know deep down every poet just wanna be loved",south
6,St. Tropez,257920,60,79,2014 Forest Hills Drive,1,True,7,2014-12-09,J. Cole,0.561,0.541,9,-9.818,0,0.0711,0.054,0.0371,0.0627,0.324,84.241,4,"[Produced by J. Cole]

[Verse 1]
Roll up and smoke my sins away
I'd like to go to St. Tropez
Maybe I'll go, maybe I'll stay (Maybe I'll stay)
She asked me if I'm scared to fly
To tell the truth, I'm terrified
I never been that high before
Very bad reason not to go
Terrible reason not to go

[Hook]
He's on his way, he's 'bout to get paid
He's on his way to Hollywood
He's on his way, he's 'bout to get paid
He's on his way to Hollywood
Show him the way, he's 'bout to get paid
He's on his way to Hollywood
He's on his way, he's 'bout to get paid
He's on his way to Hollywood

[Verse 2]
Ay from the door I showed you my scars
And I told you girl, ""I won't lie""
If we at war, then this is a war that I can't afford, no I, I, I
I wanted more but that was before
Lord knows I'm torn, so I–I cry (No I, I, I)
From the corner of my eye, baby
It's been hard for me to smile
Lately, it's been hard for me to smile
Lately, it's been hard for me to smile
Lately, it's been hard for me to smile

[Singing Sample]
If you won't take me in your home
If you won't take me in your home
If you won't take me in your home
If you won't take me in your home

[Hook]
He's on his way, he's 'bout to get paid
He's on his way to Hollywood
He's on his way, he's 'bout to get paid
He's on his way to Hollywood
Show him the way, he's 'bout to get paid
He's on his way to Hollywood
He's on his way, he's 'bout to get paid
He's on his way to Hollywood",south
7,G.O.M.D.,301133,75,79,2014 Forest Hills Drive,1,True,8,2014-12-09,J. Cole,0.889,0.393,4,-10.821,0,0.267,0.331,8.67e-06,0.283,0.304,128.065,4,"[Produced by J.Cole]
[Directed by Lawrence Lamont]

[Intro]
Hollywood Cole, go
Ay Hollywood, ay Hollywood Cole, go
My nigga done went Hollywood

[Verse 1]
You wanna know just where I'm at, well let me tell you 'bout it
I put my city on the map but let me tell you 'bout it
They tryna say I can't come back, ayy let me tell you 'bout it
Man fuck them niggas I come back, ayy let me tell you 'bout it
I wanna tell you 'bout it: hands up, everybody run
Cole outside and he say he got a gun
Niggas like ""Man that's what everybody said""
Go and pop the trunk and everybody dead
Everybody scared of the nigga, aware that the nigga is better
All my bitches the pick of the litter, never bitter
Niggas is fake, they anime
Me I never hate, get cake like Anna Mae, whoa
Eat the cake bitch, eat the damn cake
Fuck good, nigga, we demand great
Order Domino's and she take off all her clothes
Nigga you know how it goes, make the pizza man wait
The best kept secret
Even Hov tried to keep it and I leaked the damn tape
Rest in peace any nigga want beef
Secret service couldn't keep the man safe

[Pre-Chorus]
I said to the window, to the wall
My nigga ride when I call
Got bitches all in my mind
Fuck nigga blocking my shine
I know the reason you feel the way
I know just who you wan' be
So everyday I thank the man upstairs
That I ain't you and you ain't me

[Chorus]
Get off my dick, whoa
(Get the fuck off my dick)
Get off my dick, whoa
(Get the fuck off my dick nigga)
Get off my dick, bitch, whoa
(Get the fuck off my dick)
Get off my dick, whoa

[Bridge]
Man fuck them niggas I come home and I don't tell nobody
They gettin' temporary dough and I don't tell nobody
Lord will you tell me if I changed, I won't tell nobody
I wanna go back to Jermaine, and I won't tell nobody

[Interlude]
This is the part that the thugs skip!

[Verse 2]
Young nigga never had love
You know, foot massage, back rub shit
Blowing bubbles in the bathtub shit
That is until I met you
Together we done watch years go by
Seen a river of your tears go by
Got me thinkin' bout some kids, still I
Tell them hoes come through (The break up)
Get to know somebody and you really learn a lot about 'em
Won’t be long before you start to doubt 'em
Tell yourself you better off without 'em
Then in time you will find can't walk without 'em
Can't talk without 'em, can't breathe without 'em
Came here together, you can't leave without 'em
So you walk back in, make a scene about 'em
On your Amerie it's just 1 thing about 'em
It's called love, niggas don't sing about it no more
Don't nobody sing about it no more, no more
It's called love, niggas don't sing about it no more
Don't nobody sing about it no more
(Nigga I don't sing about this shit no more)
But every nigga in the club singing

[Pre-Chorus]
To the window, to the wall
My nigga ride when I call
Got bitches all in my mind
Fuck nigga blocking my shine
I know the reason you feel the way
I know just who you wan' be
So everyday I thank the man upstairs
That I ain't you and you ain't me

[Bridge]
Get off my dick
But every nigga in the club singing
Singing this song yeah
Got all the bitches in the club singing
Singing this song yeah
And all they mamas let their kids sing it
Sing this song yeah
The baby mamas and the mistresses
Sing this song yeah, song yeah
Song yeah, song song yeah

[Verse 3]
(The make up) This shit is retarded, goddamn
Why every rich black nigga gotta be famous
Why every broke black nigga gotta be brainless
Uh, that's a stereotype
Driven by some people up in Aerial Heights
Here's a scenario
Young Cole pockets is fat like Lil Terrio
Dreamville, give us a year we'll be on every show
Yeah, fuck nigga I'm very sure, heh
Fuck the rest, I'm the best nigga out
When I'm back home I'm the best in the South
When I'm in LA I'm the best in the West
You contest? You can test, I'ma stretch niggas out
Oooh I'ma stretch niggas out
That go for all y'all if I left niggas out
This shit for everybody on my testicles
Please make sure you put the rest in your mouth, ho",south
8,No Role Modelz,292986,81,79,2014 Forest Hills Drive,1,True,9,2014-12-09,J. Cole,0.696,0.521,10,-8.465,0,0.332,0.302,0.0,0.0565,0.458,100.0,4,"[Produced by Phonix Beats and J. Cole]

[Verse]
First things first: rest in peace Uncle Phil
For real, you the only father that I ever knew
I get my bitch pregnant, I'ma be a better you
Prophecies that I made way back in the Ville, fulfilled
Listen, even back when we was broke, my team ill
Martin Luther King woulda been on Dreamville
Talk to a nigga

[Pre-Chorus]
One time for my L.A. sisters
One time for my L.A. hoes
Lame niggas can't tell the difference
One time for a nigga who know

[Chorus]
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved

[Verse 1]
No role models and I'm here right now
No role models to speak of
Searchin' through my memory, my memory, I couldn't find one
Last night I was gettin' my feet rubbed
By the baddest bitch, not Trina but I swear to God
This bitch'll make you call your girl up
And tell her, ""Hey, what's good?""
""Sorry I'm never comin' home, I'ma stay for good.""
Then hang the phone up and proceed to lay the wood
I came fast like 9-1-1 in white neighborhoods
Ain't got no shame 'bout it
She think I'm spoiled and I'm rich 'cause I can have any bitch
I got defensive and said, ""Nah, I was the same without it.""
But then I thought back, back to a better me
Before I was a B-list celebrity
Before I started callin' bitches ""bitches"" so heavily
Back when you could get a platinum plaque without no melody
You wasn't sweatin' me

[Pre-Chorus]
One time for my L.A. sisters
One time for my L.A. hoes
Lame niggas can't tell the difference
One time for a nigga who know

[Chorus]
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved

[Verse 2]
I want a real love, dark skinned Aunt Viv love
That Jada and that Will love
That leave a toothbrush at your crib love
And you ain't gotta wonder whether that's your kid love
Nigga, I don't want no bitch from reality shows
Out-of-touch-with-reality hoes
Out in Hollywood bringin' back five or six hoes
Fuck 'em then we kick 'em to the do'
Nigga, you know how it go
She deserved that, she a bird, it's a bird trap
You think if I didn't rap she would flirt back?
Takin' off her skirt, let her wear my shirt 'fore she leave
I'ma need my shirt back (nigga, you know how it go)

[Pre-Chorus]
One time for my L.A. sisters
One time for my L.A. hoes
Lame niggas can't tell the difference
One time for a nigga who know

[Chorus]
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved

[Interlude: George W. Bush]
There's an old saying in Tennessee—I know it's in Texas, probably in Tennessee—that says, fool me once… shame on… shame on you. Fool me, you can't get fooled again

[Bridge]
Fool me one time, shame on you
Fool me twice, can't put the blame on you
Fool me three times, fuck the peace sign
Load the chopper, let it rain on you
Fool me one time, shame on you
Fool me twice, can't put the blame on you
Fool me three times, fuck the peace sign
Load the chopper, let it rain on you

[Verse 3]
My only regret was too young for Lisa Bonet
My only regret was too young for Nia Long
Now all I'm left with is hoes from reality shows
Hand her a script, the bitch probably couldn't read along
My only regret was too young for Sade Adu
My only regret, could never take Aaliyah home
Now all I'm left with is hoes up in Greystone
With the stale face 'cause they know it's they song
She shallow but the pussy deep (she shallow, she shallow)
She shallow but the pussy deep (she shallow, she shallow)
She shallow but the pussy deep (she shallow, she shallow)
She shallow but the pussy deep (she shallow, she shallow)

[Chorus]
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved",south
9,Hello,219173,60,79,2014 Forest Hills Drive,1,True,10,2014-12-09,J. Cole,0.631,0.7,9,-8.565,0,0.212,0.0774,1.19e-05,0.106,0.329,159.973,4,"[Chorus]
Hello, hello, hello
Hello, hello, hello

[Verse 1]
And I thought about you today
And I thought about the things you used to say
And I thought about the things we did
And I thought about your newest kid
And damn that makes 2 now
Oh what do I do now?
Cause if we ever got together
I'd have to be them niggas step-pops forever
And well that ain't my thing cause I
I ain't even got my own
And I ain't really got no home
No place to put these things I own
And I thought about the things you used to say
And I thought about the games you used to play
And I thought about that little kid
And I thought about the things we did
I always thought that we would be together
I always knew that we would be together
But I don't wanna wait forever
I don't wanna wait forever

[Chorus]
Hello, hello, hello
Hello, hello, hello

[Bridge 1]
Hello, hello?
Shit seem so sad when you look back
Shit seem so sad when you look back
Shit seem so sad when you look back
Shit seem so sad when you look back
Shit seem so sad when you look back
Shit seem so sad when you look back
Shit seem so sad when you look back
Shit seem so sad when you look back
Shit seem so sad when you look back
Everything's so sad when you look back

[Verse 2]
On the rebound like a book back
On the rebound like a put back
Don't just sit back, bitch get on it
Time fly by way too quick, don't it
Reflection bring regrets don't it
Rejection makes you defensive
So you protect your pride with your reflexes
But life is a game with no reset on the end

[Bridge 2]
It ain't no lookin' back, no, no, no, no
It ain't no lookin' back, no, no, no, no
It ain't no lookin' back, no, no, no, no
It's all good
It ain't no lookin' back, no, no, no, no
It ain't no lookin' back, no, no, no, no
It ain't no lookin' back, no, no, no, no
It's all good

[Chorus]
Hello, hello, hello
Hello, hello, hello

[Outro]
And I thought about you today
And I thought about the things you used to say
And I thought about the things we did
And I thought about your newest kid
And damn that makes 2 now
Oh what do I do now?",south
