level_0,index,name,duration_ms,popularity,num_markets,album,disc_number,is_explicit,track_number,release_date,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,lyrics,region
0,0,Spyder,201160,41,79,Pressure,1,True,1,2017-12-15,Jeezy,0.381,0.769,1,-7.102,1,0.348,0.000719,0,0.383,0.536,82.516,4,"[Chorus]
Tell them pussy niggas ""Hold up""
Nothin' but the best, countin' money while I roll up
Screamin' ""Ball hard, go bigger""
Yeah, ball hard, go bigger, yeah
Pussy niggas hatin', nigga so what
Meanwhile, I'm in the spot, niggas doin' donuts
Screaming' ""Ball hard, go bigger""
Yeah, ball hard, go bigger, yeah

[Verse 1]
Call me Jeezy Young Gotti, 'cause all I beat is odds
Sayin' that they real when them niggas really fraud
Bitch, I came from the bottom, that's right, under the basement
S'posed to leave it in the pot until it's harder than some pavement
Fuck these niggas talkin', I've been ballin' for a century
Niggas think of quarter kis and scales when they mention me
Three point five, damn right, I had to grind it out
Graveyards and penitentiaries bars, I told them sign me up
Pops didn't wear no rubber, I was made for this shit (raw)
In the kitchen whippin' like a straight slave for this shit
Spill some liquor on my feet, I just paid for this shit
See the time piece, Flava Flav in this bitch, my lord

[Chorus]
Tell them pussy niggas ""Hold up""
Nothin' but the best, countin' money while I roll up
Screamin', ""Ball hard, go bigger""
Yeah, ball hard, go bigger, yeah
Pussy niggas hatin', nigga so what
Meanwhile, I'm in the spot niggas, doin' donuts
Screaming', ""Ball hard, go bigger""
Yeah, ball hard, go bigger, yeah

[Verse 2]
Math, my boy, I'm 'bout arithmetic
Now go get your bitch and get the fuck off my dick
You can be a lot of things but you'll never be this
Word to Stevie Wonder, bitch, you'll never see this
I went hard on them suckers, I served all of them cluckers
Niggas switched up sides, I don't fuck with none of them busters
Tried to fuck up my groove but I was already groovin'
Them bitches can't stop a train that's when it's already movin'
Look, I got a confession, I just bought a new .40
Hangin' out with the big ones, so we gone call this bitch shorty
One thing about shorty, we be up in that club
And if she feel that you hatin', well she gone show you some love
What I gotta lose? I ain't never had shit
Two hundred fifty one grams in this plastic
Now it's Avion and champagne, nigga on my rider
Ever in my city, you might see me in that Spyder

[Chorus]
Tell them pussy niggas, ""Hold up""
Nothin' but the best, countin' money while I roll up
Screamin', ""Ball hard, go bigger""
Yeah, ball hard, go bigger, yeah
Pussy niggas hatin', nigga so what
Meanwhil,e I'm in the spot niggas, doin' donuts
Screamin', ""Ball hard, go bigger""
Yeah, ball hard, go bigger, yeah",south
1,1,Cold Summer (feat. Tee Grizzley),181346,50,79,Pressure,1,True,2,2017-12-15,Jeezy,0.698,0.73,4,-4.54,1,0.223,0.0322,0,0.384,0.323,90.001,4,"[Intro: Jeezy]
Yeah, this for all the real niggas man, ya know
Woo! Yeah (it's gon' be a cold summer)
Hahahah, yeah, woo, uhh

[Chorus: Jeezy]
Gon' drop the top, you can feel the breeze
30 in the Glock, all you gotta do is squeeze
It just touched down, all you gotta do is sell 'em
And they gon' ask you questions but you better not tell 'em
Hey I'm 'bout to fuck it up, I'm bought in like 10
A couple bad tings and they all light-skinned
""Hey, how you comin' down?"" In a rose gold Hummer
Wife beater chinchilla, it gon' be a cold summer

[Verse 1: Jeezy]
Got it snowin' in the city, I'm 'bout to change the weather
So many birdies in this bitch, thought I was seein' feathers
So many pussies hatin' on me, I just want the love
Hottest niggas in the city, me and Mr. Rugs
Them young niggas paper'd up, that's straight from water whippin'
Hey, between me and you I think the water trippin'
$250 in my pocket, I'm a walking lick
Went crazy at the lot, bitch I'm a lunatic
My nigga Bleu got secrets he will never tell
Free Bale, yeah you know he see me with the scale
Indicator like I'm Mike, I'm fucking 'round with Jody
One time for Raw Cena, that my fucking woadie
One time for Ross, go tell 'em free the goat
Tell him in the 305, bitch I'm in on a boat
Got a 100 in my pocket, Free T. White
Two mill' on wheels and they all white

[Chorus: Jeezy & (Tee Grizzley)]
Gon' drop the top, you can feel the breeze
30 in the Glock, all you gotta do is squeeze
It just touched down, all you gotta do is sell 'em
And they gon' ask you questions but you better not tell 'em
Hey I'm 'bout to fuck it up, I'm bought in like 10
A couple bad tings and they all light-skinned
(Hey bruh, pull up, what you in?) In a rose gold Hummer
Wife beater chinchilla, it gon' be a cold summer

[Verse 2: Tee Grizzley]
Get-get that cookie money, on my Oakland shit
40 on a nigga, I'll blow this bitch
When I shoot, I don't miss or I net that bitch
Fuck her quick on the first night, I barely met that bitch
Too much money on me, bring that firepower
Knife on that chopper, they think Michael Myers got 'em
The rap fold, I'ma go platinum still
Cause I put my deal money in the blow, crack and pills
I'm from Detroit baby, that's a wild city
Hop on at yo block party and give the crowd 50
Aye Dex, when I hear that ""huh"", I know I hit it
I still fuck with Paid Will, Dada winnin'
Peezy and Pay, let's come together, this our city
Jeezy in the A, he fuck with Meech, that's our nigga
Rest in Peace to Great Lake ruler Darnell Lindsay
Still hit the kitchen to whip, Chef Boyar-Grizzley
Detroit!

[Chorus: Jeezy]
Gon' drop the top, you can feel the breeze
30 in the Glock, all you gotta do is squeeze
It just touched down, all you gotta do is sell 'em
And they gon' ask you questions but you better not tell 'em
Hey I'm 'bout to fuck it up, I'm bought in like 10
A couple bad tings and they all light-skinned
""Hey, how you comin' down?"" In a rose gold Hummer
Wife beater chinchilla, it gon' be a cold summer",south
2,2,In A Major Way (feat. Payroll Giovanni),178013,43,79,Pressure,1,True,3,2017-12-15,Jeezy,0.591,0.82,1,-4.777,1,0.276,0.0205,0,0.433,0.378,175.898,4,"[Verse 1: Jeezy]
Multi-millionaire bitch I'm straight from the hood
Sucka niggas hating on me but it's all good
Lil' one just hit my phone said he want a half
Told him thirteen-five you bitches you do the math
Bought a white Corvette with the residue
Run through the hunnids towards the finish I'm counting revenue
Now when my partner walked in like ""what's that?""
Let's get money my nigga time to bounce back

[Chorus: Jeezy]
Real niggas get the cash in a major way
Lotta horses and it's fast in a major way
Bought the iced out Rollie in a major way
All bright looking holy in a major way
Boss nigga boss shit in a major way
Flaunt nigga, floss shit in a major way
Still do it for my town in a major way
Move that white and that brown in a major way

[Verse 2: Jeezy]
Real niggas getting real shit
And if you 'bout that floss shit, get loked bitch
Just know that I was hands on, I paid dues
Took 'em 'side that 75, I made moves
You know who I am boy? The living legend
Ever since I hit the boulevard in that 911
You ain't got to take my word, you can ask Lil Zay
Fit the family with them birds you can ask Lil Jay
Niggas talking like they big, but guess who's bigger
Niggas talking like they real, but guess who's realer
Fuck the hating motherfuckers see I came up out the gutter
And I've been on my grind since I came out my mother
Bad bitch on my line I told her she gotta wait
'Cause me and my money on a motherfucking date
Got a trick up on the spot, know I got at least a million there
Tell you 'bout the time I made these niggas millionaires
In a major way

[Chorus: Jeezy]
Real niggas get the cash in a major way
Lotta horses and it's fast in a major way
Bought the iced out Rollie in a major way
All bright looking holy in a major way
Boss nigga boss shit in a major way
Flaunt nigga, floss shit in a major way
Still do it for my town in a major way
Move that white and that brown in a major way

[Verse 3: Payroll Giovanni]
Balling in a major way, day to day
On a paper chase, no cell phones, it's only face to face
30 for the Rollie just because it shows the day and date
Outside the club killers with me with their favorite K
Damn that coupe sexy that's what ladies say
'Vette white, Mercedes gray
Pockets full of cash off my latest play
I've been getting money like I'm touring heavy state to state
Used to chop every last gram until I scrape the plate
Four niggas looking like we signed to major labels
Dining at Katanas twelve phones on the table
Buncha horses parked outside, the lot a stable
If you know us then you know this shit is not a fable
What you see is diamond chains on everybody's neck, everybody flexing
Hit the club and everybody sweat and everybody's stressed
Niggas talking big shit boy go do better
What you copping man we pass that out as testers, this forever

[Chorus: Jeezy]
Real niggas get the cash in a major way
Lotta horses and it's fast in a major way
Bought the iced out Rollie in a major way
All bright looking holy in a major way
Boss nigga boss shit in a major way
Flaunt nigga, floss shit in a major way
Still do it for my town in a major way
Move that white and that brown in a major way",south
3,3,Floor Seats (feat. 2 Chainz),205000,41,79,Pressure,1,True,4,2017-12-15,Jeezy,0.735,0.71,8,-5.952,1,0.163,0.0292,0,0.109,0.541,92.478,4,"[Intro: Jeezy]
She be on it (yo know what this shit is)
She be on it
She be on it
She be on it

[Chorus: Jeezy]
She know that paper good, know that paper good
Might blow a few dollars, boy, that's on the hood
Let's get it understood
Hawk game, floor seats, yeah she on the wood
They know that paper good, know that paper good
Pull up in that Wraith, them bitches on the wood
Let's get it understood
Hawk game, floor seats, yeah she on the wood

[Verse 1: Jeezy]
Real bitch, all she fuck is real nigga
Rich bitch, all she want is real figures
Bitch, hustle all day, she got a good job
But I don't trust her late, brother he a straight rob
Type of young nigga, kick a nigga jaw
You know I hop about that Wraith, take a nigga hoe
Yea, shit I'm ridin' in, got stars in it
All black Louis bag, Audemars in it
Fiji Water, yea we call it slip a slide
Six Flags, babe, I'm tryna ride the ride
Boss bitch, baby daddy in the feds
Say these niggas 'bout they feeling but she 'bout her bread

[Chorus: Jeezy]
She know that paper good, know that paper good
Might blow a few dollars, boy, that's on the hood
Let's get it understood
Hawk game, floor seats, yeah she on the wood
They know that paper good, know that paper good
Pull up in that Wraith, them bitches on the wood
Let's get it understood
Hawk game, floor seats, yeah she on the wood

[Verse 2: 2 Chainz]
You ain't gettin' money? Sorry for your mishaps
WNBA, you 'bout to get bitch slapped
Fuck the ""Kissing Cam"", they need to have ""Shoe Cam""
Last game, the shoes I had on cost 2 grand
Ya know who winnin', yea, you can check the scoreboard
Fly like a Concorde, shades are the Tom Ford
Ass shakin' on court, diamonds sayin' ""Bonjour""
You don't really want war, end up at ya front door!
Boy! Ya last if you ain't in first place
I think you in my parking spot, that's the first place
Worse case scenario, I want some camel toe
And in a fruit fight, I'll bust ya cantaloupe

[Chorus: Jeezy]
She know that paper good, know that paper good
Might blow a few dollars, boy, that's on the hood
Let's get it understood
Hawk game, floor seats, yeah she on the wood
They know that paper good, know that paper good
Pull up in that Wraith, them bitches on the wood
Let's get it understood
Hawk game, floor seats, yeah she on the wood

[Verse 3: Jeezy]
Got her courtside on the big screen
And I ain't in the coupe, I'm in the big thing
Ain't nothing like your hoe, she a fuckin' star
Ain't never been shy, she suck it in the car
She know I stayed down 'til I was papered up
Send them units outta town, I had to tape 'em up
And when we pulled up, that's when it popped off
Keep talkin' like that, I'll get you knocked off
Twenty-six-fives, what the ducks cost?
Got a condo in the city, that's a duck-off
See my partna ridin' with me, he the trigger man
Say your name, yo nigga like I'm Jigga man

[Chorus: Jeezy]
She know that paper good, know that paper good
Might blow a few dollars, boy, that's on the hood
Let's get it understood
Hawk game, floor seats, yeah she on the wood
They know that paper good, know that paper good
Pull up in that Wraith, them bitches on the wood
Let's get it understood
Hawk game, floor seats, yeah she on the wood

[Outro]
She be on it
She be on it
Woah, She be on it",south
4,4,This Is It,180106,38,79,Pressure,1,True,5,2017-12-15,Jeezy,0.753,0.57,1,-6.92,1,0.263,0.00525,0,0.379,0.138,159.974,4,"[Chorus]
This is it, it's a hit
This is it my nigga, this is it
Hit a lick, half a brick
Then I came right back, poppin' shit
This is it, it's a hit
This is it, my nigga, this is it
Hit a lick, half a brick
Then I came right back, talkin' shit

[Verse 1]
2 chains on me, I ain't Tity tho
Few niggas poppin, still my city though
And these new niggas? Yeah, they just new niggas
Snow work, I'm after them, some more new niggas
The champ here, yeah you niggas gon' fall back
Funny dressin' ass nigga, where you sold crack?
Them alternative facts, that's just a mystery
Bought my first 8-ball, the rest was history
Shit, hid it in the freezer, yeah that cold money
Rappin' ass nigga, flexin', show money
Bentley with the frogeye, got it out the mud
.40 with the red beam, brought it in the club

[Chorus]
This is it, it's a hit
This is it, my nigga, this is it
Hit a lick, half a brick
Then I came right back, poppin' shit
This is it, it's a hit
This is it, my nigga, this is it
Hit a lick, half a brick
Then I came right back, talkin' shit

[Verse 2]
Look, 2017, they internet felons
Lot of dry snitchin', internet tellin'
Imaginary life, imaginary balls (facts)
They talkin' war wounds, imagine their scars
We call 'em clown niggas, wanna be down niggas (whatelse)
Light-skinned ass, wanna be brown niggas
Stay ridin' with that shit that push your face back
Have your homeboys askin' where your face at
And these rap niggas? Yeah, they just rap niggas
And when it's all over, they be rap niggas
Bentley with the frogeye, got it out the mud
.40 with the red beam, brought it in the club

[Chorus]
This is it, it's a hit
This is it my nigga, this is it
Hit a lick, half a brick
Then I came right back, poppin' shit
This is it, it's a hit
This is it, my nigga, this is it
Hit a lick, half a brick
Then I came right back, talkin' shit",south
5,5,Bottles Up (feat. Puff Daddy),177493,46,79,Pressure,1,True,6,2017-12-15,Jeezy,0.61,0.664,1,-6.83,1,0.0762,0.024,0,0.422,0.248,78.525,4,"[Intro: Puff Daddy]
Ayo, pass me that, Jeezy

[Chorus: Jeezy & Puff Daddy]
Smokin', fire, so, high
Para-chute, that, fly
Bottles, up (let's go) hold 'em, high
Put ya, Rollies, in the, sky (ayo)
Bottles, up, hold 'em, high
Throw some, money, in the, sky
I wanna see some money in the air, man
Bottles, up, hold 'em, high (Ciroc boys, Ciroc girls)
Throw some, money, in the, sky, uhh (Avion, Jeezy, let's go)

[Verse 1: Jeezy & Puff Daddy]
Black 'Vette, white spider (gone)
Digi dash (skrrt) knight rider (c'mon)
Val-et on swole
Brought a oak, rose, gold
Con-do, Bis-cayne (c'mon)
China white, lo-mein
Light forty, pocket, change (damn)
Pull up in a yellow range
Street money, shit, real (Let's go)
Carti-er, windshield (stunt)
Two bitches (yeah) double, date (damn)
Diamonds floatin', levi-tate (damn)
Bentley coupes, Bentley trucks (what else?)
.40 cal, got it tucked
Private planes, I got her name (what?)
Want that bag, keep the fame, uhh (you know what it is)

[Hook: Jeezy & Puff Daddy]
Smokin' fire, so, high
Para-chute that, fly
Bottles, up, hold 'em high (can't take it with you, baby)
Put ya Rollies in the sky (put them bottles in the air!)
Bottles up, hold 'em high (it's a celebration)
Throw some money, in the, sky
Bottles up, hold 'em high (gang gang)
Throw some money in the sky, uhh (take that, listen, ahh!)

[Verse 2: Jeezy & Puff Daddy]
Avi-on, no, Crist's (c'mon)
North Pole, ice wrist-es
Iced out, strapped up (let's go)
Hunnid carats, what the fuck?
Fuck 'em, ball (fuck 'em all) slicks, stunt
Py-rex, roll a blunt
Double doors, marble floors
Ele-vator, fuck a hater (yo, check this out)
Mo-ët, mo' checks (that's right)
Ro-lex, mo' sex (c'mon)
Mini chopper, heli-copter (let's fly!)
Diamonds shiny, tele-prompter
Pinky ring, ten carats
Ten birds, ten parrots (you know what it is)
Banana clips, fifty rounds (c'mon)
Garbage bags, fifty pounds, uhh (let's go!)

[Hook: Jeezy & Puff Daddy]
Smokin' fire, so high
Para-chute, that fly (there's an art to this shit)
Bottles up, hold 'em high
Put ya Rollies, in the sky (you can't give a fuck!)
Bottles up, hold 'em high (Avion, Deleon)
Throw some money  in the, sky (Cîroc)
Bottles up, hold 'em high
This that black excellence, you know what I'm sayin'? C'mon
Throw some money in the, sky, uhh (let's go!)",south
6,6,Valet Interlude,117773,36,79,Pressure,1,True,7,2017-12-15,Jeezy,0.579,0.838,1,-6.485,1,0.304,0.121,0,0.113,0.244,82.509,4,"R*Elevator opens, foot steps, car pulls up*
[Intro verse-in the background]
I’ma write it down in case you niggas wanna read this
Death in the air, you niggas might just want to breath this
Good motivation 'cause I know you niggas need this
Luxury like the pillows at the St. Regis
Black card down, presidential suite
Black truck out front, like my presidential feet
Presidential rollie, presidential wrist
Bout to order room service, this some presidential shit, let's go!

[Verse]
First I count a hundred, then I hit the mall
Bitch, I'm on my shit, yeah I might just buy a stall
She said, ""You say the pussy good, how come you never call""
Said bitch, ""That ain't my focus yet, I'm tryna never fall""
You can chase some love, baby, I'm just chasin' paper
And if I hit a lick, I might just take ya to Jamaica
And you can bring your friends, but she bet not be a faker
If she ain't talkin' bout fuckin', then we gon mufuckin' shake
Got that NFL money, that pay the bail money
That see me in the street, it ain't hard to tell money
Yeah it's really street though, we a higher ego
That St. Regis Bal Harbour for the week dough

[Chorus]
2 Mil in wheels sittin' in the valet
Throw me my keys, and have a nice day
You ain't said shit, I'ma have a nice night
And anything I want, I'ma buy the shit twice
2 Mil in wheels sittin' in the valet
Throw me my keys, and have a nice day
You ain't said shit, I'ma have a nice night
And anything I want, I'ma buy the shit twice
2 Mil in wheels sittin' in the valet
Throw me my keys, and have a nice day
You ain't said shit, I'ma have a nice night
And anything I want, I'ma buy the shit twice
2 Mil in wheels sittin' in the valet
Throw me my keys, and have a nice day
You ain't said shit, I'ma have a nice night
And anything I want, I'ma buy the shit twice",south
7,7,Respect,202266,38,79,Pressure,1,True,8,2017-12-15,Jeezy,0.737,0.653,1,-6.927,1,0.124,0.00317,0,0.0943,0.432,145.995,4,"Yeah, uh
Hate me nigga
Yeah, hate me nigga
Hate me nigga
Hate me nigga
Hate me nigga

[Chorus]
I'm from a small hood, them niggas call me the connect
Get you 36 for 28, what you expect?
Still I hop straight up out that 'Rari with a TEC
And you know the shit around my wrist, it cost a check
Shit these niggas rappin' 'bout, I done did for real
Ask the real ones in ya city, I bet them niggas know the deal
Get you 36 for 28, what you expect?
If you ain't got no money, suggest you pay me in respect

[Verse 1]
Mr. Thug Motivation, yeah that's right the icon
Step up in this muthafucka, they like who cut the lights on
I can't pull my card 'cause I'm the muthafuckin dealer, boy
The ice cream man, we simply talkin' that vanilla, boy
Dropped that new Madonna, niggas love me like I'm 2Pac
Pulled up with that nina, gave it to 'em in a tubesock
You kickin' lil shit, I go tsunami on you shrimp niggas
Might just show up in some new Armani on you simp niggas
I got to get it like, Al Pacino straight up off that boat, boy
I ain't talkin' chicken curry, you niggas fuckin' with the goat, boy
Glass pot, gas stove, I can show you what it cook like
Put a real nigga, beat the odds that's what it look like
Let's go

[Chorus]
I'm from a small hood, them niggas call me the connect
Get you 36 for 28, what you expect?
Still I hop straight up out that 'Rari with a TEC
And you know the shit around my wrist, it cost a check
Shit these niggas rappin' 'bout, I done did for real
Ask the real ones in ya city, I bet them niggas know the deal
Get you 36 for 28, what you expect?
If you ain't got no money, suggest you pay me in respect

[Verse 2]
Whole lotta dick ridin', oh I see what's goin' on
Yeah these pussy niggas mad, that I won't play along
All that boss talk, low-key you's a flunky though
Like Rico off of Belly, yeah you niggas lookin' monkey though
Grown ass man homie, I ain't wit the clown shit
You New Edition niggas, got me on my Bobby Brown shit
Grumpy ass niggas, yeah y'all howlin' at the moon, bitch
Be on that front line like Charlie Sheen in Platoon, bitch
You hear them niggas hissin' in the dark, you know the snake type
Type of nigga always preachin' real, you know the fake type
King of this shit, damn right I wear that crown, tight
Real nigga beat the odds, this exactly what it sound like

[Chorus]
I'm from a small hood, them niggas call me the connect
Get you 36 for 28, what you expect?
Still I hop straight up out that 'Rari with a TEC
And you know the shit around my wrist, it cost a check
Shit these niggas rappin' 'bout, I done did for real
Ask the real ones in ya city, I bet them niggas know the deal
Get you 36 for 28, what you expect?
If you ain't got no money, suggest you pay me in respect",south
8,8,"Pressure (feat. Kodak Black, YG)",260306,48,79,Pressure,1,True,9,2017-12-15,Jeezy,0.697,0.56,1,-8.207,0,0.243,0.0563,0,0.141,0.376,77.452,4,"[Intro]
I just bought a coupe about a week ago
[?]
You know what this is

[Chorus: Jeezy]
Look, I just bought a coupe about a week ago (pressure)
See straight through them diamonds, VVS's hoe (pressure)
That pressure had them niggas on some sucker shit (pressure)
That pressure fuck around and make your partner snitch (pressure)

[Verse 1: Jeezy]
Probably on some shit you niggas never be
Stay the fuck from 'round them, that's what my conscience tellin' me
Better pay attention, best be watchin' where ya goin' bitch
'Cause when ya get in my lane that's when I get to towin' shit
I done been through so much, I seen so much fuck shit
When you talk down on me, I don't give a fuck bitch
I just want some more paper, I just need some more haters
I just bought a new crib, I don't want no neighbors
Guess I'm anti-social, I don't want no new friends
Y'all waitin' for handouts, Y'all niggas ain't men
Pressure make ya dawg straight flip-flop
Pressure have a nigga wanna hit ya for ya wristwatch
Screamin' old scrub ass nigga, fake love ass nigga
Every time I be grindin', you in the club ass nigga
That insane chain in that white Mulsanne
Shit off on my pinky, lookin' like a mood ring
I'm talkin' pressure

[Chorus: Jeezy]
Look, I just bought a coupe about a week ago (pressure)
See straight through them diamonds, VVS's hoe (pressure)
That pressure had them niggas on some sucker shit (pressure)
That pressure fuck around and make your partner snitch (pressure)
Look, I just bought a coupe about a week ago (pressure)
See straight through them diamonds, VVS's hoe (pressure)
That pressure had them niggas on some sucker shit (pressure)
That pressure fuck around and make your partner snitch (pressure)

[Verse 2: Kodak Black]
Aye, that pressure affect every nigga a different way
How he shoot you in your ass and you still in his face?
I shot up at a nigga feet but I ain't hit his Js
Just tryna scam, if I was him I'd have killed me anyway
Only reason I did the verse, 'cause I fuck with Jeezy
I'm out of jail, last year that nigga flew and see me
Yup, VV gleamin', teeth blingin'
I'm so icy, I'm freezin', no fan ceilin'
She gimme head like a nerdy but she failed at readin'
I'm just hollerin' at my crucifix, yeah, I'ma demon
I'm 'bout to bring these niggas that pressure, forget the pre-nup
Bullets be flying out my desert, eagle

[Chorus: Jeezy]
Look, I just bought a coupe about a week ago (pressure)
See straight through them diamonds, VVS's hoe (pressure)
That pressure had them niggas on some sucker shit (pressure)
That pressure fuck around and make your partner snitch (pressure)
Look, I just bought a coupe about a week ago (pressure)
See straight through them diamonds, VVS's hoe (pressure)
That pressure had them niggas on some sucker shit (pressure)
That pressure fuck around and make your partner snitch (pressure)

[Verse 3: YG]
Apply that pressure, bust a pipe (aye)
VVS's on my pinky, knots (aye)
That Bentley coupe my favorite ride (aye)
This ain't electric but my niggas slide (aye)
I just pressed a nigga 'bout a week ago
They say he talkin', I'm around, he never speakin' tho
Just pull up on these niggas, that's they weakness, bro
I meet the ho, beat the ho, then need a ho
She pressure, my necklace, is shinin', I'm special
My niggas, get money, no, we can't help you
I'm selfish, I'm greedy, not needy
I'm gangsta, on bloods, this money shit come easy
Lay up, neglect her, eject her
'Cause I don't do Rebeccas
The way you hop in my whip, I don't like your jester
You gotta have class the whole year, not a semester
Think before you speak, I got westside extras

[Chorus: Jeezy]
Look, I just bought a coupe about a week ago (pressure)
See straight through them diamonds, VVS's hoe (pressure)
That pressure had them niggas on some sucker shit (pressure)
That pressure fuck around and make your partner snitch (pressure)
Look, I just bought a coupe about a week ago (pressure)
See straight through them diamonds, VVS's hoe (pressure)
That pressure had them niggas on some sucker shit (pressure)
That pressure fuck around and make your partner snitch (pressure)",south
9,9,"Like Them (feat. Tory Lanez, Rick Ross)",230133,38,79,Pressure,1,True,10,2017-12-15,Jeezy,0.505,0.591,6,-7.238,0,0.186,0.001,0,0.181,0.197,82.684,4,"[Intro: Jeezy]
Yeah
This is dedicated to them
Them solid bitches out there, you know
Dedicated to the real ones
Uh
Talk to em homie
Yeah

[Chorus: Tory Lanez & Jeezy]
I could ride for you baby
Fuckin' with a nigga like me
Know the limit is the sky for you, baby
You know what this shit is
Come slide with me, baby
Yeah yeah
You nothing like them, no
I need a bitch like you
Like them, no
Nothing like them
So I won't fuck with bitches like them
Nothing like them
So I won't fuck with bitches like them
Oh no

[Verse 1: Jeezy]
Shorty's a rider, she know I'm a roller
Lend me ya ear baby, just let me hold ya
I hustle, I got plenty ambition, what's not to love?
I got her if she need anythin', yeah that's my thug
'Cause she loyal, she all about loyalty
Rollie on that wrist, now she lookin' like royalty
Yeah, we kick back, sippin' Avion in the glass
Plus she got 'em rolled up, smack that ass, hit the gas
As I exhale, she sittin' behind me, rubbin' my back
Got me goin' out like Pookie or somethin', that pussy crack
Meanwhile I'm kicked back, visualizin' them stacks
Said, ""My nigga, just do what you do, I got ya back""

[Chorus: Tory Lanez & Jeezy]
I could ride for you, baby
Fuckin' with a nigga like me
Know the limit is the sky for you, baby
Come slide with me, baby
You nothing like them, no
I need a bitch like you
Like them, no
So I won't fuck with bitches like them
Nothing like them
Nothing like them
It's that rich nigga shit
Oh no

[Verse 2: Rick Ross]
Maybach Music
Fendi heels, my Atlanta bitch out in Windy Hill
She too real, left her in the room with like 20 mil
When she cared, back in Miami when we did the deal
In the middle of war, fuck it I'ma let em live
Get this money 'fore they sentence me to a 100 years
Fuck her slow, might tell her where some of the money hid
Fell in love, must be, told her she the one I need
Only rule, you roll with me that mean you rollin' weed
Settle down, 20 thousand to go and get a gown
Wear the crown, menage trois, it's whatever now
Chanel shoes, Chanel bag, Chanel dress
Call her Chanel, she exhale only the best (I'm the biggest, Boss)

[Chorus: Tory Lanez & Jeezy]
I could ride for you baby
Fuckin' with a nigga like me
Know the limit is the sky for you, baby
Maybach Music
Come slide with me, baby
My nigga Young
You nothing like them, no
I need a bitch like you
Like them, no
So I won't fuck with bitches like them
Nothing like them
Nothing like them
Oh no

[Verse 3: Jeezy]
I feel them other broads be doin' too much, let's keep it real
And I ain't tryin' to hear all that, call Dr. Phil
Best believe that I ain't got no time for these lame hoes
You know how the game goes, in the club in her girl clothes
Tryin' tell me baby that you can't afford your heels
Yet you tryin' to push up on a nigga worth these mils
And she help with the stove, damn right, she a chef
I ain't playin' no games, when she out need a ref
When she in the bedroom, shit she get nasty and shit
When it's time to hit the streets, she get classy and shit
Sendin' pictures to my phone, see I'm like, ""What the hell?""
Love ain't always A1, swear to God, it never fails
I need a

[Bridge: Jeezy]
I need a bitch like you
So I won't fuck with bitches like them

[Chorus: Tory Lanez & Jeezy]
I could ride for you, baby
Fuckin' with a nigga like me
Know the limit is the sky for you, baby
Come slide with me, baby
You nothing like them, no
I need a bitch like you, yeah
Like them, no
So I won't fuck with bitches like them
Nothing like them
Nothing like them
Oh no
It's that shit that you do
Yeah, uh uh
That's why I don't fuck with bitches like them",south
