index,name,duration_ms,popularity,num_markets,album,disc_number,is_explicit,track_number,release_date,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,lyrics,region
0,Feel The Love,165053,70,79,KIDS SEE GHOSTS,1,TRUE,1,6/8/2018,KIDS SEE GHOSTS,0.58,0.469,0,-5.946,0,0.104,0.126,7.32E-05,0.099,0.369,110.573,4,"[Chorus: Kid Cudi]
I can still feel the love
I can still feel the love
I can still feel the love
Feel the love

[Verse: Pusha-T, Kid Cudi & Kanye West]
We not worried 'bout no other niggas, we them other niggas
You bust down a Rollie, I bust down a brick, then I flood it, nigga
I am not to be compared to you rappers, Eazy-Duz-It, nigga
I am more Eazy, you tryin’ your best to become me, nigga
She like them bottles with bubbles in it
Buy her Loewe and other linen
Why would I wait when there's other women?
Why would I hate? We in love with winnin' (Ooh!)
Buy her bundles, fly her out, bring her friend, I try her out
Ain’t no worries findin' out, the details is ironed out
Easily they plays along, hopin' that I play a song
Love to fuck to trap music (Feel the love)
Grrrat-gat-gat-gat-gat
Dope money just came along (Woo)

[Chorus 1: Kanye West & Kid Cudi]
Grrrat-gat (I can still feel the love)
Gat-gat, gat, ga-ga-ga-ga-gat
Grrrat, gat-gat-gat (I can still feel the love)
Gat-gat-gat-gat-gat-gat-gat, grrrat
Gat-gat-gat-gat (Feel the love)
Ga-ga-gat, ga-gat, ga-gat, ga-gat-gat, grrrat-gat

[Bridge: Kanye West]
Ba-ba-ba-ba
Brrrat-dat-da-da-da, da
Ga-ga-ga-ga
Brrr-ah-da-da-da, brrr-ah-da-da-da
Brrr-ah-da-da-da, brrr-ah-da-da-da
Brrr-ah-rrr-ah, brrr-ah-gat-gat-ga
Rude-rude-rude-rude-woo!

[Break: Kanye West]
Where the chorus?

[Chorus 2: Kid Cudi & Kanye West]
I can still feel the love
I can still feel the love
I can still feel the love
Feel the love
Woo!
I can still feel the love
I can still feel the love
I can still feel the love
I can still feel the love
I can still feel the love
Ba-ba-ba-ba-bwa-ba
Ga-ba-ba-ba
Rude-rude-rude-rude-woo!",midwest
1,Fire,140526,64,79,KIDS SEE GHOSTS,1,TRUE,2,6/8/2018,KIDS SEE GHOSTS,0.709,0.751,6,-3.801,1,0.16,0.472,4.71E-06,0.182,0.37,104.999,4,"[Intro: Kanye West]
I love all your shit talkin', I love all your shit talkin’
You ain't got nothin' better to... do with yourself?

[Verse 1: Kanye West]
I done proved to myself, back on that rulin’ myself
I got new news to tell, act like you knew you done failed
Only true know how I feel and only if you knew how I felt
Sniffed a lil' bootch off the nail
Through with mixed messages, through with the mail
Only a few in the field, little bit off for the real

[Verse 2: Kid Cudi]
It's so many days I prayed to God
All this pain, I couldn't seem to find a way
On a mission livin', carry on
Got my family, I'm seein' through better days
Never late, pull up a seat and come grab a plate
Check the date, let 'em hate
This the type shit that they couldn’t make, watch the fakes
Leave ’em buzzin', thought they wasn’t, huh?
Tell all your kinfolk and cousins, huh?
This is the package you ordered, huh?
Beautiful madness

[Outro: Kid Cudi]
On this road I find (hmm-mmm)
These scars I left behind (hmm-mmm)
Heaven lift me up (hmm-mmm)
Heaven lift me up (hmm-mmm)
On this road I find (hmm-mmm)
These scars I left behind (hmm-mmm)
Heaven lift me up (hmm-mmm)
Heaven lift me up (hmm-mmm)",midwest
2,4th Dimension,153351,70,79,KIDS SEE GHOSTS,1,TRUE,3,6/8/2018,KIDS SEE GHOSTS,0.765,0.542,1,-6.755,1,0.39,0.278,1.87E-05,0.609,0.734,171.945,4,"[Intro: Louis Prima]
Down the chimney, he will come
With his great big smile
And you'll find that even the kiddies
Are swingin' in the latest style

[Chorus: Louis Prima]
Oh, oh, oh
What is Santa bringing?
Oh, oh, oh
What is Santa bringing?

[Verse 1: Kanye West]
It feels so good, it should cost
Bought a alligator, I ain't talkin' Lacoste
Made me say, ""Ugh, uh""
Like a mix of Master P and Rick Ross, uh-uh
She seem to make me always feel like a boss, uh-uh
She said I'm in the wrong hole, I said I'm lost, uh-uh
She said I'm goin' too fast, I'm exhausted
Now drop to your knees for the offerin'
This the theme song of something wrong
Might need an intervention for this new dimension
That's too new to mention, or fit in a sentence
If I get locked up, I won't finish the sent—

[Chorus: Louis Prima]
Oh, oh, oh
What is Santa bringing?
Oh, oh, oh
What is Santa bringing?

[Interlude]
(Laughter)

[Verse 2: Kid Cudi]
Gettin' loose while I'm rollin' through, see me roll out
Watch you surf, hit the coast, and this feelin', I got
Plenty of ventures for the evenin', we go journey, we off
From the light to guide us home, we in the moment, oh-oh
Such a lost boy, caught up in the darkest I had
What's the cost, boy? Losin' everything that I had
She been on me, boy, 'less you got somethin' to tell
Sittin', waitin' for me slippin', yeah, I'll see you in hell
Tell the cougar get up off me, no, my soul ain't for sale
All the evils in the world, they keepin' on me for real
I really hope the Lord heard me, we all live in sin
Kids See Ghosts off the ropes, Ric Flair on your bitch
Now this the theme song, this the theme song
The put the beams on, get your, get your dream on
But you don't hear me though, drama: we let it go
Watch the guitars roll, but let your friends know

[Chorus: Louis Prima]
Oh, oh, oh
What is Santa bringing?
Oh, oh, oh
What is Santa bringing?

[Outro: Shirley Ann Lee]
Just do that and then let the music do somethin',  and then do that again, that'd be enough for a record
I mean, you only want two and a half minutes if you can get it, you know, three minutes max—",midwest
3,Freeee (Ghost Town Pt. 2),206605,64,79,KIDS SEE GHOSTS,1,TRUE,4,6/8/2018,KIDS SEE GHOSTS,0.334,0.81,9,-4.855,0,0.0632,0.00457,0,0.158,0.306,151.643,4,"[Intro: Marcus Garvey]
May I say something to you to give you a true knowledge of yourself and life?
Man in the full knowledge of himself is a superb and supreme creature of creation
When man becomes possessor of the knowledge of himself, he becomes the master of his environment

[Chorus: Kanye West]
I don't feel pain anymore
Guess what, baby? I feel free (Scoop!)
Nothin' hurts me anymore
Guess what, baby? I feel free

[Verse: Kanye West, Kid Cudi & Ty Dolla $ign]
I'm so complete in the mode
Guess what, baby? I feel free
And you know damn well
He lift me up every time that I fell
And set me free, yeah
Ah! You should quit your job to this
Hold up, let 'em politic, ooh
One day they hate you
Next day they love you
I'm still yellin' ""fuck you""
I could never trust—

[Refrain: Ty Dolla $ign & Anthony Hamilton]
Free, I feel free
I feel free, I feel free

[Chorus: Kid Cudi]
I don't feel pain anymore
Guess what, babe? I am free
Yeah, nothin' hurts me anymore
Guess what, babe? I am free

[Bridge: Kid Cudi]
Yeah, yeah, yeah, yeah
Feelin' I'm out of my past life
Died and came back twice
Now I'm free

[Chorus: Kid Cudi]
I don't feel pain anymore
Hmm, guess what, babe? I am free

[Refrain: Ty Dolla $ign & Anthony Hamilton]
I feel free, I feel free
I feel free, I feel free",midwest
4,Reborn,324674,75,79,KIDS SEE GHOSTS,1,TRUE,5,6/8/2018,KIDS SEE GHOSTS,0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051,4,"[Chorus: Kid Cudi]
I'm so—I’m so reborn, I'm movin' forward
Keep movin’ forward, keep movin' forward
Ain't no stress on me Lord, I'm movin' forward
Keep movin' forward, keep movin' forward
I'm so—I’m so reborn, I’m movin' forward
Keep movin’ forward, keep movin' forward
Ain't no stress on me Lord, I'm movin’ forward
Keep movin' forward, keep movin' forward

[Verse 1: Kanye West]
Very rarely do you catch me out
Y'all done ""specially invited guest""'d me out
Y'all been tellin' jokes that's gon' stress me out
Soon as I walk in, I'm like, ""Let's be out""
I was off the chain, I was often drained
I was off the meds, I was called insane
What a awesome thing, engulfed in shame
I want all the rain, I want all the pain
I want all the smoke, I want all the blame
Cardio audio, let me jog your brain
Caught in the Audy Home, we was all detained
All of you Mario, it's all a game

[Chorus: Kid Cudi]
I'm so—I'm so reborn, I'm movin' forward
Keep movin' forward, keep movin' forward
Ain't no stress on me Lord, I'm movin' forward
Keep movin' forward, keep movin' forward
I'm so—I'm so reborn, I'm movin' forward
Keep movin' forward, keep movin' forward
Ain't no stress on me Lord, I'm movin' forward
Keep movin' forward, keep movin' forward

[Verse 2: Kid Cudi]
I had my issues, ain't that much I could do
Peace is somethin' that starts with me (with me)
At times, wonder my purpose
Easy than to feel worthless
But, peace is somethin' that starts with me (with me, with me)
Had so much on my mind, I didn't know where to go
I've come a long way from them hauntin' me
Had me feelin' oh so low
Ain't no stoppin' you, no way
Oh, things ain't like before
Ain't no stoppin' you, no way
No stress yes, I'm so blessed and-

[Chorus: Kid Cudi]
I'm so—I'm so reborn, I'm movin' forward
Keep movin' forward, keep movin' forward
Ain't no stress on me Lord, I'm movin' forward
Keep movin' forward, keep movin' forward
I'm so—I'm so reborn, I'm movin' forward
Keep movin' forward, keep movin' forward
Ain't no stress on me Lord, I'm movin' forward
Keep movin' forward, keep movin' forward

[Bridge: Kid Cudi]
(Movin' forward, movin' forward, movin' forward)
Movin' forward, keep movin' forward
Something was wrong (Keep movin' forward)
Couldn't hold on, why? (Keep movin' forward)
So long (Keep movin' forward)
Sit here in this storm (Keep movin' forward)
Time goes on (Keep movin' forward)
Really couldn't find my way out (Keep movin' forward)
Of the storm (Keep movin' forward)
Which way do I go?

[Chorus: Kid Cudi]
I'm so—I'm so reborn, I'm movin' forward (which way do I go?)
Keep movin' forward, keep movin' forward (which way do I go?)
Ain't no stress on me Lord, I'm movin' forward (which way do I go?)
Keep movin' forward, keep movin' forward
Keep movin' forward, keep movin' forward
Keep movin' forward, keep movin' forward
Keep movin' forward, keep movin' forward
Keep movin' forward, keep movin' forward
I'm so—I'm so reborn, I'm movin' forward
Keep movin' forward, keep movin' forward
Ain't no stress on me Lord, I'm movin' forward
Keep movin' forward, keep movin' forward",midwest
5,Kids See Ghosts,245098,65,79,KIDS SEE GHOSTS,1,TRUE,6,6/8/2018,KIDS SEE GHOSTS,0.841,0.682,2,-7.007,1,0.0458,0.113,9.65E-05,0.131,0.338,94.985,4,"[Chorus: Yasiin Bey]
Kids see ghosts sometimes
Kids see ghosts sometimes
Kids see ghosts sometimes
Spirit (spirit, spirit, spirit)
Movin' around, just movin' around
Kids see ghosts sometimes
Kids see ghosts sometimes
Kids see ghosts
Spirit (spirit, spirit, spirit)
Yeah, that's the king

[Verse 1: Kid Cudi]
Stop that movement, stop that movement
Y'all can't move me, this my movie
Y'all can't stop me, y'all too sloppy
Carbon copied, carbon
Same thing, in a room
Sittin' by myself, findin' heaven soon
Many things that will trouble you
Look beyond for a feelin' like you never knew
Reachin' out, huntin' for the truth
I'm guessin' I'm just sick of runnin'
All this time searchin' hard for somethin'
I can hear the angels comin'

[Chorus: Kid Cudi]
Kids see ghosts sometimes
Kids see ghosts sometimes
Kids see ghosts sometimes
Spirit (spirit, spirit, spirit)
Movin' around, just movin' around
Kids see ghosts sometimes
Kids see ghosts sometimes
Kids see ghosts
Spirit (spirit, spirit, spirit)
Yeah, that's the king

[Verse 2: Kanye West]
Well, it took me long enough to rap on this strong enough
Paid this shit just gon' give up, 'cause Ye just gon' live up
To everything that sucks to you and that's never enough
Thought I'd be clever enough to give up while I'm ahead
I like breakfast in bed, but I love breakfast and head
For anybody who said that I was better off dead
Told 'em, ""Don't ever believe nothin' that you ever read""
Got a Bible by my bed, oh yes, I'm very Christian
Constantly repentin', 'cause, yes, I never listen
Don't like bein' questioned and don't like bein' less than
Any a competition in any of my professions
So I gotta guess then, I gotta stay the best man
What else you expect from, uh, Mr. West, man
Painting from Wes Lang, hung in my space like a relative
That you ain't seen in a minute, called on the telephone
And when they see you they say, “Damn you got hella grown
Always thought you'd make it, but damn now you hella known""
Let's address some topics that I can embellish on
How we made enough bread for us to put some relish on
I won't relish on the fact I'm vibin' on the future
Ultralight buildin' in the buildin' by Miuccia
Herzog and de Meuron in an office out in Basel
No not Miami, Switzerland (Switzerland, ahahaha)

[Chorus: Yasiin Bey]
Kids see ghosts sometimes
Kids see ghosts sometimes
Kids see ghosts sometimes
Spirit (spirit, spirit, spirit)
Movin' around, just movin' around
Kids see ghosts sometimes
Kids see ghosts sometimes
Kids see ghosts
Spirit (spirit, spirit, spirit)
Yeah, that's the king

[Bridge: Yasiin Bey]
Civilization without society
Power and wealth with nobility
Stability without stasis
Places and spaces
Civilization without society
Power and wealth with nobility
Stability without stasis
Spaces and places

[Outro: Yasiin Bey]
Kids see ghosts sometimes
Kids see ghosts—ghosts sometimes
Kids see ghosts sometimes
Yeah, that's the king
And what's a crown for the clouds, movin' around
Yeah, that's the king
And what's a crown to the clouds, movin' around",midwest
6,Cudi Montage,197000,67,79,KIDS SEE GHOSTS,1,TRUE,7,6/8/2018,KIDS SEE GHOSTS,0.729,0.504,8,-6.784,0,0.0321,0.401,1.44E-06,0.121,0.305,110.011,4,"[Verse 1: Kid Cudi]
Find my back in the cold, trapped in another soul, they can hear me holler
I'm caught in it again, see 'em all strapped in an' can't move and I'm sinkin' lower
Heaven gonna help me 'cause I feel the world weighin' on me heavy, tryna keep it steady
Ready for the mission, God, shine your love on me, save me, please
If I'm goin' alone, I've been gone for so long, ain't nobody, you can't hear a word
Perched in the night, lookin’ out nowhere, where's home? I done hit a nerve
Pain in my eyes, everytime I find, I'm stronger than I ever was
Here we go again, God, shine your love on me, save me, please

[Chorus: Mr. Hudson & Kid Cudi]
Hmm-mm-mm, woah, woah
Stay strong
Hmm-mm-mm, woah, woah
Stay strong
Hmm-mm-mm, woah, woah
Save me, Lord
Hmm-mm-mm, woah, woah
Stay strong
Hmm-mm-mm, woah, woah
Save me, Lord
Hmm-mm-mm, woah, woah
Stay strong
Hmm-mm-mm, woah, woah
Save me, Lord
Hmm-mm-mm, woah, woah

[Verse 2: Kanye West]
Everybody want world peace
'Til your niece get shot in the dome-piece
Then you go and buy your own piece
Hopin' it'll help you find your own peace
Bring light to what they don't see
Auntie cryin' on the concrete
Talkin' to dispatcher then the phone beep
On the other line was the homies
Told her that you ain't comin' home, see
When she heard the news it hurt her bone-deep
Caught with the rifle with the long reach
Just another cycle of the lonely
All growin' up in environment
Where doin' crime the requirement
They send us off to prison for retirement
Hopefully Alice Johnson will inspire men

[Chorus: Mr. Hudson, Kid Cudi & Kanye West]
Lord shine your light on me, save me, please
Hmm-mm-mm, woah, woah
Stay strong
Lord shine your light on me, save me, please
Hmm-mm-mm, woah, woah
Stay strong
Lord shine your light on me, save me, please
Hmm-mm-mm, woah, woah
Save me, Lord
Lord shine your light on me, save me, please
Hmm-mm-mm, woah, woah
Stay strong
Lord shine your light on me, save me, please
Hmm-mm-mm, woah, woah
Save me, Lord
Lord shine your light on me, save me, please
Hmm-mm-mm, woah, woah
Stay strong
Lord shine your light on me, save me, please
Hmm-mm-mm, woah, woah
Save me, Lord
Lord shine your light on me, save me, please
Hmm-mm-mm, woah, woah
Lord shine your light on me, save me, please
Hmm-mm-mm, woah, woah
Stay strong
Lord shine your light on me, save me, please
Hmm-mm-mm, woah, woah
Stay strong

[Outro: Kanye West, Kid Cudi & Mr. Hudson]
Both sides lose somebody
Hmm-mm-mm, woah, woah
Save me, Lord
Somebody dies, somebody goes to jail
Hmm-mm-mm, woah, woah
Stay strong
Light on me, save me, please
Hmm-mm-mm, woah, woah
Stay strong
Lord, shine your light on me, save me, please
Hmm-mm-mm, woah, woah
Stay strong
Shine your light on me, save me, please
Hmm-mm-mm, woah, woah
Save me, Lord
Shine your light on me
Hmm-mm-mm, woah, woah
Stay strong",midwest
0,Intro,19133,7,79,The College Dropout,1,TRUE,1,2/10/2004,Kanye West,0.713,0.331,6,-13.909,1,0.877,0.237,0,0.51,0.463,87.491,3,"[Intro: DeRay Davis]
Kanye, can I talk to you for a minute?
Me and the other faculty members was wonderin'
Could you do a lil' som...
Somethin' beautiful, somethin' that the kids are gon' love when they hear it
That's gon' make them start jumpin' up and down, and sharin' candy and stuff
Think you could probably do somethin', for the kids, for graduation to sing?",midwest
1,We Don't Care,239880,58,79,The College Dropout,1,TRUE,2,2/10/2004,Kanye West,0.595,0.754,11,-5.827,0,0.181,0.0142,0,0.247,0.647,83.155,4,"[Produced by Kanye West]

[Intro]
Oh yeah...
I've got the perfect song for the kids to sing...
And all my people that's-

[Chorus]
Drug dealin' just to get by
Stack your money 'til it get sky high
We wasn't supposed to make it past 25
Joke's on you, we still alive
Throw your hands up in the sky and say
""We don't care what people say""

[Verse 1]
If this is your first time hearin' this
You are about to experience somethin' so cold, man
We never had nothin' handed, took nothin' for granted
Took nothin' from no man, man, I'm my own man
But as a shorty, I looked up to the dope man
Only adult man I knew that wasn't broke, man
Flickin' Starter coats, man, man, you don't know, man
We don't care what people say
This is for my niggas outside all winter
'Cause this summer they ain't finna say, ""Next summer, I'm finna""
Sittin' in the hood like community colleges
This dope money here is Lil' Trey's scholarship
'Cause ain't no tuition for having no ambition
And ain't no loans for sittin' your ass at home
So we forced to sell crack, rap, and get a job
You gotta do somethin' man, your ass is grown

[Chorus]
Drug dealin' just to get by
Stack your money 'til it get sky high
(Kids, sing! Kids, sing!)
We wasn't supposed to make it past 25
Joke's on you, we still alive
Throw your hands up in the sky and say
""We don't care what people say""

[Verse 2]
The second verse is for my dogs workin' 9 to 5 that still hustle
'Cause a nigga can't shine off $6.55
And everybody sellin' makeup, Jacob's
And bootlegged tapes just to get they cake up
We put shit on layaway, then come back
We claim other people kids on our income tax
We take that money, cop work, then push packs to get paid
And we don't care what people say
Momma say she wanna move South
Scratchin' lottery tickets, eyes on a new house
'Round the same time, Doe ran up in dude house
Couldn't get a job, so since he couldn't get work
He figured he'd take work
The drug game bulimic, it's hard to get weight
A nigga's money is homo, it's hard to get straight
But we gon' keep bakin' til the day we get cake
And ""we don't care what people say""

[Chorus]
Drug dealin' just to get by
Stack your money 'til it get sky high
(Kids, sing! Kids, sing!)
We wasn't supposed to make it past 25
Joke's on you, we still alive
Throw your hands up in the sky and say
""We don't care what people say""

[Verse 3]
You know the kids' gon' act a fool
When you stop the programs for after school
And they DCFS, some of 'em dyslexic
They favorite 50 Cent song ""12 Questions""
We scream: ""rocks, blow, weed, park"", see, now we smart
We ain't retards, the way teachers thought
Hold up, hold fast, we make more cash
Now tell my momma I belong in that slow class
Sad enough we on welfare, they tryna put me on the school bus
With the space for the wheelchair
I'm tryna get the car with the chromie wheels here
They tryna cut our lights out like we don't live here
Look what was handed us, fathers abandoned us
When we get them hammers, go on, call the ambulance
Sometimes I feel no one in this world understands us
But ""we don't care what people say,"" my niggas

[Chorus]
Drug dealin' just to get by
Stack your money 'til it get sky high
(Kids, sing! Kids, sing!)
We wasn't supposed to make it past 25
Joke's on you, we still alive
Throw your hands up in the sky and say
""We don't care what people say""",midwest
2,Graduation Day,81786,51,79,The College Dropout,1,TRUE,3,2/10/2004,Kanye West,0.418,0.447,0,-9.058,0,0.338,0.684,2.10E-06,0.414,0.869,169.336,4,"[Spoken: DeRay]
What in the fuck was that, Kanye?! I told you to do some shit for the kids! You can give me your muthafuckin' graduation ticket right now! You give me this muthafuckin' robe before you catch some senioritis! You will not walk across that stage, you won’t slide across that stage! A muthafucka can’t pull you across that stage, Kanye! Who told you? See, I told you to do somethin' uplifting! I’m tryin' to get you out here with these white people and this how you're gonna do me! You know what, you's a nigga. And I don’t mean that in no nice way. Had little kids sing about the shit, the jokes on you. You throw your muthafuckin hands in the air, and wave good-bye to every-mothafuckin-body! Cause you gettin' the fuck out of this campus! What the fuck you gon' do now?

[John Legend]
I'm no longer confused, but don't tell anybody
I'm about to break the rules, but don't tell anybody
I got something better than school, so don't tell anybody
My momma would kill me, so don't tell anybody
She wants me to get a good ass job, just like everybody
She ain't walked in my shoes, I'm just not everybody",midwest
