index,name,duration_ms,popularity,num_markets,album,disc_number,is_explicit,track_number,release_date,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,lyrics,region
0,"Big Beast (feat. Bun B, T.I., and Trouble)",234720,39,78,R.A.P. Music,1,True,1,2012-05-15,Killer Mike,0.665,0.509,10,-7.263,0,0.224,0.00789,0.0,0.466,0.402,82.025,4,"[Verse 1: Killer Mike]
Hardcore G shit, homie, I don't play around
Ain't shit sweet bout the peach -- this Atlanta, clown
Home of the dealers and the strippers and the clubs, though
Catch you coming out that Magic City with a snub, ho
Lurking in the club on tourist motherfuckers
Welcome to Atlanta, up your jewelry, motherfucker!
These monkey niggas looking for some Luda and Jermaine
And all that nigga found was a Ruger and some pain
Pow, motherfucker, pow! Come up off the chain (ay, ay)
Pow, motherfucker, pow! One off in the brain (ay, ay)
We some money-hungry wolves, and we down to eat the rich
Your bodyguard ain't shit, we strip him like a stripper bitch
These real-ass killers move in silence with violence
The minute it set off, we the motherfucking wildest
How you from Atlanta they ain't never speak upon
Where everybody got a sack of dope and a gun

[Chorus: Trouble]
And you know just how it go
We ain't playing round with that bullshit
Nigga, we ain't let that shit go
When you come here, you better come correct
This real G shit, you gotta show respect

[Verse 2: Bun B]
Once upon a time in the projects
An O.G. saw a young Bun B as a prospect
Thought that I would understand the streets from a very young age
So he opened up the G code to the front page
He sat me on the porch, said, ""This where little dogs sit""
Pointed at the yard (yard), said, ""That's where big dogs shit"" (shit)
He said, ""Don't leave til your ass get growed
And don't come back til your ass get throwed
Whatever you want is whatever you can have
Bring the pain and leave em wet, like they soaking in some salve
When you step out on the ave (ave)
Make sure they wanna see ya (wanna see ya)
Cause being trill is an onomatopoeia
Be about it like a G, a hater wanna catch you slipping
Try to be a Jordan (Jordan), but settle for a Pippen""
Player, I ain't even tripping, but I don't really care
Cause my pistol's in your face, so put your hands in the air

[Chorus: Trouble]
And you know just how it go
We ain't playing round with that bullshit
Nigga, we ain't let that shit go
When you come here, you better come correct
This real G shit, you gotta show respect

[Verse 3: T.I.]
'96 I'm riding with a pistol grip, banana clip
From Simpson Road to Adamsville, I'm repping this Atlanta shit
Nigga trying to handle up, let's see can they handle this
A hundred round at em, that ain't no Louisiana shit
Drinking on that Hennessey, blowing on that cannabis
Amerikkka's nightmare, trap nigga fantasy
A record full of felonies, searching for a better me
But choppers go off in my hood like Iraq, Cuba, Tel Aviv
Shoot a nigga, let him bleed; fuck him, shorty
Sucka nigga, I'll never be, don't give a fuck about it
Quick to run up on that Audi, make em get the fuck up out it
Nigga better be about it, he deserve it he allow it
What's a coward to a kamikaze? He ain't robbed a man
Ain't predator or prey; the law of nature where I stay
I catch you slipping with that K, ain't no illusion, no confusion
Better come up off that cake and all that jewelry or you snoozing

[Chorus: Trouble]
And you know just how it go
We ain't playing round with that bullshit
Nigga, we ain't let that shit go
When you come here, you better come correct
This real G shit, you gotta show respect

[Verse 4: Killer Mike]
Wha-da-dang, wha-da-da-da-da-dang
Listen to my Kimber .45 go bang
Bang bang, Grindtime, rap gang
We the readers of the books and the leaders of the crooks
Predators, we eyeballing all of y'all lames
Let me fall off, I'm taking all of y'all chains
All of y'all watches and all of y'all cars
Well, who he talking to? All of y'all stars
All of y'all rappers and producers and such
No homo promo, homie, you might get your ass touched
Like Def Jam circa '83, you get rushed
If you rolling with some winners, then you rolling with us
I know some dumb country niggas, but them niggas ain't me
Know they dress and look the part, but them niggas ain't G
I don't make dance music, this is R.A.P.!
Opposite of the sucker shit they play on T.V.!

[Chorus: Trouble]
And you know just how it go
We ain't playing round with that bullshit
Nigga, we ain't let that shit go
When you come here, you better come correct
This real G shit, you gotta show respect",south
1,Untitled (feat. Scar),233960,32,78,R.A.P. Music,1,True,2,2012-05-15,Killer Mike,0.675,0.677,6,-9.69,0,0.17,0.000113,0.0137,0.0983,0.493,79.981,4,"[Verse 1: Killer Mike]
You are witnessing elegance in the form of a black elephant
Smoking white rhino on terraces
Will I die slain like my king by a terrorist?
Will my woman be Coretta, take my name and cherish it?
Or will she Jackie O, drop the Kennedy, remarry it?
My sister say it's necessary on some Cleopatra shit
My grandmama said nope, never, that it's sacrilege
Tend to agree because the thought is so disparaging
The Lord give a load, you got to carry it like Mary did
That's why I'm giving honor to all these baby mommas
It takes a woman's womb to make a Christ or Dalai Lama
The world might take that child, turn that child into a monster
The Lord'll take a monster and fashion him a saint
I present you Malcolm X for those who saying that He can't
Saying that He won't, when I know He will
You usually don't know it's you until you getting killed
For real

[Hook: Scar]
Dear Lord, have mercy
On the ones that go through life like it's a game
Dear Lord
I won't be forced to shut up when I don't feel the same
Cause people gonna lie
Some people gonna steal
You gotta be careful not to shit where you live
Them people might try to have you killed
Lord have mercy, life is such a battlefield
For real

[Verse 2: Killer Mike]
I ain't never gave a fuck
I never did and never will
Live my life on principle
Keep it true, keep it real
Better said, I keep it trill
And no matter who don't like it, homie
That's just how it is
Naked truth like the stripper that's in front of me
And I keep a blunt and a Bible and a gun on me
Why? Cause I'm country-bred
Actually, I'm south-er-ern
Something like my brethren
The legendary Andre 3K, Cee Lo, Goodie, and some other men
You should pay some homage, it's an honor this
This is not a fiction that is sold by conglomerates
This is Soul of Black Folks mixed with Donald Goines shit
Better said, Robert Beck, esoteric I could get
This is John Gotti painting pictures like Dali
This is Basquiat with a passion like Pac
In a body like Biggie, telling stories like Ricky
If a rapper was to spar, please tell him better kick it
You with me?

[Hook: Scar]
Dear Lord, have mercy
On the ones that go through life like it's a game
Dear Lord
I won't be forced to shut up when I don't feel the same
Cause people gonna lie
Some people gonna steal
You gotta be careful not to shit where you live
Them people might try to have you killed
Lord have mercy, life is such a battlefield
For real

[Instrumental Interlude]

[Outro: Killer Mike]
I don't trust the church or the government: Democrat, Republican
Pope or a bishop or them other men
And I believe God has sustained me with rap
So I pick a burning bush, put it in a Swisher wrap
And they can't kill a G, I seen how I die
I'm only going once, a coward dies a thousand times
Until that chariot come and take a nigga home
I'mma spit this ghetto gospel over all these gutter songs
I'm gone",south
2,Go!,114186,35,78,R.A.P. Music,1,True,3,2012-05-15,Killer Mike,0.781,0.911,8,-7.621,1,0.486,0.0106,0.0,0.066,0.906,144.015,4,"[Verse 1: Killer Mike]

Yeah, still Killa Kill from the ville
With a flow so cold it'll froze your nose
Something like the blow did back in the 90's
When I sold to the geeked out hoes
Must be the reason my flow so dope
Not dope meaning coke but dope meaning dope
What's that Killa? Y'all niggas don't know? So
School's in session, let's go
Dope shit get you 75 a brick that bullshit
Coke just gets you 24
Like my nigga told y'all niggas back in '96
The difference between a 4.0 and a 4.6
And you're on my dick, pause
Get up off the polo draws, y'all
Ain't seen a rapper this cold
187 since above the law Ok?
Nigga with an attitude like Eazy
Ren, Dre and young O'Shea Ok?
Fuck that punk ass Glock he got on the block
I'm gonna hit him with the K Ok?
Have a nigga singing like Michel'Le
Have a nigga missing like JJ Fad
Beat a nigga dead like JJ dad
Damn damn James! Why you make me mad?
Shit got damn, I go ham
I go off, the gun go blam
I go in, I go hard
I go stupid oh my God
Shumalumadumalumashmalumaduma
Even when I ain't saying shit
Got AK word play might put a pause in you life
Just like a comma bitch!

[Scratches]

[Verse 2: Killer Mike]
Let everyone know that the bad guys back
And he got a gun and he's dressed in black
Terrorist flow and I'm ready to attack
Bombs over Baghdad yes Iraq and Iran and I am
The motherfucking man with the motherfucking plan
Sitting with the strap on my motherfucking lap
I put the shit to your motherfucking naps
38. snub to your Nap' ass dome
I can get you straight like a pressing comb
I go ape straight King Kong
Y'all monkey-ass-niggas better leave me alone
I'm a gorilla so I get realer
I spit hot fire retro Godzilla
Homicide maniac brainiac
Sipping on a pint of 'yac
In a Cadillac
I'm Killer killer killer killer killer killer
I did
These many shows in these many days
Had these many bricks got these many paid
That's 1,1,2 in these many ways
Indeed I say the opposite of living in need
I say is greed they say
I say no way fuck get money
Stack your hundreds alright ok? Go!",south
3,Southern Fried,277480,30,78,R.A.P. Music,1,True,4,2012-05-15,Killer Mike,0.543,0.79,7,-6.79,0,0.174,0.0126,0.0,0.0944,0.817,141.734,4,"[Verse 1]
Welcome to this country fried bonafide
And my flow is sweet as a potato pie
Never been a sour apple, I'm a now-or-later guy
I'mma tell her something sweet and she gon' lick me later, guy
Hello to my hater guy, how you doing sir
I know you got mean words
But keep them to yourself unless those murders will occur
Cause I'm from killa kill Adamsville right next door
Bowen Homes and Dixie Hills, Allen Temple Wildwood and Plainville
These motherfuckers murder here in plain sight
Everyday broad daylight, they ain't right
Shit's loco out in Zone 4
Since the '80s it's been that way though
My nigga uncle died shooting back at the po-po
He went out but he ain't go slow though
Even hit the cop back with the 4-4 though
Got buried in the Rolex, Jordans and a Polo
Nigga died pretty as a pimp in a photo
Woah-Woah-- Yeen heard fat boy
He ain't say that boy, don't even try to act, boy
That fat black motherfucker got a way with the words
I tell you, he can rap, boy
Respect my words like a rabbi
I'm a porterhouse, you a motherfucking ribeye
Hate on me to your girlfriend, she gonna look you dead eye
Tell you ""So? Motherfucker he still fly.""

[Hook]
Ain't I fresh, Ain't I clean?
Ain't I riding through the city in the meanest machine?
(Ain't I??)
Ain't I one-hundred player for sure
Ain't I slick bout pimp game and just might mack on your ho
(Ain't I??)
Ain't I fresh, Ain't I clean?
Ain't I riding through the city in the meanest machine?
(Ain't I??)
Ain't I one-hundred player for sure
Ain't I sleep my pimp game and just might mack on your ho
(Ain't I??)

[Verse 2]
So fresh, so clean, rolling down the street so slow, so sweet
Like a cup of codeine. Smoking on that Irene
With a sweet country girl named Irene
I lean, Feeling irie, I be
Strapped to the motherfucking T so please don't try me
My Chevrolet lay butt naked on the asphault slow flashing her high beams
And I'm still in the company of Irene and we been joined by Maxine
We maxing, relaxing, chilling, double-stacking
And me being the West Side player that I be I'm trying to see what's happening
And what's happening? But not menage, in my garage
With these two young ladies, is the reason I I-dee-daz
That's ""All Day I Dream About"" That sexing
You texting, hoping that they call you
I just barbecue and call 'em up and say ""Hey fall through""
You know it's shrimp and lobster tails
And they into a room with lots of players
My partners young black millionaires, and they all about some money
Yeah youngin it's a double entendre, you ain't gotta wonder when you ask for Wanda
""What you been doing?"" ""Hanging out with Shawnna."" Yeah, you nuttin' honey

[Hook]

[Verse 3]
Moet? Rolex. Big Benz, no flex
Wedding ring on finger, I married a Trina
Pretty as a singer, Fine as a stripper
When we in the strip club strippers try to tip her
I don't want no dance, ho, get up off my zipper
You ain't try to rip me if you ain't try to rip her
We like Bun and Pimp bitch, see we is a duo
This that Ball and J shit, we don't need no new ho
See I've got a suave mouth which purchases my suave house
This that 2Live Crew Shit, I rap a lot about new shit
This that country rap tune southern fried funky shit
I am the antithesis or opposite of monkey shit
And that's some education for ya'll thinking we unlearned
Cause I often play that Gucci crew and walk around with perms
And we bought them '95 Impalas paint them bitches orange
We gang-stars like Preem and Guru cause respect was hard to earn

[Hook]",south
4,JoJo's Chillin,177520,26,78,R.A.P. Music,1,True,5,2012-05-15,Killer Mike,0.803,0.882,7,-6.989,1,0.38,0.0682,0.0,0.515,0.392,138.918,5,"[Intro: Killer Mike]
This album was created entirely by Jaime and Mike

[Verse 1: Killer Mike]
My man JoJo got a caught on fed photo
So he gotta get out of Atlanta hit SoHo
Baby mama say he been selfish, he like ""so ho?""
Then he picked up the cell phone called his old ho
She took him to the airport, hit him with some bread
Parked in the deck, then hit him with some head
Hit the counter with the fake ID and the ticket
The old man little suspicious but he hit him with a fifty
Hit him with a hundred, hit him with the ""Shhh...""
The old man stamped the ticket and he went like ""Shhh...""
Then he hit him with the smile, and he hit him with the wink
And JoJo hit the bathroom, JoJo hit the sink
Cold water, had to splash on the face
His iPod pumping Snoop ""Murder was the Case""
Oh shit, looked to his left, Ghostface
""Peace God, Peace God, where's Shallah Rae?""
""Think he had show down in M.I.A today""
Ghost told him ""nice Wallies"" then went out on his way
Now it's back to reality, reality say:
Still gotta make it to that side of the gate
He moves out the bathroom quickly with haste
And it's a long line, it's a while before the gates
And it's an old lady giving Jo the evil eye
Mad cause she see him cutting spaces in line

[Hook]
JoJo's Chillin'

[Verse 2: Killer Mike]
Back in line JoJo spot Ivy
Girl from the hood that he knew from NYC
TSA agent so she cleared him on the ID
Before he go through X-ray he taking off his shades
Taking off his jacket, arm out the sleeve
Reached in his pocket, oh shit got weed
He done made it this far, whats Jo to do?
So he stuffed it in his pocket
And he walked right through (He walked right through?)
He walked right through
Then the TSA agent say ""She pointing at you.""
The old lady that had seen Jo cut line
Went to a officer and tried to drop dime
But Ivy wasn't having that, stepped to the copper
Told him that the old lady's ID wasn't proper
Now the old lady getting treated like a terrorist
Cop got his hand where her grey pubic hair it is
After this though she gonna have to see a therapist
JoJo found the situation hilarious
Threw the old lady's deuces, heading to the train
Concourse A, headed to his plane
Arrived on time, they called the first class
Upgraded ticket took a little more cash
Jo's relieved, hes almost free
Can't wait to land in the NYC

[Hook]

[Verse 3: Killer Mike]
Seat belts on, seat back up
Triple shot of Seagram's in JoJo's cup
A little too much he felt the stewardess up
She said ""Stop, sir!"", he looks like ""What?""
Gave a big tip then he headed to the bathroom
When he got there told her ""Hey, it has room""
Turned the bathroom into a smashroom
She was hitting lines he was hitting from behind
Look up in the mirror saw Ghost another time
""Peace god, pardon god, I ain't see ya Wis'
Lean toward the mirror cause I gotta talk biz""
Ghostface told him only 20 to LaGuardia
When you get there a car take you to Astoria
You don't want the alphabet boys on call
So tell the stewardess to make a wheelchair call
Wheelchair came, deboard plane
Jojo couple old folks and they canes
Exiting the door he seen a dog walking slow
Couldn't dump the weed, nowhere to go
Turns out the dog sniffed out that blow
Good thing the stewardess a cokehead ho
Cause they bumrushed the bitch
And threw her ass to the flo'
Jo told the wheelchair boy ""Let's go!""
And Jo got away that's how the story go

[Hook]",south
5,Reagan,249973,43,78,R.A.P. Music,1,True,6,2012-05-15,Killer Mike,0.331,0.659,7,-10.64,1,0.0795,0.00352,2.73e-05,0.082,0.177,83.687,4,"[Sample: Ronald Reagan]
Our government has a firm policy not to capitulate to terrorist demands. That no-concessions policy remains in force, despite the wildly speculative and false stories about arms for hostages and alleged ransom payments, we did not, repeat, did not trade weapons or anything else for hostages, nor will we

[Verse 1]
The ballot or the bullet, some freedom or some bullshit
Will we ever do it big, or just keep settling for lil' shit?
We brag on having bread, but none of us are bakers
We all talk having greens, but none of us own acres
If none of us own acres, and none of us grow wheat
Then who will feed our people when our people need to eat
So it seems our people starve from lack of understanding
Cause all we seem to give them is some balling and some dancing
And some talking about our car and imaginary mansions
We should be endited for bullshit we inciting
Hand the children death and pretend that it's exciting
We are advertisements for agony and pain
We exploit the youth, we tell them to join a gang
We tell them dope stories, introduce them to the game
Just like Oliver North introduced us to cocaine
In the 80's when the bricks came on military planes

[Sample: Ronald Reagan]
A few months ago I told the American people I did not trade arms for hostages. My heart and my best intentions still tell me that's true, but the facts and the evidence tell me it is not

[Verse 2]
The end of the Reagan Era, I'm like 'leven, twelve, or
Old enough to understand the shit'll change forever
They declared the war on drugs like a war on terror
But what it really did was let the police terrorize whoever
But mostly black boys, but they would call us ""niggers""
And lay us on our belly, while they fingers on they triggers
They boots was on our head, they dogs was on our crotches
And they would beat us up if we had diamonds on our watches
And they would take our drugs and money, as they pick our pockets
I guess that that's the privilege of policing for some profit
But thanks to Reaganomics, prisons turned to profits
Cause free labor is the cornerstone of US economics
Cause slavery was abolished, unless you are in prison
You think I am bullshitting, then read the 13th Amendment
Involuntary servitude and slavery it prohibits
That's why they giving drug offenders time in double digits
Ronald Reagan was an actor, not at all a factor
Just an employee of the country's real masters
Just like the Bushes, Clinton and Obama
Just another talking head telling lies on teleprompters
If you don't believe the theory, then argue with this logic
Why did Reagan and Obama both go after Qaddafi
We invaded sovereign soil, going after oil
Taking countries is a hobby paid for by the oil lobby
Same as in Iraq, and Afghanistan
And Ahmadinejad say they coming for Iran
They only love the rich, and how they loathe the poor
If I say any more they might be at my door
(Shh..) Who the fuck is that staring in my window
Doing that surveillance on Mr. Michael Render
I'm dropping off the grid before they pump the lead
I leave you with four words: I'm glad Reagan dead

[Outro]
Ronald Wilson Reagan
Ronald Wilson Reagan
Ronald (6) Wilson (6) Reagan (6)
Ronald (6) Wilson (6) Reagan (666)",south
6,Don't Die,248133,33,78,R.A.P. Music,1,True,7,2012-05-15,Killer Mike,0.352,0.807,0,-7.781,1,0.173,0.0193,6.04e-06,0.0963,0.0423,90.772,4,"[Sample: Dick Gregory]
How come...with the thousands of black cops in America...you ain't never picked up the paper, turned on the TV, or the news...and seen white folk crying...because this black cop...shot my loved one in the back of the head...cause he thought the cellphone was a gun. How come you don't see that?...You think black cops is...more spiritual? You think better qualified? Nah...They got enough sense to know that white folks ain't going to tolerate it...And the only reason they do to us what they do cause you tolerate it. Ok, I'm not telling you don't chastise these young men! But I ain't see you chastise the police!!

[Intro]
Hahahaha Real bad guy shit
Hahaha Living like a villain
Never chilling heavy influence on your chillun
Yeah!

[Verse 1]
I woke up this morning to a cop with a gun
Who told me that he looking for a nigga on the run
I thought for a second and I screwed my face
And asked them dirty pigs, “Why the fuck you in my place?”
He said “Chill or we kill, this is a warning”
Then I told him “Fuck you, where is the warrant?”
Then they got to punching and kicking and macing
Then the whole situation went Larry Davis
Thinking ’bout my lady and thinking ’bout my baby
Thinking, “Is these motherfucking pigs going crazy”
They wanna kill a nigga ’cause a nigga on his rap shit
Wanna leave me dead on a mattress, Hampton
I’m a Public Enemy because I’m Cold Lampin’
And I don’t give a fuck about a party in the Hamptons
And I don’t give a fuck about a motherfuckin' Forbes list
Far as I’m concerned, that’s a motherfuckin' whores list

[Bridge]
Motherfucker, my dad was a cop
You don’t think I know a dirty ass cop when I see one?
Shake down, take down, disrespecting-the-badge-ass-bitch!

[Verse 2]
Back to the scene going wild in the bedroom
Grab the cop’s gun left from leaking with a head wound
Second cop shot, but the bullet hit his partner
Shot him in the leg and he hit a main arter
Now the dirty cop’s looking at me
Talking ’bout he kill a nigga if I try to flee
Shit, I’m about to lose it, so he gon’ have to prove it
All because the government hate rap music
I’ve been labeled outlaw, renegade, villain
So was Martin King, so the system had to kill him
A nigga with an attitude, the world gotta feel him
Educated villain, Intent on living
If I gotta kill a cop just to get out the building
That motherfucker gettin' left dead no feelings
Yelling “Fuck him” as I buck A 45 at his fillings
Trying to knock his brains through the motherfucking ceiling

[Verse 3]
When I surface on the streets I can hear the crowd yelling
And see the neighborhood snitches pointing and telling
I’m bailing like a felon or Assata Shakur
Before the law leave me stinking like a bag of manure
Like Jeriko One in the movie ‘Strange Days’
They want a nigga dead ’cause the things that I say
Might make the youth go and pick up an AK
Tell the government “Fuck you, no way”
Like John Connor mama I be running everyday
‘Cause if I get caught it’s my life they terminate
Or stick me in a cell on Guantanamo Bay
All because a nigga won't submit and obey
I’ll be an outlaw before I ever behave
And die a free man before I live like a slave
Nothing changes, if they catch me today
“Fuck the police” is still all I gotta say",south
7,Ghetto Gospel,280493,26,78,R.A.P. Music,1,True,8,2012-05-15,Killer Mike,0.451,0.753,6,-10.192,1,0.126,0.137,2e-05,0.45,0.429,165.997,4,"And I'm sitting on the edge of my bed holding my head
Trying to make this cake like a baker
And get some bread
My mama said hustlin' does come with feds
Time do the crime you better had be prepared
For what comes with it the killing the court convictions
Snorting, bitches, the snitches often they get acquitted
While the real sent to prison, to rot away while they living
And all because I say dope shit they on a mission
To nail my black ass to the wall with a conviction
I pray the Lawd hear me but really Lawd is ya listen'n
Praying when I'm in trouble I'm speaking with forked tongue
I say I'm out the game but I'm flinching like George Jung
I must be in the clutches of Satan it's all warm
My mama took you to the ""root lady"" to read my palm
She puts beads on my neck saying they protecting me from harm
But fuck this old witch, I went and got a gun

[Hook:]
Oh Lord, Jesus, glory
Oh Lord
Oh Lord, Jesus, glory
Oh Lord

Looking at the bezel of my Breitling
Thinking that I used to sell raps for enlightenment
But I got lapped by them guys selling lies for the white man
Now I sell pies for the white man
And my tour bus is a moving indictment
This must be how Huey felt when the revolution failed
And in Oakland nigga turned him on to a sack of yayo
You know this feeling false but it feels like yeah
I may have lost my cause but not a reason to rebel
Revolutionary or drug dealer I'm in jail
And the C.O.'s call me nigga either way when I'm there
Just like they did Pac
Just like they do Mumia
Just like they doing to Mutulu or Assata if they see her
And ain't no justice if it's just us in court
For my folk and my people free Hoover, free Fort
The Lord never break us if we all on one accord
You know it

[Hook:]
Oh Lord, Jesus, glory
Oh Lord
Oh Lord, Jesus, glory
Oh Lord

Even as I'm standing here iceless Mike is priceless
Women with me prettier than Isis
Don't know if she black or a white chick
But I know this pussy and excitement
Gonna lead to indictments
The women and the fame put shade on enlightenment
I don seen dark days come to many bright men
I done seen a damn dime fine
As a fine wine take an Einstein mind
Leave 'em deaf dumb blind
Fuckin with them jezebel whores
Liars of Delilah even marrying a Pandora
Pretty parasite she will use ya, this ain't what you used to
Stone cold bitch she Medusa
Dope ass pussy might make you an abuser
You an addict not in love, boy
Don't get it confused, bruh
She don't need a boyfriend she just need a booster
She the devil's pie guy
You was fucking Lucifer

[Hook:]
Oh Lord, Jesus, glory
Oh Lord
Oh Lord, Jesus, glory
Oh Lord",south
8,Butane (Champion's Anthem) [feat. El-P],198026,36,78,R.A.P. Music,1,True,9,2012-05-15,Killer Mike,0.703,0.782,4,-6.686,0,0.3,0.00859,0.0,0.692,0.185,83.046,4,"[Verse 1: Killer Mike]
(Yeah, Yeah, Yeah, Yeah)
Looking for the truth, yeah it's me
Everything Polo to the floor though, even at the grocery store though
Picture perfect, take a photo, and take the pic you biting bitch
And go and stitch a logo (Yeah, Yeah, Yeah, Yeah)
Hit you with the quatro, but my girl Mercedes
With the Audi say that Quatro was a two door so a typo
You can put on Killer Kill, Fat Boy, or just Michael
Call me what you want but still never call me rival
They will call you dead and I will call you gone
The Lord, sweet Jesus, will be weeping calling your ass home
If underground rap royalty is what I’m meant to be
Then I will be the shit and you ain't shit to me

[Hook]
We the ones, we the winners, we the champions
Champagne at the end of our campaign
Spit fire, naked truth like the blue flame
Like the blue flame (Yeah, Yeah, Yeah, Yeah)
Let me see your hands up if you do the same
Caught the plug and we bolt like Usain
More money, more power, more butane
Burn the motherfucker down, down

[Verse 2: Killer Mike]
Life's a bitch so I mack on her immaculate
I don't wear no monkey watches, Rolex is too accurate
My rhymes are actually accurate, meaning I don't fiction in my diction
To the masses, this perfection is performed through many practices
Like prostitutes on mattresses, this shit just come naturally
Easy as Osama’s bombers takin many casualties
Like Columbine I’m down for mine I’m here to kill the faculty
Killin them or killin me, this is my soliloquy
Iller than the illest beat, I will spit the illest shit
From right here to infinity, Till I reach the dirt
I will search the earth endlessly looking for the illest, see
Ain’t nobody lyrically as ill as me, 'less Eazy-E
Come back from A.I.D…S yes
Get a beat from E-L-P, ghostwritten from my partner T.I.P
Cube and me and we time travel back to 95
Jumping in a 63 Impala playing Cuban Linx

[Hook]
Yo Mike they fucked up putting us together man

[Verse 3: EL-P]
Yo, I'm a Grinch with a grin, I will shit on your kids
Get a life, get a grip, get a hold on my dick, bitch, make a wish
I'm a knife, I'm nothing-that's-nicer-than-getting-sliced-up
The switch, the machete, the feti Yeti, the shyster
Icer, getting-closer-to-Christ ya
Might just find that the design of your life is an angel hair short of divine love
I stink, I just stuck up a truck that said Brinks
I'm a Sphinx, snorted so much that my nose just broke off, think
I’m alone again, clutching a loaded Glock soaked in chromium
Hoping that the thought police just don't bust in my home again
Life is tough, you'll get snuffed in the buff
So dystopian, ruff ruff, hear the call of the copper mutts on the hunt
What the fuck, this is not what my mother said I'll become
Star-spangler wranglers got my hopes on the run
Getting closer now, maybe our society's supposed to drown
Middle fingers up on the Titanic as it's going down

[Hook]",south
9,Anywhere But Here (feat. Emily Panic),211240,28,78,R.A.P. Music,1,True,10,2012-05-15,Killer Mike,0.547,0.677,6,-9.612,1,0.0823,0.00328,0.469,0.159,0.324,84.987,4,"[Intro]
I gotta get out of here, this city’s gonna kill me
Could be anywhere
Anywhere but here
I wonder how long before this shit gone take me under

[Verse 1]
Moving through New York City in a black seven fifty
Like Batman movin through Gotham
Dodging pot holes as I gently move through Harlem with my wheels on slalom
Pain in my eyes as I'm passing the place
Where they found Sean Bell and they shot him (Queens)
Forty one times, he committed no crime
But I guess life ain't Times Square
But in the city that’s gritty where the bottom lives shitty
And the mayor’s a billionaire
You learn Manhattan keep on making it
And Brooklyn, keep on taking it
Cause life just ain't that fair
For the kids in the park, watching out for the Narcs
Blowing Sour Diesel in the air
Tryin' to flip them a pack, stack up a couple racks
And make it the hell outta here… (New York)

[Hook]
Let the city peel away right from under you
There are too many ghosts in this town
I can hear them calling out to me, out to me, out to me
I can hear them calling out

[Bridge]
Let the city peel away
There were too many ghosts in this town
I can hear them calling out to me, out to me!

[Verse 2]
I maneuver through the ATL in a black SL
With the goddess of a black female
This is black male Heaven with the ballers are professing
But to me home feels like Hell
Even though it’s black top from the mayor to the cops
Black blood still gets spilled
They raided a house, no drugs were ever found
But a black grandmother laid killed
Like the dream of the King when the sniper took his life
On the balcony of Lorraine Motel
From now forthward, these young black boys
Seem to self-sabotage they selves
Or maybe they're just smart, and they choose to go hard
Cause they know the good guy will fail
So you ask what happens to a dream deferred
Langston, well it kills itself... (Atlanta)

[Hook]
Let the city peel away right from under you
There are too many clouds in the sky
I can hear them calling out to me
I can hear them calling out
Anywhere but here",south
